Method	IntegrationMethod	Type	Mean	SD	Integration
NBumi	cellcharter	Overall	0.7511620467949552	0.13727537826724645	Cell
Charter
NBumi	gpsa	Alignment	0.5276350880201275	0.10397435178568837	GPSA
NBumi	gpsa	Clustering	0.015763586110392715	0.015261392723349212	GPSA
NBumi	gpsa	Integration	0.6594998261199619	0.21657340233492875	GPSA
NBumi	gpsa	Overall	0.3606994115565501	0.047283495904274164	GPSA
NBumi	scvi	Alignment	0.7845227190506008	0.2058569081832974	scVI
NBumi	scvi	Clustering	0.5425981147317737	0.20585214675897215	scVI
NBumi	scvi	Integration	0.6407243133704086	0.12088160933960385	scVI
NBumi	scvi	Overall	0.6806064325764725	0.14356624506099167	scVI
NBumi	staligner	Alignment	0.7516823297615113	0.2235944799418302	STAligner
NBumi	staligner	Clustering	0.5882625019926506	0.11756950764417608	STAligner
NBumi	staligner	Integration	0.5354331327381349	0.23592375323918433	STAligner
NBumi	staligner	Overall	0.646059169390105	0.16513322286512291	STAligner
OSCA	cellcharter	Alignment	0.8019748925884742	0.19942867912013287	Cell
Charter
OSCA	cellcharter	Clustering	0.7185260770952776	0.059589127221932804	Cell
Charter
OSCA	cellcharter	Integration	0.6045252822962687	0.3289848847613663	Cell
Charter
OSCA	cellcharter	Overall	0.7698225212197216	0.08160458005210575	Cell
Charter
OSCA	gpsa	Alignment	0.5371490543133747	0.0984075657643948	GPSA
OSCA	gpsa	Clustering	0.03206364764551089	0.021949960788768107	GPSA
OSCA	gpsa	Integration	0.6619744449736789	0.2147076651175296	GPSA
OSCA	gpsa	Overall	0.37235064107815813	0.047450165247429614	GPSA
OSCA	scvi	Alignment	0.7465589867366461	0.19618411790614176	scVI
OSCA	scvi	Clustering	0.5977203981403248	0.14208038254593094	scVI
OSCA	scvi	Integration	0.6095979459910823	0.10411643289326733	scVI
OSCA	scvi	Overall	0.6757881010008739	0.10939839820376066	scVI
OSCA	staligner	Alignment	0.7666143636570426	0.22575670855203098	STAligner
OSCA	staligner	Clustering	0.6274895373737616	0.09751756456167313	STAligner
