Method	Type	Mean	SD	Integration
Random	Clustering	0.11436324739877073	0.21640194597469428	STAligner
Random	Integration	-0.018753260295231423	0.19226324010952367	STAligner
Random	Overall	0.026194307569248832	0.04093872589837795	STAligner
Seurat-Dispersion	Alignment	0.06796556870384657	0.13240126144776895	Cell
Charter
Seurat-Dispersion	Clustering	0.10658791551256325	0.07157936352797857	Cell
Charter
Seurat-Dispersion	Integration	0.20424826290795833	0.10598454838944125	Cell
Charter
Seurat-Dispersion	Overall	0.12626724904145603	0.08130434080132651	Cell
Charter
Seurat-Dispersion	Alignment	-0.1909997861586781	0.21336650746648558	GPSA
Seurat-Dispersion	Clustering	-0.5027362070287356	0.2064554661120145	GPSA
Seurat-Dispersion	Integration	0.01167947353874658	0.1923605836356601	GPSA
Seurat-Dispersion	Overall	-0.22735217321622236	0.15914345035601163	GPSA
Seurat-Dispersion	Alignment	0.012376689925246246	0.12492847888323017	STAligner
Seurat-Dispersion	Clustering	-0.061146864069193695	0.06446035143518178	STAligner
Seurat-Dispersion	Integration	0.06869880866549401	0.1684849154324007	STAligner
Seurat-Dispersion	Overall	0.006642878173848825	0.08306841394951292	STAligner
Seurat-MVP	Alignment	0.0017834147791090937	0.10972934288373253	Cell
Charter
Seurat-MVP	Clustering	0.0630406398560978	0.08790412165663744	Cell
Charter
Seurat-MVP	Integration	0.12177536651412522	0.08609139162819479	Cell
Charter
Seurat-MVP	Overall	0.062199807049777345	0.07161754134105054	Cell
Charter
Seurat-MVP	Alignment	-0.2828553626219317	0.13439201053425884	GPSA
Seurat-MVP	Clustering	-0.633883526448041	0.1278880969974688	GPSA
Seurat-MVP	Integration	-0.10863774803946473	0.12559873880177638	GPSA
Seurat-MVP	Overall	-0.3417922123698125	0.09264754463486223	GPSA
Seurat-MVP	Alignment	-0.058480135804977386	0.10323468299511052	STAligner
Seurat-MVP	Clustering	-0.05346118031305267	0.11931658223311133	STAligner
Seurat-MVP	Integration	0.026762376351499834	0.09593514884201582	STAligner
Seurat-MVP	Overall	-0.028392979922176726	0.060239356362537994	STAligner
Seurat-VST	Alignment	0.02280324227029314	0.11929633299708355	Cell
Charter
Seurat-VST	Clustering	0.08629340787645694	0.10398144733387622	Cell
Charter
Seurat-VST	Integration	0.10014789945554442	0.06304964506090811	Cell
Charter
Seurat-VST	Overall	0.06974818320076481	0.052380560103671904	Cell
Charter
Seurat-VST	Alignment	-0.22904854476363423	0.18458279887582096	GPSA
Seurat-VST	Clustering	-0.5435931356310886	0.24669294819708854	GPSA
Seurat-VST	Integration	-0.10693032735907394	0.12128407926170069	GPSA
Seurat-VST	Overall	-0.2931906692512656	0.1590574748798513	GPSA
Seurat-VST	Alignment	-0.020377146989535373	0.12512371665014765	STAligner
Seurat-VST	Clustering	-0.05742594232462117	0.148739232930545	STAligner
Seurat-VST	Integration	-0.001065061272627445	0.1239041653348996	STAligner
Seurat-VST	Overall	-0.02628938352892803	0.08611984184411707	STAligner
Seurat-scTransform	Alignment	0.025430897960752357	0.09323714763782705	Cell
Charter
Seurat-scTransform	Clustering	-0.01294211362192282	0.14907670234102674	Cell
Charter
Seurat-scTransform	Integration	0.07153547315374287	0.1418807377781385	Cell
Charter
Seurat-scTransform	Overall	0.06618056323767034	0.041414452039252765	Cell
Charter
Seurat-scTransform	Alignment	-0.2632622905914047	0.17196162272245283	GPSA
Seurat-scTransform	Clustering	-0.5673418995662596	0.1688516300968379	GPSA
Seurat-scTransform	Integration	0.034057870159636995	0.29480680215561106	GPSA
Seurat-scTransform	Overall	-0.33701690337519113	0.09962878003616292	GPSA
Seurat-scTransform	Alignment	-0.027398088463687787	0.09173496071955577	STAligner
Seurat-scTransform	Clustering	0.012465311527010421	0.22714676940605727	STAligner
Seurat-scTransform	Integration	0.08928114995711992	0.184057431778959	STAligner
Seurat-scTransform	Overall	-0.03522016065152613	0.07517626577339721	STAligner
Statistic mean	Alignment	0.1264734753600161	0.18181947474757515	Cell
Charter
Statistic mean	Clustering	0.17999711355545875	0.13763105513034696	Cell
Charter
Statistic mean	Integration	0.03339517627155137	0.425375784361361	Cell
Charter
Statistic mean	Overall	0.17021213319766867	0.12932351954683247	Cell
Charter
Statistic mean	Alignment	-0.16530566183464906	0.22981861169723844	GPSA
Statistic mean	Clustering	-0.5159630282596601	0.1475869220851075	GPSA
Statistic mean	Integration	0.0941820427943286	0.19650368795977186	GPSA
Statistic mean	Overall	-0.24089049008346025	0.1476204307604764	GPSA
Statistic mean	Alignment	0.020459829927219102	0.20024452236894288	STAligner
Statistic mean	Clustering	0.06282534130955275	0.16205755520249787	STAligner
Statistic mean	Integration	-0.010345397111130729	0.2939214995587497	STAligner
Statistic mean	Overall	0.04539470287725303	0.08048424387137128	STAligner
Statistic variance	Alignment	0.15592681317900564	0.2637115105604272	Cell
Charter
Statistic variance	Clustering	0.11902719573777729	0.12803169472060047	Cell
Charter
Statistic variance	Integration	0.0242226686956162	0.4093157845876887	Cell
Charter
Statistic variance	Overall	0.14937106101733752	0.12170882628820794	Cell
Charter
Statistic variance	Alignment	-0.1345814868940836	0.3394076651695089	GPSA
Statistic variance	Clustering	-0.5752681693997203	0.18060436246602185	GPSA
Statistic variance	Integration	0.08307129815773558	0.21456689401864878	GPSA
Statistic variance	Overall	-0.2637324385505742	0.16157875224019017	GPSA
Statistic variance	Alignment	0.07727401652463566	0.2921586467967376	STAligner
Statistic variance	Clustering	-0.004867380506118395	0.216934761098795	STAligner
Statistic variance	Integration	-9.975248860287361e-4	0.2991907623328742	STAligner
Statistic variance	Overall	0.04087862565191871	0.0938801128266107	STAligner
Transcription factors	Alignment	0.04477406044771687	0.11238405313148848	Cell
Charter
Transcription factors	Clustering	0.2550224256651579	0.11386668522484876	Cell
Charter
Transcription factors	Integration	0.056480914579912236	0.28526131159515905	Cell
Charter
Transcription factors	Overall	0.16061772877848826	0.06520449264341904	Cell
Charter
Transcription factors	Alignment	-0.23109563847704845	0.1757144377088706	GPSA
Transcription factors	Clustering	-0.3629561675527325	0.16278541139477604	GPSA
Transcription factors	Integration	0.08051523743145952	0.1802874032180705	GPSA
Transcription factors	Overall	-0.2081977227129248	0.127347350861271	GPSA
Transcription factors	Alignment	-0.04038720273477372	0.06205370560739206	STAligner
Transcription factors	Clustering	0.11622318088315012	0.16634866161303183	STAligner
Transcription factors	Integration	-0.00469425114095548	0.20894470120183242	STAligner
Transcription factors	Overall	0.02437314229364636	0.06970397691203344	STAligner
Wilcoxon	Alignment	0.02610419703224623	0.0919908783282109	Cell
Charter
Wilcoxon	Clustering	0.07196152846897952	0.08438643778521761	Cell
Charter
Wilcoxon	Integration	0.24086633083083409	0.11310592211515882	Cell
Charter
Wilcoxon	Overall	0.11297735211068669	0.08124279633332768	Cell
Charter
Wilcoxon	Alignment	-0.30002882730514924	0.14772311124908552	GPSA
Wilcoxon	Clustering	-0.5925509560804318	0.11223373251781395	GPSA
Wilcoxon	Integration	-0.03863896506979862	0.17835445767421282	GPSA
Wilcoxon	Overall	-0.3104062494851265	0.11203630355778678	GPSA
Wilcoxon	Alignment	-0.07433991448242426	0.13104174841542815	STAligner
Wilcoxon	Clustering	-0.06535210545604615	0.07049586779241301	STAligner
Wilcoxon	Integration	0.08324221395857856	0.029109680653401904	STAligner
Wilcoxon	Overall	-0.01881660199329724	0.03693433584457819	STAligner
scPNMF	Alignment	0.09443045421047251	0.18831421202703374	Cell
Charter
scPNMF	Clustering	0.1487136696703284	0.1438502021393153	Cell
Charter
scPNMF	Integration	0.005373233298150988	0.3970288127229464	Cell
Charter
scPNMF	Overall	0.13040773585883483	0.1267218721632553	Cell
Charter
scPNMF	Alignment	-0.17526879102339865	0.254042841089973	GPSA
scPNMF	Clustering	-0.5408201456880759	0.16021869013703957	GPSA
scPNMF	Integration	0.05854836823900509	0.2202724906111059	GPSA
scPNMF	Overall	-0.2760002348562458	0.1444136932656586	GPSA
scPNMF	Alignment	0.026724504949759864	0.20640338121647925	STAligner
scPNMF	Clustering	0.050212576585543046	0.19117731839195443	STAligner
scPNMF	Integration	-0.04121612888297545	0.2691968020021064	STAligner
scPNMF	Overall	0.021989058976283716	0.1181594378608997	STAligner
scSEGIndex	Alignment	0.24407603298637895	0.2778435574028054	Cell
Charter
scSEGIndex	Clustering	0.1771692063240774	0.10362728405683545	Cell
Charter
scSEGIndex	Integration	0.1381363341388648	0.4701612789937387	Cell
Charter
scSEGIndex	Overall	0.2543192981322102	0.14981188210267674	Cell
Charter
scSEGIndex	Alignment	-0.02107891560873802	0.21597397164276144	GPSA
scSEGIndex	Clustering	-0.4666800227985726	0.16208082492789364	GPSA
scSEGIndex	Integration	0.19032810777868117	0.10663424728772802	GPSA
scSEGIndex	Overall	-0.13272724262824942	0.10162753864752051	GPSA
scSEGIndex	Alignment	0.15212659379065088	0.2715430953620922	STAligner
scSEGIndex	Clustering	0.03134298730608947	0.18828760833034472	STAligner
scSEGIndex	Integration	0.05723118389034808	0.33789140529469375	STAligner
scSEGIndex	Overall	0.11014305976298404	0.12182653449063985	STAligner
scanpy-CellRanger	Alignment	0.013001535340571422	0.13131716310343353	Cell
Charter
scanpy-CellRanger	Clustering	0.17489878323210387	0.14637474448817525	Cell
Charter
scanpy-CellRanger	Integration	-0.06018048962895617	0.25306159786758986	Cell
Charter
scanpy-CellRanger	Overall	0.07023032972841192	0.07086902274317473	Cell
Charter
scanpy-CellRanger	Alignment	-0.23604934877115405	0.18868071371153558	GPSA
scanpy-CellRanger	Clustering	-0.5102693219432921	0.20420389106998452	GPSA
scanpy-CellRanger	Integration	-0.008203410878609839	0.276680033871042	GPSA
scanpy-CellRanger	Overall	-0.31705370989702597	0.12560389821275056	GPSA
scanpy-CellRanger	Alignment	-0.03524303679340607	0.15694126539055187	STAligner
scanpy-CellRanger	Clustering	0.08415211785860022	0.20766145722556836	STAligner
scanpy-CellRanger	Integration	-0.10753364253311312	0.16958291594809383	STAligner
scanpy-CellRanger	Overall	-0.019818237628387452	0.09249585351104041	STAligner
scanpy-CellRanger (batch)	Alignment	-8.225378134454712e-4	0.08739869032207828	Cell
Charter
scanpy-CellRanger (batch)	Clustering	0.14817996789008486	0.14406376563245288	Cell
Charter
scanpy-CellRanger (batch)	Integration	-0.03858842611163733	0.26325168456962417	Cell
Charter
scanpy-CellRanger (batch)	Overall	0.06488188680931256	0.05076875483443532	Cell
Charter
scanpy-CellRanger (batch)	Alignment	-0.24405160871447742	0.17795541684670135	GPSA
scanpy-CellRanger (batch)	Clustering	-0.505578567278051	0.2144304438686825	GPSA
scanpy-CellRanger (batch)	Integration	0.008590522304474588	0.27427428366550116	GPSA
scanpy-CellRanger (batch)	Overall	-0.311640241731356	0.13858290805074333	GPSA
