dataset	task	metric_name	Lower	Upper	NFiniteSettings	Range	RangeStatus	FrozenScaleDenominator	RangeSource
STOmics0212	clustering_eval	ari	0.0076496369	0.16880999330000002	438	0.1611603564	ok	0.1611603564	seed-averaged setting-level oriented metric values
STOmics0212	clustering_eval	nmi	0.0147818701	0.3051013896	438	0.2903195195	ok	0.2903195195	seed-averaged setting-level oriented metric values
STOmics0212	clustering_eval	silhouette	0.0385055691	0.7208960056	438	0.6823904365	ok	0.6823904365	seed-averaged setting-level oriented metric values
STOmics0212	integration_eval	GC	0.4446001872	0.9779866342	438	0.533386447	ok	0.533386447	seed-averaged setting-level oriented metric values
STOmics0212	integration_eval	ILL	0.0396478794	0.5673981191	438	0.5277502397	ok	0.5277502397	seed-averaged setting-level oriented metric values
STOmics0212	integration_eval	bASW	0.7068503737	0.9739813784	438	0.26713100469999995	ok	0.26713100469999995	seed-averaged setting-level oriented metric values
STOmics0212	integration_eval	dASW	0.3437324315	0.4827909749	438	0.1390585434	ok	0.1390585434	seed-averaged setting-level oriented metric values
STOmics0212	integration_eval	dLISI	0.687384244	0.9384981886	438	0.2511139446	ok	0.2511139446	seed-averaged setting-level oriented metric values
STOmics0212	integration_eval	iLISI	0.0014062527	0.4076922063	438	0.4062859536	ok	0.4062859536	seed-averaged setting-level oriented metric values
STOmics0218	clustering_eval	CHAOS	-0.1319056764	-0.0695042012	438	0.0624014752	ok	0.0624014752	seed-averaged setting-level oriented metric values
STOmics0218	clustering_eval	PAS	-0.9626604434	-0.0273378896	438	0.9353225538	ok	0.9353225538	seed-averaged setting-level oriented metric values
STOmics0218	clustering_eval	ari	-0.0974905756	0.3044317262	438	0.4019223018	ok	0.4019223018	seed-averaged setting-level oriented metric values
STOmics0218	clustering_eval	nmi	0.0389249396	0.3903573009	438	0.3514323613	ok	0.3514323613	seed-averaged setting-level oriented metric values
STOmics0218	clustering_eval	silhouette	-0.0131755173	0.9114953279	438	0.9246708452	ok	0.9246708452	seed-averaged setting-level oriented metric values
STOmics0218	integration_eval	GC	0.3507730146	0.9588739417	438	0.6081009271	ok	0.6081009271	seed-averaged setting-level oriented metric values
STOmics0218	integration_eval	ILL	0.0187654182	0.5862423569	438	0.5674769387	ok	0.5674769387	seed-averaged setting-level oriented metric values
STOmics0218	integration_eval	bASW	0.2294717183	0.9820746967	438	0.7526029784	ok	0.7526029784	seed-averaged setting-level oriented metric values
STOmics0218	integration_eval	dASW	0.3357064426	0.5507691577	438	0.21506271510000002	ok	0.21506271510000002	seed-averaged setting-level oriented metric values
STOmics0218	integration_eval	dLISI	0.8510269188	0.973819228	438	0.12279230919999995	ok	0.12279230919999995	seed-averaged setting-level oriented metric values
STOmics0218	integration_eval	iLISI	0.0072132686	0.6533330692	438	0.6461198006	ok	0.6461198006	seed-averaged setting-level oriented metric values
STOmics0224	clustering_eval	CHAOS	-0.1318392451	-0.0726271142	438	0.05921213090000001	ok	0.05921213090000001	seed-averaged setting-level oriented metric values
STOmics0224	clustering_eval	PAS	-0.9725833333	-0.06725	438	0.9053333333	ok	0.9053333333	seed-averaged setting-level oriented metric values
STOmics0224	clustering_eval	ari	0.0047920156	0.0801896449	438	0.07539762929999999	ok	0.07539762929999999	seed-averaged setting-level oriented metric values
STOmics0224	clustering_eval	nmi	0.0061898033	0.1129254461	438	0.10673564279999999	ok	0.10673564279999999	seed-averaged setting-level oriented metric values
STOmics0224	clustering_eval	silhouette	-0.0102415066	0.4495570362	438	0.4597985428	ok	0.4597985428	seed-averaged setting-level oriented metric values
STOmics0224	integration_eval	GC	0.37765927186666665	0.9255524114	438	0.5478931395333333	ok	0.5478931395333333	seed-averaged setting-level oriented metric values
STOmics0224	integration_eval	ILL	0.0	0.2352941176	438	0.2352941176	ok	0.2352941176	seed-averaged setting-level oriented metric values
STOmics0224	integration_eval	bASW	0.8545520338	0.9956572162	438	0.14110518240000003	ok	0.14110518240000003	seed-averaged setting-level oriented metric values
STOmics0224	integration_eval	dASW	0.3916968753	0.4969716542	438	0.10527477889999998	ok	0.10527477889999998	seed-averaged setting-level oriented metric values
STOmics0224	integration_eval	dLISI	0.5420381727	0.7748628095	438	0.23282463679999998	ok	0.23282463679999998	seed-averaged setting-level oriented metric values
STOmics0224	integration_eval	iLISI	0.0349506773	0.62555076	438	0.5906000827	ok	0.5906000827	seed-averaged setting-level oriented metric values
