dataset	fs_method	n_features	integration_method	task	metric_name	ValueMeanRaw	ValueSDRaw	OrientedMean	OrientedSD	NSeeds	EffectiveFeaturesMin	EffectiveFeaturesMax	RuntimeMean	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Brennecke	1000	cellcharter	clustering_eval	ari	0.1823914167		0.1823914167		1	1000	1000	66.3855906501	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.45961170417746905
DLPFC	Brennecke	1000	cellcharter	clustering_eval	nmi	0.3182680596		0.3182680596		1	1000	1000	66.3855906501	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.5822999065338929
DLPFC	Brennecke	1000	cellcharter	clustering_eval	silhouette	0.0865360349		0.0865360349		1	1000	1000	66.3855906501	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.06728636579750892
DLPFC	Brennecke	1000	cellcharter	integration_eval	GC	0.9768967787		0.9768967787		1	1000	1000	68.9939867109	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9775362388913287
DLPFC	Brennecke	1000	cellcharter	integration_eval	ILL	0.5501270394		0.5501270394		1	1000	1000	68.9939867109	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.6816759971600032
DLPFC	Brennecke	1000	cellcharter	integration_eval	bASW	0.9715258805		0.9715258805		1	1000	1000	68.9939867109	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9662267938943121
DLPFC	Brennecke	1000	cellcharter	integration_eval	dASW	0.5058781649		0.5058781649		1	1000	1000	68.9939867109	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.778322191789958
DLPFC	Brennecke	1000	cellcharter	integration_eval	dLISI	0.882378668		0.882378668		1	1000	1000	68.9939867109	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.853274357517421
DLPFC	Brennecke	1000	cellcharter	integration_eval	iLISI	0.2051569024		0.2051569024		1	1000	1000	68.9939867109	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.2827896784125562
DLPFC	Brennecke	1000	scvi	alignment_eval	Accuracy	0.4536		0.4536		1	1000	1000	39.8982423032	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.4473161033797217
DLPFC	Brennecke	1000	scvi	alignment_eval	Ratio	0.8265828566		-0.8265828566		1	1000	1000	39.8982423032	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9841137031002982
DLPFC	Brennecke	1000	scvi	clustering_eval	CHAOS	0.0737934809		-0.0737934809		1	1000	1000	40.7450697599	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.49662510471305515
DLPFC	Brennecke	1000	scvi	clustering_eval	PAS	0.42125		-0.42125		1	1000	1000	40.7450697599	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.507869920967529
DLPFC	Brennecke	1000	scvi	clustering_eval	ari	0.1401787627		0.1401787627		1	1000	1000	40.7450697599	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.3468904398754295
DLPFC	Brennecke	1000	scvi	clustering_eval	nmi	0.2145053719		0.2145053719		1	1000	1000	40.7450697599	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.3808106079099839
DLPFC	Brennecke	1000	scvi	clustering_eval	silhouette	0.1679599583		0.1679599583		1	1000	1000	40.7450697599	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.163072146137843
DLPFC	Brennecke	1000	scvi	integration_eval	GC	0.8351386767		0.8351386767		1	1000	1000	42.5088175675	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.7909356034214644
DLPFC	Brennecke	1000	scvi	integration_eval	ILL	0.3611282933		0.3611282933		1	1000	1000	42.5088175675	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.2985093272557933
DLPFC	Brennecke	1000	scvi	integration_eval	bASW	0.9783675361		0.9783675361		1	1000	1000	42.5088175675	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9753780169817405
DLPFC	Brennecke	1000	scvi	integration_eval	dASW	0.4929285515		0.4929285515		1	1000	1000	42.5088175675	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.680947372425076
DLPFC	Brennecke	1000	scvi	integration_eval	dLISI	0.7670917707		0.7670917707		1	1000	1000	42.5088175675	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.6060353788658779
DLPFC	Brennecke	1000	scvi	integration_eval	iLISI	0.6480589286		0.6480589286		1	1000	1000	42.5088175675	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.8971799174388115
DLPFC	Brennecke	10000	cellcharter	alignment_eval	Accuracy	0.6846		0.6846		1	10000	10000	192.1670436971	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.8409542743538767
DLPFC	Brennecke	10000	cellcharter	alignment_eval	Ratio	1.4769334896		-1.4769334896		1	10000	10000	192.1670436971	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.8724845558185373
DLPFC	Brennecke	10000	cellcharter	clustering_eval	CHAOS	0.0585034272		-0.0585034272		1	10000	10000	192.5292484639	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.9894586182592957
DLPFC	Brennecke	10000	cellcharter	clustering_eval	PAS	0.03825		-0.03825		1	10000	10000	192.5292484639	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.9858896130780258
DLPFC	Brennecke	10000	cellcharter	clustering_eval	ari	0.2163365104		0.2163365104		1	10000	10000	192.5292484639	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.550255942720613
DLPFC	Brennecke	10000	cellcharter	clustering_eval	nmi	0.3653788923		0.3653788923		1	10000	10000	192.5292484639	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.6737810434311525
DLPFC	Brennecke	10000	cellcharter	clustering_eval	silhouette	0.2144700885		0.2144700885		1	10000	10000	192.5292484639	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.21778590751055446
DLPFC	Brennecke	10000	cellcharter	integration_eval	GC	0.8275157868		0.8275157868		1	10000	10000	195.1995171402	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.7809013543775769
DLPFC	Brennecke	10000	cellcharter	integration_eval	ILL	0.6506164688		0.6506164688		1	10000	10000	195.1995171402	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.8854032748182343
DLPFC	Brennecke	10000	cellcharter	integration_eval	bASW	0.9121234617		0.9121234617		1	10000	10000	195.1995171402	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.88677164178586
DLPFC	Brennecke	10000	cellcharter	integration_eval	dASW	0.5154968509		0.5154968509		1	10000	10000	195.1995171402	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.8506500507650767
DLPFC	Brennecke	10000	cellcharter	integration_eval	dLISI	0.9308310174		0.9308310174		1	10000	10000	195.1995171402	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.9571830380307936
DLPFC	Brennecke	10000	cellcharter	integration_eval	iLISI	0.1266977175		0.1266977175		1	10000	10000	195.1995171402	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.17395170858410347
DLPFC	Brennecke	10000	scvi	alignment_eval	Accuracy	0.4539		0.4539		1	10000	10000	153.5570905162	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.44782732178358425
DLPFC	Brennecke	10000	scvi	alignment_eval	Ratio	1.1600112078		-1.1600112078		1	10000	10000	153.5570905162	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9268825409619206
DLPFC	Brennecke	10000	scvi	clustering_eval	CHAOS	0.0708753789		-0.0708753789		1	10000	10000	154.4615604728	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.5906822277136313
DLPFC	Brennecke	10000	scvi	clustering_eval	PAS	0.4983333333		-0.4983333333		1	10000	10000	154.4615604728	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.4116627375447698
DLPFC	Brennecke	10000	scvi	clustering_eval	ari	0.1533425577		0.1533425577		1	10000	10000	154.4615604728	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.38204197560717634
DLPFC	Brennecke	10000	scvi	clustering_eval	nmi	0.2617568267		0.2617568267		1	10000	10000	154.4615604728	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.4725648087469707
DLPFC	Brennecke	10000	scvi	clustering_eval	silhouette	0.3766685724		0.3766685724		1	10000	10000	154.4615604728	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.4085935682278789
DLPFC	Brennecke	10000	scvi	integration_eval	GC	0.6966643214		0.6966643214		1	10000	10000	156.1599845439	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.6086574667174349
DLPFC	Brennecke	10000	scvi	integration_eval	ILL	0.38583775		0.38583775		1	10000	10000	156.1599845439	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.3486040524021273
DLPFC	Brennecke	10000	scvi	integration_eval	bASW	0.9352125445		0.9352125445		1	10000	10000	156.1599845439	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9176550068571598
DLPFC	Brennecke	10000	scvi	integration_eval	dASW	0.4732996207		0.4732996207		1	10000	10000	156.1599845439	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.5333473219883765
DLPFC	Brennecke	10000	scvi	integration_eval	dLISI	0.7918723539		0.7918723539		1	10000	10000	156.1599845439	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.6591786780980066
DLPFC	Brennecke	10000	scvi	integration_eval	iLISI	0.1820882161		0.1820882161		1	10000	10000	156.1599845439	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.25078897656099464
DLPFC	Brennecke	200	cellcharter	alignment_eval	Accuracy	0.6176		0.6176		1	200	200	56.501858783	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.7267821641579097
DLPFC	Brennecke	200	cellcharter	alignment_eval	Ratio	1.1023591621		-1.1023591621		1	200	200	56.501858783	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9367782008936303
DLPFC	Brennecke	200	cellcharter	clustering_eval	CHAOS	0.0602395867		-0.0602395867		1	200	200	56.8694719262	-0.0892011679	-0.0581763831	0.031024784800000003	ok	0.031024784800000003	0.9334982139827768
DLPFC	Brennecke	200	cellcharter	clustering_eval	PAS	0.09575		-0.09575		1	200	200	56.8694719262	-0.8281666667	-0.026944444433333336	0.8012222222666667	ok	0.8012222222666667	0.9141242546019068
DLPFC	Brennecke	200	cellcharter	clustering_eval	ari	0.1586858554		0.1586858554		1	200	200	56.8694719262	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.3963102865332361
DLPFC	Brennecke	200	cellcharter	clustering_eval	nmi	0.2696496248		0.2696496248		1	200	200	56.8694719262	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.4878912655745642
DLPFC	Brennecke	200	cellcharter	clustering_eval	silhouette	0.0721952021		0.0721952021		1	200	200	56.8694719262	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.05041604313164904
DLPFC	Brennecke	200	cellcharter	integration_eval	GC	0.9743906702		0.9743906702		1	200	200	59.4338934319	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9742373696763865
DLPFC	Brennecke	200	cellcharter	integration_eval	ILL	0.4859353572		0.4859353572		1	200	200	59.4338934319	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.5515369691946564
