dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
DLPFC	nbumi	10000	scvi	0.577341003668302		1	0.630082208003802		1	0.603711605836052		1	0.5053818104360729		1	0.5254524612611676		1	0.5154171358486203		1	0.7374215605181726		1	0.5595643708423361		1	0.6188501007342816		1	expression_driven
DLPFC	nbumi	200	cellcharter	0.6308961983836723		1	0.9058782094636593		1	0.7683872039236658		1	0.6719646513812664		1	0.7812943759449021		1	0.7266295136630843		1	0.9229322789184833		1	0.7475083587933751		1	0.8059829988350778		1	expression_driven
DLPFC	nbumi	200	scvi	0.9395991489860309		1	0.666257120327442		1	0.8029281346567365		1	0.41237674713820766		1	0.4519388982592034		1	0.4321578226987055		1	0.7872135774164964		1	0.617542978677721		1	0.6740998449239796		1	expression_driven
DLPFC	nbumi	2000	cellcharter	0.5764380952018068	0.004616473023369068	3	0.9654127168890069	0.010950558389860764	3	0.7709254060454068	0.007059352427023509	3	0.7063641968272801	0.00392930941656978	3	0.7932598511724201	0.17632263150251318	3	0.7498120239998501	0.09010851520377666	3	0.9380541998952318	0.011172140074078643	3	0.7603687150226285	0.04799458340856147	3	0.8195972099801629	0.03385881965688889	3	expression_driven
DLPFC	nbumi	2000	scvi	0.8518838857950825	0.02076708814844022	3	0.7423024175793085	0.0022159039464821296	3	0.7970931516871955	0.00930782623517932	3	0.5041929104968407	0.02883659722832818	3	0.7081819500403999	0.04186858727319957	3	0.6061874302686202	0.03513610742571836	3	0.8233633062808771	0.0010380044360986376	3	0.7016402909779078	0.02199291209100546	3	0.7422146294122309	0.01491452833737384	3	expression_driven
DLPFC	nbumi	500	cellcharter	0.606348461299448		1	0.9361785370147904		1	0.7712634991571192		1	0.6869895623916777		1	0.8276162750158758		1	0.7573029187037768		1	0.9412512554533359		1	0.764283208930448		1	0.8232725577714106		1	expression_driven
DLPFC	nbumi	500	scvi	0.8518171973105859		1	0.6872850812600911		1	0.7695511392853385		1	0.46172910690952446		1	0.5965700289451613		1	0.5291495679273429		1	0.7994287827999037		1	0.6493503536063407		1	0.6993764966708618		1	expression_driven
DLPFC	nbumi	5000	cellcharter	0.5635255733642426		1	0.9664037727509864		1	0.7649646730576145		1	0.7140038454126408		1	0.6924640599305273		1	0.7032339526715841		1	0.9306575427419906		1	0.7340993128645993		1	0.7996187228237298		1	expression_driven
DLPFC	nbumi	5000	scvi	0.8396967019885779		1	0.7466512106747335		1	0.7931739563316558		1	0.5526070850899552		1	0.7563969738233972		1	0.6545020294566761		1	0.8207489360299128		1	0.723837992894166		1	0.7561416406060816		1	expression_driven
DLPFC	nnsvg	100	cellcharter	0.6371483984450738		1	0.8974457242295937		1	0.7672970613373338		1	0.66890547593345		1	0.7948734746923373		1	0.7318894753128936		1	0.9196132847545293		1	0.7495932683251136		1	0.8062666071349188		1	spatially_informed
DLPFC	nnsvg	100	scvi	0.920049515973878		1	0.7120955607693876		1	0.8160725383716327		1	0.42615612626674354		1	0.6282217727756558		1	0.5271889495211997		1	0.7941877853871708		1	0.6716307439464162		1	0.7124830910933344		1	spatially_informed
DLPFC	nnsvg	1000	cellcharter	0.5521628820035486		1	0.9632635832126915		1	0.75771323260812		1	0.6977553858242916		1	0.7031187235119463		1	0.7004370546681189		1	0.9195558580792704		1	0.7290751436381194		1	0.7925687151185031		1	spatially_informed
DLPFC	nnsvg	1000	scvi	0.8056647766809264		1	0.7130964736740969		1	0.7593806251775117		1	0.49076377959345185		1	0.6879910900305787		1	0.5893774348120153		1	0.7986279367038912		1	0.6743790299947635		1	0.7157953322311394		1	spatially_informed
