dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Visium	4	Brennecke	1000	cellcharter	integration_eval	iLISI	0.2051569024	0	68.9939867109	28892.62109375	1000	cache_signature=83811add1fd060e5b2d04bb91b478e91	1	0.2051569024	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.2827896784125562
DLPFC	Visium	4	Brennecke	1000	cellcharter	integration_eval	dASW	0.5058781649	0	68.9939867109	28892.62109375	1000	cache_signature=83811add1fd060e5b2d04bb91b478e91	1	0.5058781649	0.4023712054	0.535358496	0.13298729059999997	ok	0.13298729059999997	0.778322191789958
DLPFC	Visium	4	Brennecke	1000	cellcharter	integration_eval	dLISI	0.882378668	0	68.9939867109	28892.62109375	1000	cache_signature=83811add1fd060e5b2d04bb91b478e91	1	0.882378668	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.853274357517421
DLPFC	Visium	4	Brennecke	1000	cellcharter	integration_eval	ILL	0.5501270394	0	68.9939867109	28892.62109375	1000	cache_signature=83811add1fd060e5b2d04bb91b478e91	1	0.5501270394	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.6816759971600032
DLPFC	Visium	4	Brennecke	1000	cellcharter	integration_eval	GC	0.9768967787	0	68.9939867109	28892.62109375	1000	cache_signature=83811add1fd060e5b2d04bb91b478e91	1	0.9768967787	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9775362388913287
DLPFC	Visium	4	Brennecke	10000	cellcharter	alignment_eval	Accuracy	0.6846	0	192.1670436971	28892.62109375	10000	cache_signature=705d0991557641f0ab761f348292a7c9	1	0.6846	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.8409542743538767
DLPFC	Visium	4	Brennecke	10000	cellcharter	alignment_eval	Ratio	1.4769334896	0	192.1670436971	28892.62109375	10000	cache_signature=705d0991557641f0ab761f348292a7c9	-1	-1.4769334896	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.8724845558185373
DLPFC	Visium	4	Brennecke	10000	cellcharter	clustering_eval	silhouette	0.2144700885	0	192.5292484639	28892.62109375	10000	cache_signature=e4d387a58c295d021da3d4c2107d9eb6	1	0.2144700885	0.029338402066666668	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.21778590751055446
DLPFC	Visium	4	Brennecke	10000	cellcharter	clustering_eval	ari	0.2163365104	0	192.5292484639	28892.62109375	10000	cache_signature=e4d387a58c295d021da3d4c2107d9eb6	1	0.2163365104	0.0102727844	0.3847598367	0.3744870523	ok	0.3744870523	0.550255942720613
DLPFC	Visium	4	Brennecke	10000	cellcharter	clustering_eval	nmi	0.3653788923	0	192.5292484639	28892.62109375	10000	cache_signature=e4d387a58c295d021da3d4c2107d9eb6	1	0.3653788923	0.0183960378	0.5333746913	0.5149786535	ok	0.5149786535	0.6737810434311525
