Method	Dataset	Label	Lineage	Difference
scanpy-Seurat (batch) (N=2000)	Epithelial	Merkel Cell	Epithelial	-0.020000000000000018
scanpy-Seurat (batch) (N=2000)	Epithelial	Stem Cell	Epithelial	-0.020000000000000004
scanpy-Seurat (batch) (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.05999999999999994
scanpy-SeuratV3 (N=2000)	Immune	Langerhans Cell	Immune	-0.21999999999999997
scanpy-SeuratV3 (N=2000)	Immune	T Cell	Immune	0.24
scanpy-SeuratV3 (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.16999999999999998
scanpy-SeuratV3 (N=2000)	Epithelial	Merkel Cell	Epithelial	0.009999999999999898
scanpy-SeuratV3 (N=2000)	Epithelial	Stem Cell	Epithelial	-0.07999999999999996
scanpy-SeuratV3 (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.16000000000000003
scanpy-SeuratV3 (batch) (N=2000)	Immune	Langerhans Cell	Immune	-0.009999999999999953
scanpy-SeuratV3 (batch) (N=2000)	Immune	T Cell	Immune	0.12
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Keratinocyte	Epithelial	0.020000000000000004
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Merkel Cell	Epithelial	0.13
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Stem Cell	Epithelial	0.020000000000000018
scanpy-SeuratV3 (batch) (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.13
scPNMF (N=2000)	Immune	Langerhans Cell	Immune	0.0
scPNMF (N=2000)	Immune	T Cell	Immune	-0.48
scPNMF (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.040000000000000036
scPNMF (N=2000)	Epithelial	Merkel Cell	Epithelial	-0.09999999999999998
scPNMF (N=2000)	Epithelial	Stem Cell	Epithelial	-0.17000000000000004
scPNMF (N=2000)	Epithelial	Progenitor Cell	Epithelial	0.050000000000000044
scry (N=2000)	Immune	Langerhans Cell	Immune	0.0
scry (N=2000)	Immune	T Cell	Immune	-0.030000000000000027
scry (N=2000)	Epithelial	Keratinocyte	Epithelial	0.010000000000000009
scry (N=2000)	Epithelial	Merkel Cell	Epithelial	0.0
scry (N=2000)	Epithelial	Stem Cell	Epithelial	0.050000000000000044
scry (N=2000)	Epithelial	Progenitor Cell	Epithelial	-0.05999999999999994
scSEGIndex (N=2000)	Immune	Langerhans Cell	Immune	0.74
scSEGIndex (N=2000)	Immune	T Cell	Immune	-0.06
scSEGIndex (N=2000)	Epithelial	Keratinocyte	Epithelial	-0.1
scSEGIndex (N=2000)	Epithelial	Merkel Cell	Epithelial	-0.010000000000000009
