Dataset	Metric	Type	Lower	Upper	Range
STOmicsVisium5Samples	CHAOS	Clustering	-0.1030627511	-0.0518635876	0.051199163500000006
STOmicsVisium5Samples	GC	Integration	0.0934730926	0.908440284	0.8149671914
STOmicsVisium5Samples	ILL	Integration	0.0	0.6132142857	0.6132142857
STOmicsVisium5Samples	PAS	Clustering	-0.9991987179	-0.0	0.9991987179
STOmicsVisium5Samples	Ratio	Alignment	-11.2877123795	-0.8023411628	10.4853712167
STOmicsVisium5Samples	ari	Clustering	-8.34073e-05	0.2992252707	0.299308678
STOmicsVisium5Samples	bASW	Integration	0.0	1.0	1.0
STOmicsVisium5Samples	dASW	Integration	0.0060440302	0.5	0.4939559698
STOmicsVisium5Samples	dLISI	Integration	0.6457475403	0.9438511934	0.2981036531
STOmicsVisium5Samples	iLISI	Integration	0.0	0.7555969733	0.7555969733
STOmicsVisium5Samples	nmi	Clustering	0.0	0.3306331812	0.3306331812
STOmicsVisium5Samples	silhouette	Clustering	-0.0561974607	1.0	1.0561974607
