Dataset	Platform	NSlices	Method	MethodBase	SelFeatures	Integration	IntegrationLabel	Task	TaskLabel	Type	Metric	MetricName	Value	ValueRaw	HigherBetter	Seed	Runtime	EffectiveFeatures	Notes
DLPFC	Visium	4	Brennecke-N1000	Brennecke	1000	cellcharter	CellCharter	integration_eval	Integration	Integration	GC	GC	0.9751348781	0.9751348781	True	0	244.9787455127	1000	cache_signature=5c6913102e220da921fb9ded0ca555ac
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Accuracy	Accuracy	0.7291953093	0.7291953093	True	0	706.177333219	10000	cache_signature=90c61090a87b9a292d913fc432680e52
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	alignment_eval	Alignment	Alignment	Ratio	Ratio	-1.4525085615	1.4525085615	False	0	706.177333219	10000	cache_signature=90c61090a87b9a292d913fc432680e52
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	silhouette	Silhouette	0.0887881368	0.0887881368	True	0	706.5199034773	10000	cache_signature=8f903935327703d5d8c4466baf096eaa
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	ari	ARI	0.2514432519	0.2514432519	True	0	706.5199034773	10000	cache_signature=8f903935327703d5d8c4466baf096eaa
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	nmi	NMI	0.3997453381	0.3997453381	True	0	706.5199034773	10000	cache_signature=8f903935327703d5d8c4466baf096eaa
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	CHAOS	CHAOS	-0.0586108007	0.0586108007	False	0	706.5199034773	10000	cache_signature=8f903935327703d5d8c4466baf096eaa
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	clustering_eval	Clustering	Clustering	PAS	PAS	-0.0492508485	0.0492508485	False	0	706.5199034773	10000	cache_signature=8f903935327703d5d8c4466baf096eaa
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	integration_eval	Integration	Integration	bASW	bASW	0.9684008281	0.9684008281	True	0	711.1631712671	10000	cache_signature=15f9e71f3f597a199f332f2c62397567
DLPFC	Visium	4	Brennecke-N10000	Brennecke	10000	cellcharter	CellCharter	integration_eval	Integration	Integration	iLISI	iLISI	0.2208554504	0.2208554504	True	0	711.1631712671	10000	cache_signature=15f9e71f3f597a199f332f2c62397567
