dataset	fs_method	n_features	MethodGroup	CanonicalConfig	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	BatchMixingRank	BiologicalConservationRank	IntegrationRank	LabelIndependentClusteringRank	LabelAgreementRank	ClusteringRank	AlignmentRank	CoreOverallRank	AlignmentEligibleOverallRank
DLPFC	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.6027768003037455	0.0014756408265539	3	0.8511928773946383	0.0091343660383141	3	0.7269848388491919	0.0044783774504211	3	0.6770619605031593	0.0077637964529055	3	0.6045300817662366	0.0378757926314918	3	0.6407960211346979	0.017651522541277	3	0.8515784664846677	0.0062835652961512	3	0.6838904299919449	0.0095044503884867	3	0.7397864421561859	0.0083397148803509	3	5.0	25.0	26.0	25.0	27.0	27.0	27.0	27.0	28.0
DLPFC	Brennecke	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8575313007763056	0.0191487452037109	3	0.6286432292469821	0.0178061847065468	3	0.7430872650116438	0.0112579290956537	3	0.4279932018445287	0.0083542791059692	3	0.4523045572990997	0.024047738358732	3	0.4401488795718142	0.0119174152565363	3	0.7251048785642406	0.0089283602795805	3	0.591618072291729	0.0100626739758372	3	0.6361136743825662	0.0096108795624819	3	6.0	27.0	18.0	27.0	26.0	27.0	29.0	26.0	27.0
DLPFC	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5361794303507982	0.001831856888663	3	0.9182927755907048	0.0311515964241503	3	0.7272361029707515	0.0164916106357032	3	0.7232766891251775	0.0015987729430312	3	0.6962529099944604	0.0192892902546022	3	0.709764799559819	0.0101695692912489	3	0.917312075942172	0.0074896920449659	3	0.7185004512652852	0.0130899116778754	3	0.7847709928242476	0.0069880141251843	3	28.0	19.0	25.0	2.0	11.0	10.0	14.0	14.0	13.0
DLPFC	anticor	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.7278972203226646	0.0534098794976199	3	0.7303041041834142	0.0239039085406495	3	0.7291006622530394	0.0383426150250033	3	0.4972734964850218	0.0114451026443644	3	0.6943105858480122	0.0321572152421962	3	0.5957920411665171	0.0109523246827441	3	0.7989031743850794	0.0324055230094983	3	0.6624463517097782	0.0161273358913765	3	0.7079319592682118	0.0214768064978304	3	24.0	9.0	23.0	15.0	11.0	11.0	10.0	15.0	13.0
DLPFC	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5676949608535634	0.0035454056306042	3	0.95425417985785	0.0048231659321575	3	0.7609745703557067	0.0012129408840161	3	0.706922386740961	0.0009834632237789	3	0.6881526847236229	0.0631230042567407	3	0.6975375357322919	0.0319874030802809	3	0.9296509408060478	0.0034904389986611	3	0.7292560530439993	0.0155654467168986	3	0.7960543489646822	0.010681626843384	3	14.0	7.0	7.0	9.0	13.0	13.0	7.0	10.0	10.0
DLPFC	dubstepr	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.8113686337161141	0.0337635512217888	3	0.7281999369782866	0.0062750372324471	3	0.7697842853472004	0.0153064050489661	3	0.5152503300898409	0.0082037124626367	3	0.7086935325682492	0.0168427154736801	3	0.611971931329045	0.0098266472219332	3	0.8141767943246973	0.0036840877149621	3	0.6908781083381227	0.0110131827559994	3	0.7319776703336475	0.0071003016097685	3	14.0	10.0	9.0	3.0	8.0	6.0	9.0	7.0	7.0
DLPFC	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	cellcharter	0.5412582743306723	0.0043014037650316	3	0.9255143520029544	0.0441770581789831	3	0.7333863131668134	0.020849120874227	3	0.7263796062481965	0.0040861638735604	3	0.6857936671180017	0.0967744558755323	3	0.7060866366830991	0.0468633757726111	3	0.9274054422436844	0.0037376169007899	3	0.7197364749249563	0.027380104299377	3	0.788959464031199	0.0192128860507899	3	26.0	18.0	24.0	1.0	14.0	11.0	8.0	13.0	12.0
DLPFC	hotspot	2000	expression_driven	configs/rebuild_v1/non_spatial_downstream/canonical/dlpfc.yaml	scvi	0.7897886676170446	0.0252986896327954	3	0.7497895507475962	0.0219365414651317	3	0.7697891091823204	0.0052966950399038	3	0.5134706464352076	0.013986465448167	3	0.7423528445564743	0.033065642640662	3	0.6279117454958408	0.0211169415499019	3	0.8157064165572464	0.0128260930950451	3	0.6988504273390808	0.0129465240109499	3	0.7378024237451358	0.0110157577395291	3	17.0	5.0	8.0	7.0	1.0	2.0	8.0	4.0	4.0
DLPFC	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml	cellcharter	0.5459196402667331	0.004153315685326	3	0.9744285784086872	0.0048433846018149	3	0.7601741093377101	0.0044055439995765	3	0.698563637265868	0.018445898350512	3	0.7285136362404397	0.0865260480773875	3	0.7135386367531537	0.0521118466536852	3	0.9193199181987696	0.0038586638767707	3	0.736856373045432	0.0278114931303694	3	0.7976775547632111	0.0196473231929303	3	23.0	1.0	8.0	18.0	8.0	9.0	12.0	9.0	9.0
DLPFC	morans_i	2000	spatially_informed	configs/rebuild_v1/downstream/canonical/dlpfc.yaml	scvi	0.698759013827436	0.1603826061181242	3	0.6502586101598645	0.1653863105950298	3	0.6745088119936503	0.1628823486133435	3	0.4858102878524516	0.0239748011279052	3	0.6448747745035474	0.2048420183870066	3	0.5653425311779995	0.1143824113941414	3	0.7576587837341928	0.1038295273145947	3	0.6199256715858249	0.1386309346857072	3	0.6658367089686142	0.1270287443994633	3	25.0	22.0	26.0	16.0	19.0	18.0	19.0	22.0	22.0
