integration_method	comparison	CoreOverallMean	IntegrationMean	ClusteringMean	AlignmentMean
cellcharter	absolute mean	0.6589163278531561	0.6148943753269581	0.702938280379354	0.9343529043233775
cellcharter	difference from scVI	0.05509444114408266	-0.05186679365561905	0.1620556759437844	0.1645678892069746
graphst	absolute mean	0.6367765570270677	0.5569260535407708	0.7166270605133647	0.8608211428644087
graphst	difference from scVI	0.03295467031799437	-0.10983511544180644	0.17574445607779515	0.09103612774800587
scvi	absolute mean	0.6038218867090734	0.6667611689825772	0.5408826044355695	0.7697850151164031
