graphst_meta	primary_integrator	primary_meta	graphst_feature_hash	primary_feature_hash	status
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_seurat_v3/n2000/seed0/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/scanpy_seurat_v3/n2000/seed0/embedding.meta.json	46661d07557e6373f533403494383308	46661d07557e6373f533403494383308	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_seurat_v3/n2000/seed2/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/scanpy_seurat_v3/n2000/seed2/embedding.meta.json	46661d07557e6373f533403494383308	46661d07557e6373f533403494383308	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_seurat_v3/n2000/seed2/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/scanpy_seurat_v3/n2000/seed2/embedding.meta.json	46661d07557e6373f533403494383308	46661d07557e6373f533403494383308	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_seurat_v3/n2000/seed1/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/scanpy_seurat_v3/n2000/seed1/embedding.meta.json	46661d07557e6373f533403494383308	46661d07557e6373f533403494383308	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/scanpy_seurat_v3/n2000/seed1/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/scanpy_seurat_v3/n2000/seed1/embedding.meta.json	46661d07557e6373f533403494383308	46661d07557e6373f533403494383308	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/hotspot/n2000/seed0/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/hotspot/n2000/seed0/embedding.meta.json	b6640271ec22255b0b713b5082ba0465	b6640271ec22255b0b713b5082ba0465	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/hotspot/n2000/seed0/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/hotspot/n2000/seed0/embedding.meta.json	b6640271ec22255b0b713b5082ba0465	b6640271ec22255b0b713b5082ba0465	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/hotspot/n2000/seed2/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/hotspot/n2000/seed2/embedding.meta.json	e4863a255a7c2c57ab2fcfe56177b9e9	e4863a255a7c2c57ab2fcfe56177b9e9	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/hotspot/n2000/seed2/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/hotspot/n2000/seed2/embedding.meta.json	e4863a255a7c2c57ab2fcfe56177b9e9	e4863a255a7c2c57ab2fcfe56177b9e9	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/hotspot/n2000/seed1/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/hotspot/n2000/seed1/embedding.meta.json	cf11787b6c18f51eb1e0de579f1f45b1	cf11787b6c18f51eb1e0de579f1f45b1	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/hotspot/n2000/seed1/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/hotspot/n2000/seed1/embedding.meta.json	cf11787b6c18f51eb1e0de579f1f45b1	cf11787b6c18f51eb1e0de579f1f45b1	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/nnsvg/n2000/seed0/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/nnsvg/n2000/seed0/embedding.meta.json	a7be6721f189628526dd9f205165d13d	a7be6721f189628526dd9f205165d13d	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/nnsvg/n2000/seed0/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/nnsvg/n2000/seed0/embedding.meta.json	a7be6721f189628526dd9f205165d13d	a7be6721f189628526dd9f205165d13d	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/nnsvg/n2000/seed2/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/nnsvg/n2000/seed2/embedding.meta.json	a7be6721f189628526dd9f205165d13d	a7be6721f189628526dd9f205165d13d	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/nnsvg/n2000/seed2/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/nnsvg/n2000/seed2/embedding.meta.json	a7be6721f189628526dd9f205165d13d	a7be6721f189628526dd9f205165d13d	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/nnsvg/n2000/seed1/embedding.meta.json	scvi	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/scvi/nnsvg/n2000/seed1/embedding.meta.json	a7be6721f189628526dd9f205165d13d	a7be6721f189628526dd9f205165d13d	PASS
/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/graphst/nnsvg/n2000/seed1/embedding.meta.json	cellcharter	/home/xd/y/Benchmark/results/spatial_svg_rebuild_v1/e8p5_embryo/e8p5embryo/cellcharter/nnsvg/n2000/seed1/embedding.meta.json	a7be6721f189628526dd9f205165d13d	a7be6721f189628526dd9f205165d13d	PASS
