dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	DirectionMultiplier	OrientedValue
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	GC		2	25.9653116306	10950.3203125	2000	cache_signature=1dedfcec2de553bb2b2deba497e1e701	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	silhouette	0.1605161726	2	25.6648748927	10950.3203125	2000	cache_signature=826fea7db3d6d718bd829a5e3d4c5e64	1	0.1605161726
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	CHAOS	0.0560874587	2	25.6648748927	10950.3203125	2000	cache_signature=826fea7db3d6d718bd829a5e3d4c5e64	-1	-0.0560874587
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	PAS	0.193	2	25.6648748927	10950.3203125	2000	cache_signature=826fea7db3d6d718bd829a5e3d4c5e64	-1	-0.193
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	bASW	0.9904439868	1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1	0.9904439868
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	iLISI	0.1472682971	1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1	0.1472682971
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dASW		1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	dLISI		1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	ILL		1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	integration_eval	GC		1	25.73527335	11931.84765625	2000	cache_signature=3e07817979d7e24a1b22f9f18310eee3	1	
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	silhouette	0.1631176472	1	25.4460693346	11931.9921875	2000	cache_signature=fe83b702f264e19c7f09560089e2cbba	1	0.1631176472
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	CHAOS	0.0554977897	1	25.4460693346	11931.9921875	2000	cache_signature=fe83b702f264e19c7f09560089e2cbba	-1	-0.0554977897
E8p5Embryo	Slide-seq	6	somde	2000	graphst	clustering_eval	PAS	0.1961666667	1	25.4460693346	11931.9921875	2000	cache_signature=fe83b702f264e19c7f09560089e2cbba	-1	-0.1961666667
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	bASW	0.978537323	0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1	0.978537323
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	iLISI	0.2094022915	0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1	0.2094022915
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	dASW		0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1	
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	dLISI		0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1	
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	ILL		0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1	
E8p5Embryo	Slide-seq	6	scPNMF	2000	graphst	integration_eval	GC		0	26.0112126721	10710.765625	2000	cache_signature=84188fd515648aed606352451c5faa16	1	
