integrator_1	integrator_2	n_methods	spearman_rho	bootstrap_lower_95	bootstrap_upper_95	bootstrap_draws
scvi	cellcharter	29	0.6094674741448701	0.3155199719500452	0.7961535337252887	5000
scvi	graphst	29	0.6280503597764878	0.2970423024396245	0.8425632579115423	5000
cellcharter	graphst	29	0.8284869645344265	0.621822340744684	0.9314075632975358	5000
