dataset	platform	n_slices	fs_method	n_features	integration_method	task	metric_name	metric_value	random_seed	runtime	memory_usage	effective_n_features	notes	Metric	DirectionMultiplier	OrientedValue	Lower	Upper	Range	RangeStatus	FrozenScaleDenominator	ScaledValue
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	PAS	0.0555833333	1	54.1426104754	4476.4375	354	cache_signature=9f6e458e2b137e70331e1c7a554a9ab7	PAS	-1	-0.0555833333	-0.8281666667	-0.0269444444333333	0.8012222222666667	ok	0.8012222222666667	0.9642559978108858
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	bASW	0.9595292528	1	57.1296913698	4476.4375	354	cache_signature=376fabbe9bbb3201e5d9301341bb72e2	bASW	1	0.9595292528	0.2491534837	0.996775472	0.7476219883	ok	0.7476219883	0.9501804123168002
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	iLISI	0.1991068934	1	57.1296913698	4476.4375	354	cache_signature=376fabbe9bbb3201e5d9301341bb72e2	iLISI	1	0.1991068934	0.0012992992	0.7221799351000001	0.7208806359000001	ok	0.7208806359000001	0.27439715307797463
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	dASW	0.5244391114	1	57.1296913698	4476.4375	354	cache_signature=376fabbe9bbb3201e5d9301341bb72e2	dASW	1	0.5244391114	0.4023712054	0.535358496	0.1329872905999999	ok	0.1329872905999999	0.9178915176725926
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	dLISI	0.9355396285	1	57.1296913698	4476.4375	354	cache_signature=376fabbe9bbb3201e5d9301341bb72e2	dLISI	1	0.9355396285	0.4844990385	0.9507964562	0.4662974177	ok	0.4662974177	0.967280908877313
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	ILL	0.6467342614	1	57.1296913698	4476.4375	354	cache_signature=376fabbe9bbb3201e5d9301341bb72e2	ILL	1	0.6467342614	0.2138871761	0.7071418377	0.4932546616000001	ok	0.4932546616000001	0.8775326803723409
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	integration_eval	GC	0.9724876459	1	57.1296913698	4476.4375	354	cache_signature=376fabbe9bbb3201e5d9301341bb72e2	GC	1	0.9724876459	0.2342750748	0.993962209	0.7596871342	ok	0.7596871342	0.9717323591077871
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	alignment_eval	Accuracy	0.7503	2	52.0891322782	4863.83984375	354	cache_signature=7379037c18d5fad5111e1d4f680f275f	Accuracy	1	0.7503	0.1911	0.7779333333333334	0.5868333333333333	ok	0.5868333333333333	0.9529111047997727
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	alignment_eval	Ratio	1.1863036785	2	52.0891322782	4863.83984375	354	cache_signature=7379037c18d5fad5111e1d4f680f275f	Ratio	-1	-1.1863036785	-6.5600224227	-0.7340294017333333	5.825993020966667	ok	5.825993020966667	0.9223695814363293
DLPFC	Visium	4	hybrid_hvg_svg_intersection	2000	cellcharter	clustering_eval	silhouette	0.1139213741	2	52.5710910484	4863.83984375	354	cache_signature=53f992890dacad9ebef24bac368abedf	silhouette	1	0.1139213741	0.0293384020666666	0.8794011474	0.8500627453333333	ok	0.8500627453333333	0.09950203381771079
