dataset	fs_method	n_features	integration_method	Dataset	Integrator	Task	SeedSD	NSeeds
DLPFC	dubstepr	2000	scvi	DLPFC	scVI	Integration	0.015306405048966108	3
DLPFC	hotspot	2000	cellcharter	DLPFC	CellCharter	Alignment	0.0037376169007899405	3
DLPFC	hotspot	2000	cellcharter	DLPFC	CellCharter	Clustering	0.04686337577261118	3
DLPFC	hotspot	2000	cellcharter	DLPFC	CellCharter	Core overall	0.027380104299377043	3
DLPFC	hotspot	2000	cellcharter	DLPFC	CellCharter	Integration	0.020849120874227006	3
DLPFC	hotspot	2000	scvi	DLPFC	scVI	Alignment	0.012826093095045146	3
DLPFC	hotspot	2000	scvi	DLPFC	scVI	Clustering	0.021116941549901916	3
DLPFC	hotspot	2000	scvi	DLPFC	scVI	Core overall	0.012946524010949879	3
DLPFC	hotspot	2000	scvi	DLPFC	scVI	Integration	0.0052966950399038724	3
DLPFC	morans_i	2000	cellcharter	DLPFC	CellCharter	Alignment	0.0038586638767707637	3
DLPFC	morans_i	2000	cellcharter	DLPFC	CellCharter	Clustering	0.05211184665368525	3
DLPFC	morans_i	2000	cellcharter	DLPFC	CellCharter	Core overall	0.02781149313036945	3
DLPFC	morans_i	2000	cellcharter	DLPFC	CellCharter	Integration	0.004405543999576596	3
DLPFC	morans_i	2000	scvi	DLPFC	scVI	Alignment	0.10382952731459476	3
DLPFC	morans_i	2000	scvi	DLPFC	scVI	Clustering	0.1143824113941415	3
DLPFC	morans_i	2000	scvi	DLPFC	scVI	Core overall	0.13863093468570728	3
DLPFC	morans_i	2000	scvi	DLPFC	scVI	Integration	0.16288234861334352	3
DLPFC	nbumi	2000	cellcharter	DLPFC	CellCharter	Alignment	0.011172140074078752	3
DLPFC	nbumi	2000	cellcharter	DLPFC	CellCharter	Clustering	0.0901085152037766	3
DLPFC	nbumi	2000	cellcharter	DLPFC	CellCharter	Core overall	0.04799458340856144	3
DLPFC	nbumi	2000	cellcharter	DLPFC	CellCharter	Integration	0.007059352427023517	3
DLPFC	nbumi	2000	scvi	DLPFC	scVI	Alignment	0.0010380044360986376	3
DLPFC	nbumi	2000	scvi	DLPFC	scVI	Clustering	0.035136107425718356	3
DLPFC	nbumi	2000	scvi	DLPFC	scVI	Core overall	0.021992912091005474	3
DLPFC	nbumi	2000	scvi	DLPFC	scVI	Integration	0.009307826235179367	3
DLPFC	nnsvg	2000	cellcharter	DLPFC	CellCharter	Alignment	0.006858152206402071	3
DLPFC	nnsvg	2000	cellcharter	DLPFC	CellCharter	Clustering	0.030437593713778303	3
DLPFC	nnsvg	2000	cellcharter	DLPFC	CellCharter	Core overall	0.016121578835507952	3
DLPFC	nnsvg	2000	cellcharter	DLPFC	CellCharter	Integration	0.004557239554525777	3
DLPFC	nnsvg	2000	scvi	DLPFC	scVI	Alignment	0.05265259017654091	3
DLPFC	nnsvg	2000	scvi	DLPFC	scVI	Clustering	0.08556481843922516	3
DLPFC	nnsvg	2000	scvi	DLPFC	scVI	Core overall	0.07944539142914002	3
DLPFC	nnsvg	2000	scvi	DLPFC	scVI	Integration	0.07332746674498863	3
DLPFC	osca	2000	cellcharter	DLPFC	CellCharter	Alignment	0.005474564237516234	3
DLPFC	osca	2000	cellcharter	DLPFC	CellCharter	Clustering	0.02967186394516323	3
DLPFC	osca	2000	cellcharter	DLPFC	CellCharter	Core overall	0.013637073726368415	3
DLPFC	osca	2000	cellcharter	DLPFC	CellCharter	Integration	0.005507679888875677	3
DLPFC	osca	2000	scvi	DLPFC	scVI	Alignment	0.00678401076128411	3
DLPFC	osca	2000	scvi	DLPFC	scVI	Clustering	0.022005320300826966	3
DLPFC	osca	2000	scvi	DLPFC	scVI	Core overall	0.021963511590341735	3
DLPFC	osca	2000	scvi	DLPFC	scVI	Integration	0.02222785571839232	3
DLPFC	random	500	cellcharter	DLPFC	CellCharter	Alignment	0.0643910831627718	3
DLPFC	random	500	cellcharter	DLPFC	CellCharter	Clustering	0.1213741395624562	3
DLPFC	random	500	cellcharter	DLPFC	CellCharter	Core overall	0.07878011756993067	3
DLPFC	random	500	cellcharter	DLPFC	CellCharter	Integration	0.037653482926949984	3
