Dataset	Method	Selected
MouseBrainSerialSections	seurat_sct-N2000	2000
MouseBrainSerialSections	seurat_vst-N2000	2000
MouseBrainSerialSections	singleCellHaystack-N2000	2000
MouseBrainSerialSections	somde-N2000	2000
MouseBrainSerialSections	sparkx-N2000	2000
MouseBrainSerialSections	spatialde-N2000	2000
MouseBrainSerialSections	statistic_mean-N2000	2000
MouseBrainSerialSections	statistic_variance-N2000	2000
MouseBrainSerialSections	triku-N2000	2000
STOmics0212	Brennecke-N2000	2000
STOmics0212	TFs-N2000	1627
STOmics0212	all_features-Nall	21587
STOmics0212	anticor-N2000	2000
STOmics0212	dubstepr-N2000	1828
STOmics0212	hotspot-N2000	2000
STOmics0212	morans_i-N2000	2000
STOmics0212	nbumi-N2000	2000
STOmics0212	nnsvg-N2000	2000
STOmics0212	osca-N2000	2000
STOmics0212	random-N500	500
STOmics0212	scPNMF-N2000	2000
STOmics0212	scanpy_cell_ranger-N2000	2000
STOmics0212	scanpy_cell_ranger_batch-N2000	2000
STOmics0212	scanpy_pearson-N2000	2000
STOmics0212	scanpy_pearson_batch-N2000	2000
STOmics0212	scanpy_seurat-N2000	2000
STOmics0212	scanpy_seurat_batch-N2000	2000
STOmics0212	scanpy_seurat_v3-N2000	2000
STOmics0212	scanpy_seurat_v3_batch-N2000	2000
STOmics0212	scry-N2000	2000
STOmics0212	scsegindex-N500	500
STOmics0212	seurat_disp-N2000	2000
STOmics0212	seurat_mvp-N2000	1179
STOmics0212	seurat_sct-N2000	2000
STOmics0212	seurat_vst-N2000	2000
STOmics0212	singleCellHaystack-N2000	2000
STOmics0212	somde-N2000	2000
STOmics0212	sparkx-N2000	2000
STOmics0212	spatialde-N2000	2000
STOmics0212	statistic_mean-N2000	2000
STOmics0212	statistic_variance-N2000	2000
STOmics0212	triku-N2000	2000
STOmics0218	Brennecke-N2000	2000
STOmics0218	TFs-N2000	1364
STOmics0218	all_features-Nall	32285
STOmics0218	anticor-N2000	2000
STOmics0218	dubstepr-N2000	2000
STOmics0218	hotspot-N2000	2000
STOmics0218	morans_i-N2000	2000
STOmics0218	nbumi-N2000	2000
STOmics0218	nnsvg-N2000	2000
STOmics0218	osca-N2000	2000
STOmics0218	random-N500	500
STOmics0218	scPNMF-N2000	2000
STOmics0218	scanpy_cell_ranger-N2000	2000
STOmics0218	scanpy_cell_ranger_batch-N2000	2000
STOmics0218	scanpy_pearson-N2000	2000
STOmics0218	scanpy_pearson_batch-N2000	2000
STOmics0218	scanpy_seurat-N2000	2000
STOmics0218	scanpy_seurat_batch-N2000	2000
STOmics0218	scanpy_seurat_v3-N2000	2000
STOmics0218	scanpy_seurat_v3_batch-N2000	2000
STOmics0218	scry-N2000	2000
STOmics0218	scsegindex-N500	500
STOmics0218	seurat_disp-N2000	2000
STOmics0218	seurat_mvp-N2000	1411
STOmics0218	seurat_sct-N2000	2000
STOmics0218	seurat_vst-N2000	2000
STOmics0218	singleCellHaystack-N2000	2000
STOmics0218	somde-N2000	2000
STOmics0218	sparkx-N2000	2000
STOmics0218	spatialde-N2000	2000
STOmics0218	statistic_mean-N2000	2000
STOmics0218	statistic_variance-N2000	2000
STOmics0218	triku-N2000	2000
STOmics0224	Brennecke-N2000	2000
STOmics0224	TFs-N2000	1626
STOmics0224	all_features-Nall	36601
STOmics0224	anticor-N2000	2000
STOmics0224	dubstepr-N2000	1851
STOmics0224	hotspot-N2000	2000
STOmics0224	morans_i-N2000	2000
STOmics0224	nbumi-N2000	2000
STOmics0224	nnsvg-N2000	2000
STOmics0224	osca-N2000	2000
STOmics0224	random-N500	500
STOmics0224	scPNMF-N2000	2000
STOmics0224	scanpy_cell_ranger-N2000	2000
STOmics0224	scanpy_cell_ranger_batch-N2000	2000
STOmics0224	scanpy_pearson-N2000	2000
STOmics0224	scanpy_pearson_batch-N2000	2000
STOmics0224	scanpy_seurat-N2000	2000
STOmics0224	scanpy_seurat_batch-N2000	2000
STOmics0224	scanpy_seurat_v3-N2000	2000
STOmics0224	scanpy_seurat_v3_batch-N2000	2000
STOmics0224	scry-N2000	2000
STOmics0224	scsegindex-N500	500
STOmics0224	seurat_disp-N2000	2000
STOmics0224	seurat_mvp-N2000	1085
STOmics0224	seurat_sct-N2000	2000
STOmics0224	seurat_vst-N2000	2000
STOmics0224	singleCellHaystack-N2000	2000
STOmics0224	somde-N2000	2000
STOmics0224	sparkx-N2000	2000
STOmics0224	spatialde-N2000	2000
STOmics0224	statistic_mean-N2000	2000
STOmics0224	statistic_variance-N2000	2000
STOmics0224	triku-N2000	2000
