Method	Type	SelFeatures	Value	SD	StandardValue
NBumi	Integration	10000	0.5784138272230885	1.0283160207323079	-0.8921933493014464
NBumi	Clustering	100	0.609609769573281	1.2492373595574737	-0.39053039872815976
NBumi	Clustering	200	0.6293480513751877	0.8936635588736518	-0.32603901757505976
NBumi	Clustering	500	0.6692931752842122	0.6261083842940173	0.5182902124475234
NBumi	Clustering	1000	0.6647207746405465	0.5776409204463928	0.4066390226197758
NBumi	Clustering	2000	0.6589338660674117	0.41787768273181575	0.31010746953174667
NBumi	Clustering	5000	0.6455713347049303	1.0554706736647104	0.014333512455126074
NBumi	Clustering	10000	0.6085635047335495	0.9656101481235212	-0.5328008007509512
NBumi	Alignment	100	0.8668056260587714	1.0504877377443747	-1.029070761934529
NBumi	Alignment	200	0.893270002645924	0.5037408034695168	-0.031046841232035154
NBumi	Alignment	500	0.9070307465165988	0.43186952351919283	0.46597440737919144
NBumi	Alignment	1000	0.9103670670069097	0.46773511724624883	0.7156454419029723
NBumi	Alignment	2000	0.9045523244904639	0.3976250808033895	0.6617828042923992
NBumi	Alignment	5000	0.8739851760385317	1.066151745494784	0.09163807440117469
NBumi	Alignment	10000	0.8467205505824105	0.97016181026945425	-0.8749231248091798
NBumi	Overall	100	0.6311781818477655	1.11379081986862	-0.21802941079144014
NBumi	Overall	200	0.6408924639209043	0.8093830027636567	-0.12204600236219865
NBumi	Overall	500	0.6520614165671565	0.6028034994797813	0.5064330157802168
NBumi	Overall	1000	0.6514724232404285	0.6872807546307381	0.4411407058124759
NBumi	Overall	2000	0.6487336697628446	0.5663709675075954	0.3910445121325243
NBumi	Overall	5000	0.6310495825409356	0.9146840194773446	-0.003547192733799523
NBumi	Overall	10000	0.5934886659783191	0.8881901966083152	-0.9949956278377804
OSCA	Integration	100	0.6835290404394556	0.9888560299331012	0.7083289527599398
OSCA	Integration	200	0.6747869828961055	0.8180313818338137	0.3840223943721528
OSCA	Integration	500	0.6622105125421573	0.5902094924853992	0.08458924815079628
OSCA	Integration	1000	0.6590706700200175	0.4192184367060424	0.10135577977109507
OSCA	Integration	2000	0.6389161648431195	0.5974756558772538	-0.14495057438441786
OSCA	Integration	5000	0.6153738021834794	0.8375196497807158	-0.50022324829399
OSCA	Integration	10000	0.5920396408335045	1.3380328745839394	-0.6331225523755771
OSCA	Clustering	100	0.6105562955323861	1.1902187662129238	-0.6078268423241161
OSCA	Clustering	200	0.6472271439979	1.0666422208936674	0.2589898599436312
OSCA	Clustering	500	0.6547979988602427	0.6027871299070057	0.47036631317315475
OSCA	Clustering	1000	0.6389743275805938	0.537987236080369	0.17948719617781925
OSCA	Clustering	2000	0.6357639467133456	0.6393464681933843	0.1789108724038827
OSCA	Clustering	5000	0.6323724489761371	0.9378494451242438	0.09580785853519852
OSCA	Clustering	10000	0.5988146439356825	0.9064729260201415	-0.5757352579095697
OSCA	Alignment	100	0.8867102688120243	0.771822012603932	-0.10814612299930126
OSCA	Alignment	200	0.8918744762223352	1.1254008239712017	-0.04188833600899203
OSCA	Alignment	500	0.8947688632013194	0.2978466943631602	0.4811503401646625
OSCA	Alignment	1000	0.8925123074488758	0.1302506624243882	0.6191466550147209
OSCA	Alignment	2000	0.8295977679884701	0.8426629267205181	0.4787300265179313
OSCA	Alignment	5000	0.771592309208265	0.9505162089156645	-0.24205470547733174
OSCA	Alignment	10000	0.7575328820888095	1.1483322180732487	-1.186937857211683
