Method	IntegrationMethod	Type	Mean	SD	Integration
NBumi (N=2,000)	scvi	Clustering	0.581101383749771	0.13543827564185754	scVI
NBumi (N=2,000)	scvi	Integration	0.6633653056282698	0.10789635888060985	scVI
NBumi (N=2,000)	scvi	CoreOverall	0.6222333446890204	0.07987549297552657	scVI
OSCA (N=2,000)	cellcharter	Alignment	0.9354411831361135	0.04151596654228778	CellCharter
OSCA (N=2,000)	cellcharter	Clustering	0.7102968020279989	0.06623803209794563	CellCharter
OSCA (N=2,000)	cellcharter	Integration	0.6109154661462242	0.12506570217173782	CellCharter
OSCA (N=2,000)	cellcharter	CoreOverall	0.6606061340871114	0.08814104211885523	CellCharter
OSCA (N=2,000)	graphst	Alignment	0.8530157994578591	0.10767260025001721	GraphST
OSCA (N=2,000)	graphst	Clustering	0.7257778585867142	0.0738972697692755	GraphST
OSCA (N=2,000)	graphst	Integration	0.5381541421048096	0.17695442552098795	GraphST
OSCA (N=2,000)	graphst	CoreOverall	0.6319660003457619	0.10529850283769783	GraphST
OSCA (N=2,000)	scvi	Alignment	0.7237543528408267	0.08976850068076982	scVI
OSCA (N=2,000)	scvi	Clustering	0.5612310913986921	0.13720378021381013	scVI
OSCA (N=2,000)	scvi	Integration	0.666916863540015	0.12529904116321283	scVI
OSCA (N=2,000)	scvi	CoreOverall	0.6140739774693535	0.07688285724438655	scVI
SOMDE (N=2,000)	cellcharter	Alignment	0.9427725997482609	0.026769957973053652	CellCharter
SOMDE (N=2,000)	cellcharter	Clustering	0.7202145118497965	0.04637707711170721	CellCharter
SOMDE (N=2,000)	cellcharter	Integration	0.6018994128070042	0.13636765342360144	CellCharter
SOMDE (N=2,000)	cellcharter	CoreOverall	0.6610569623284003	0.08907351769217224	CellCharter
SOMDE (N=2,000)	graphst	Alignment	0.8866356761370178	0.048431278303674385	GraphST
SOMDE (N=2,000)	graphst	Clustering	0.7368054150367731	0.0657387231389891	GraphST
SOMDE (N=2,000)	graphst	Integration	0.561000320212635	0.15532499235375583	GraphST
SOMDE (N=2,000)	graphst	CoreOverall	0.6489028676247041	0.09476783517008042	GraphST
SOMDE (N=2,000)	scvi	Alignment	0.8087614224655403	0.01948069044601835	scVI
SOMDE (N=2,000)	scvi	Clustering	0.5741796536229914	0.10498914386743317	scVI
SOMDE (N=2,000)	scvi	Integration	0.6482537177890771	0.11321065220474223	scVI
SOMDE (N=2,000)	scvi	CoreOverall	0.6112166857060343	0.08931534804089548	scVI
SPARK-X (N=2,000)	cellcharter	Alignment	0.9375019569286933	0.03420605168204693	CellCharter
SPARK-X (N=2,000)	cellcharter	Clustering	0.6798998910735046	0.07329505594672152	CellCharter
SPARK-X (N=2,000)	cellcharter	Integration	0.612372787078548	0.11840442550413605	CellCharter
SPARK-X (N=2,000)	cellcharter	CoreOverall	0.6461363390760263	0.09049385236734159	CellCharter
