dataset	fs_method	n_features	integration_method	random_seed	Accuracy	CHAOS	GC	ILL	PAS	Ratio	ari	bASW	dASW	dLISI	iLISI	nmi	silhouette	BatchMixing	BiologicalConservation	Integration	LabelIndependentClustering	LabelAgreement	Clustering	Alignment	CoreOverall	AlignmentEligibleOverall	MethodGroup
DLPFC	hybrid_hvg_svg_intersection	2000	cellcharter	0	0.944902016472593	0.9750411935169976	0.9791158944442211	0.8754211155335585	0.9758008598266092	0.916310646818151	0.8457453061588799	0.9519445240211643	0.9044408413566106	0.967492664499909	0.275196803354723	0.937882684490727	0.0795637096257079	0.6135706636879437	0.9316176289585748	0.7725941463232593	0.6768019209897714	0.8918139953248034	0.7843079581572874	0.930606331645372	0.7784510522402733	0.8291694787086396	hybrid
DLPFC	hybrid_hvg_svg_intersection	2000	cellcharter	1	0.9687588753195115	0.9671830793811019	0.9717323591077871	0.8775326803723409	0.9642559978108858	0.9216802879055015	0.7321597131757497	0.9501804123168002	0.9178915176725926	0.967280908877313	0.27439715307797463	0.7974907959947121	0.09724647126009259	0.6122887826973874	0.9336093665075085	0.7729490746024479	0.6762285161506935	0.7648252545852309	0.7205268853679622	0.9452195816125065	0.746737979985205	0.8128985138609721	hybrid
DLPFC	hybrid_hvg_svg_intersection	2000	cellcharter	2	0.9529111047997727	0.9720628682652458	0.9748030509689262	0.8754000712316835	0.9597836637936605	0.9223695814363293	0.6515039732389701	0.9524200001381901	0.9288976227928362	0.9659406882878822	0.2737017505729897	0.7671583577589978	0.09950203381771079	0.6130608753555898	0.9362603583203319	0.7746606168379608	0.677116188625539	0.709331165498984	0.6932236770622615	0.937640343118051	0.7339421469501112	0.8018415456727578	hybrid
DLPFC	hybrid_hvg_svg_intersection	2000	scvi	0	0.6523146833285998	0.6325469661275459	0.8025809990083151	0.4805010984208405	0.6321592011852915	0.9720032392452809	0.6851099711572057	0.9596463770834226	0.8054050038673404	0.7962065364446475	0.7836896047217017	0.7290997748123165	0.2776152279686072	0.8716679909025622	0.7211734094352859	0.7964207001689241	0.5141071317604815	0.7071048729847611	0.6106060023726213	0.8121589612869403	0.7035133512707727	0.7397285546094953	hybrid
DLPFC	hybrid_hvg_svg_intersection	2000	scvi	1	0.6448168134052826	0.5947870619879368	0.7882654679029314	0.4799111104842723	0.6052211898568731	0.9660007954431431	0.6857946741353866	0.9628371799722252	0.8232060718439816	0.7931823781575276	0.7934476066011915	0.7388271815037475	0.29856008644845783	0.8781423932867083	0.7211412570971782	0.7996418251919433	0.49952277943108925	0.7123109278195671	0.6059168536253281	0.8054088044242129	0.7027793394086357	0.7369891610804947	hybrid
DLPFC	hybrid_hvg_svg_intersection	2000	scvi	2	0.6315251349048565	0.6163371453909328	0.7851523596330506	0.4777166533726277	0.5836915823140374	0.9669333469550394	0.614818361505205	0.9597239514470818	0.8013380964391202	0.7877003615240052	0.7722021256751029	0.6964409686934723	0.28311215854891125	0.8659630385610924	0.7129768677422009	0.7894699531516467	0.4943802954179605	0.6556296650993386	0.5750049802586495	0.799229240929948	0.6822374667051481	0.7212347247800813	hybrid
DLPFC	hybrid_hvg_svg_union	2000	cellcharter	0	0.9614314115308152	0.9670044222192317	0.9791085573448428	0.9558068754397758	0.9651920677040526	0.8914150550833133	0.7259429644638744	0.914129562392915	0.942595970144534	0.9890257856772171	0.1957490547985463	0.7923674931508593	0.17751114698499465	0.5549393085957306	0.9666342971515924	0.7607868028736615	0.7032358789694264	0.7591552288073669	0.7311955538883966	0.9264232333070643	0.7459911783810291	0.8061351966897075	hybrid
DLPFC	hybrid_hvg_svg_union	2000	cellcharter	1	0.985969894916217	0.9660005506307331	0.9713909722547991	0.9664961368101543	0.9458466232452727	0.8955873940498241	0.640395547261488	0.9101514283271114	0.9779731943798258	0.9929746044570472	0.18192897390878576	0.690409463156515	0.16917228383763913	0.5460402011179486	0.9772087269754566	0.7616244640467026	0.6936731525712151	0.6654025052090015	0.6795378288901083	0.9407786444830206	0.7205811464684054	0.7939803124732773	hybrid
DLPFC	hybrid_hvg_svg_union	2000	cellcharter	2	0.9578528827037774	0.9517748081205065	0.9753031555289435	0.9724804875518687	0.9642559978108858	0.889954471167511	0.8114880662324035	0.9043209120124268	0.9888527821469891	0.9915672550377925	0.19456153503817536	0.845763043457878	0.16873993669383403	0.5494412235253011	0.9820509200663985	0.7657460717958497	0.6949235808750753	0.8286255548451408	0.761774567860108	0.9239036769356442	0.7637603198279789	0.8171414388638674	hybrid
DLPFC	hybrid_hvg_svg_union	2000	scvi	0	0.6057938085771087	0.5517981642857361	0.775163651968558	0.4851155452313722	0.37796422139076613	0.9299440812239513	0.6331745301838837	0.9242035027235433	0.729595414435792	0.7778779680769398	0.48579294471238826	0.6610705946474731	0.40884434501014627	0.7049982237179658	0.6919381449281655	0.6984681843230657	0.44620224356221616	0.6471225624156784	0.5466624029889473	0.76786894490053	0.6225652936560064	0.6709998440708477	hybrid
DLPFC	hybrid_hvg_svg_union	2000	scvi	1	0.6693552967906845	0.6450426144454676	0.8431330090570857	0.5196982576271713	0.5505131050311739	0.9498398194754138	0.7877487990257013	0.9429770258671242	0.8250158538082143	0.8086898466218977	0.5766381119129739	0.8011926999222696	0.3519873589049056	0.759807568890049	0.7491342417785922	0.7544709053343206	0.515847692793849	0.7944707494739854	0.6551592211339172	0.8095975581330492	0.7048150632341189	0.7397425615337623	hybrid
DLPFC	hybrid_hvg_svg_union	2000	scvi	2	0.5773359840954275	0.5509262807199232	0.7864681158898057	0.4764319232943667	0.4177991956501013	0.9281857390901498	0.6573435139829533	0.9451041821371212	0.7475691605675897	0.7802184734251854	0.33145609453316704	0.6687112595046621	0.3732010494224554	0.6382801383351442	0.6976719182942368	0.6679760283146905	0.44730884193082665	0.6630273867438077	0.5551681143373172	0.7527608615927887	0.6115720713260038	0.658635001414932	hybrid
E8p5Embryo	hybrid_hvg_svg_intersection	2000	cellcharter	0		0.993135789175117			0.9844583840833052			0.8996949372753689			0.044506251289597565		0.23758388967368443	0.4721005942824832		0.4721005942824832	0.7383926876440355		0.7383926876440355		0.6052466409632593		hybrid
E8p5Embryo	hybrid_hvg_svg_intersection	2000	cellcharter	1		1.0019674017685516			0.9960677839152164			0.8869489162312996			0.065876491280904		0.24147461017732838	0.4764127037561018		0.4764127037561018	0.7465032652870321		0.7465032652870321		0.611457984521567		hybrid
E8p5Embryo	hybrid_hvg_svg_intersection	2000	cellcharter	2		0.9895229279377925			0.9893268420555875			0.8894570220503032			0.04693556299474592		0.2465669914464576	0.46819629252252454		0.46819629252252454	0.7418055871466125		0.7418055871466125		0.6050009398345685		hybrid
E8p5Embryo	hybrid_hvg_svg_intersection	2000	scvi	0		0.4607775802362497			0.47664076399126076			0.8233864798509372			0.6222357948819792		0.31439703032327015	0.7228111373664582		0.7228111373664582	0.4172717915169269		0.4172717915169269		0.5700414644416926		hybrid
E8p5Embryo	hybrid_hvg_svg_intersection	2000	scvi	1		0.4684089026062748			0.4973317105700714			0.8296942788916497			0.6251271044423633		0.3034336477459307	0.7274106916670064		0.7274106916670064	0.4230580869740923		0.4230580869740923		0.5752343893205494		hybrid
E8p5Embryo	hybrid_hvg_svg_intersection	2000	scvi	2		0.4392442433855077			0.4429360546931162			0.8023252625754982			0.6236873358268566		0.316028604072767	0.7130062992011774		0.7130062992011774	0.39940296738379694		0.39940296738379694		0.5562046332924871		hybrid
E8p5Embryo	hybrid_hvg_svg_union	2000	cellcharter	0		0.9037900094831853			0.8428986050310981			0.9027656445460324			0.05236613070472138		0.2619679597040836	0.4775658876253769		0.4775658876253769	0.6695521914061223		0.6695521914061223		0.5735590395157496		hybrid
E8p5Embryo	hybrid_hvg_svg_union	2000	cellcharter	1		0.897528064432566			0.8046063103381558			0.9052993013577627			0.05919866975066346		0.2664230818059261	0.4822489855542131		0.4822489855542131	0.6561858188588826		0.6561858188588826		0.5692174022065478		hybrid
E8p5Embryo	hybrid_hvg_svg_union	2000	cellcharter	2		0.8798397262938553			0.7962737571686649			0.9057173877527492			0.05997309094704599		0.27274318381777996	0.4828452393498976		0.4828452393498976	0.6496188890934333		0.6496188890934333		0.5662320642216655		hybrid
