MethodRaw	Type	MeanRank	SDRank	Method
SpatialDE (N=2,000)	Clustering	12.142857142857142	8.591246929842246	SpatialDE (N=2,000)
SpatialDE (N=2,000)	Alignment	14	8.48528137423857	SpatialDE (N=2,000)
Statistic mean (N=2,000)	Overall	25.428571428571427	4.577377082170635	Statistic mean (N=2,000)
Statistic mean (N=2,000)	Integration	20	11.532562594670797	Statistic mean (N=2,000)
Statistic mean (N=2,000)	Clustering	23.571428571428573	5.623081683476386	Statistic mean (N=2,000)
Statistic mean (N=2,000)	Alignment	26.5	2.1213203435596424	Statistic mean (N=2,000)
Statistic variance (N=2,000)	Overall	21.142857142857142	6.309478885734052	Statistic variance (N=2,000)
Statistic variance (N=2,000)	Integration	20.571428571428573	8.283661486266059	Statistic variance (N=2,000)
Statistic variance (N=2,000)	Clustering	19.142857142857142	6.9624845045565795	Statistic variance (N=2,000)
Statistic variance (N=2,000)	Alignment	23.5	14.849242404917497	Statistic variance (N=2,000)
Transcription factors (N=2,000)	Overall	28.857142857142858	4.879500364742666	Transcription factors (N=2,000)
Transcription factors (N=2,000)	Integration	14.714285714285714	9.945087325145108	Transcription factors (N=2,000)
Transcription factors (N=2,000)	Clustering	30.428571428571427	3.359421718944242	Transcription factors (N=2,000)
Transcription factors (N=2,000)	Alignment	22.5	13.435028842544403	Transcription factors (N=2,000)
Wilcoxon (N=2,000)	Overall	11.6	10.573551910309043	Wilcoxon (N=2,000)
Wilcoxon (N=2,000)	Integration	11.2	7.694153624668538	Wilcoxon (N=2,000)
Wilcoxon (N=2,000)	Clustering	13.8	11.987493482792805	Wilcoxon (N=2,000)
Wilcoxon (N=2,000)	Alignment	8.5	2.1213203435596424	Wilcoxon (N=2,000)
nnSVG (N=2,000)	Overall	12.857142857142858	7.625146368618582	nnSVG (N=2,000)
nnSVG (N=2,000)	Integration	19.571428571428573	6.502746672423452	nnSVG (N=2,000)
nnSVG (N=2,000)	Clustering	13.714285714285714	6.651172470932869	nnSVG (N=2,000)
