dataset	fs_method	n_features	MethodGroup	Dataset	Method	Task	Difference
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Clustering	0.17312202458972997
DLPFC	scanpy_seurat	2000	expression_driven	DLPFC	Scanpy Seurat	Alignment	0.13807979680059534
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Core overall	0.05085894726769691
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Integration	-0.03438584778655451
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Clustering	0.13610374232194822
DLPFC	scanpy_seurat_batch	2000	expression_driven	DLPFC	Scanpy Seurat, batch	Alignment	0.12290039986850632
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Core overall	0.09708863500183318
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Integration	6.060922855173345e-4
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Clustering	0.19357117771814936
DLPFC	scanpy_seurat_v3	2000	expression_driven	DLPFC	Scanpy Seurat v3	Alignment	0.12677584030113387
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Core overall	0.06956866689761143
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Integration	-0.0048059466978278564
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Clustering	0.14394328049305027
DLPFC	scanpy_seurat_v3_batch	2000	expression_driven	DLPFC	Scanpy Seurat v3, batch	Alignment	0.15964970628791375
DLPFC	scry	2000	expression_driven	DLPFC	scry	Core overall	0.08580768232647784
DLPFC	scry	2000	expression_driven	DLPFC	scry	Integration	0.0772515681749919
DLPFC	scry	2000	expression_driven	DLPFC	scry	Clustering	0.09436379647796378
DLPFC	scry	2000	expression_driven	DLPFC	scry	Alignment	0.16480931650172348
DLPFC	seurat_disp	2000	expression_driven	DLPFC	Seurat Dispersion	Core overall	0.02159801551928997
DLPFC	seurat_disp	2000	expression_driven	DLPFC	Seurat Dispersion	Integration	-0.05650964208828413
DLPFC	seurat_disp	2000	expression_driven	DLPFC	Seurat Dispersion	Clustering	0.09970567312686396
DLPFC	seurat_disp	2000	expression_driven	DLPFC	Seurat Dispersion	Alignment	0.13586825360921628
DLPFC	seurat_mvp	2000	expression_driven	DLPFC	Seurat MVP	Core overall	0.09443667687693902
DLPFC	seurat_mvp	2000	expression_driven	DLPFC	Seurat MVP	Integration	-0.02234454608261749
DLPFC	seurat_mvp	2000	expression_driven	DLPFC	Seurat MVP	Clustering	0.21121789983649575
DLPFC	seurat_mvp	2000	expression_driven	DLPFC	Seurat MVP	Alignment	0.128516465382714
DLPFC	seurat_sct	2000	expression_driven	DLPFC	Seurat sctransform	Core overall	0.023242824919731064
DLPFC	seurat_sct	2000	expression_driven	DLPFC	Seurat sctransform	Integration	-0.015664713884278036
DLPFC	seurat_sct	2000	expression_driven	DLPFC	Seurat sctransform	Clustering	0.062150363723740054
DLPFC	seurat_sct	2000	expression_driven	DLPFC	Seurat sctransform	Alignment	0.12971302699080955
DLPFC	seurat_vst	2000	expression_driven	DLPFC	Seurat VST	Core overall	0.08575421021963814
DLPFC	seurat_vst	2000	expression_driven	DLPFC	Seurat VST	Integration	0.005849375339880392
DLPFC	seurat_vst	2000	expression_driven	DLPFC	Seurat VST	Clustering	0.16565904509939577
DLPFC	seurat_vst	2000	expression_driven	DLPFC	Seurat VST	Alignment	0.12666950742715477
DLPFC	singleCellHaystack	2000	expression_driven	DLPFC	singleCellHaystack	Core overall	0.03619029165333698
DLPFC	singleCellHaystack	2000	expression_driven	DLPFC	singleCellHaystack	Integration	-0.02540113204096839
DLPFC	singleCellHaystack	2000	expression_driven	DLPFC	singleCellHaystack	Clustering	0.09778171534764235
DLPFC	singleCellHaystack	2000	expression_driven	DLPFC	singleCellHaystack	Alignment	0.11009392913028793
DLPFC	somde	2000	spatially_informed	DLPFC	SOMDE	Core overall	0.055521731746475345
DLPFC	somde	2000	spatially_informed	DLPFC	SOMDE	Integration	-0.03402802133825489
DLPFC	somde	2000	spatially_informed	DLPFC	SOMDE	Clustering	0.1450714848312059
DLPFC	somde	2000	spatially_informed	DLPFC	SOMDE	Alignment	0.09151936062865307
DLPFC	sparkx	2000	spatially_informed	DLPFC	SPARK-X	Core overall	0.09333832797657748
DLPFC	sparkx	2000	spatially_informed	DLPFC	SPARK-X	Integration	0.08402212744490434
DLPFC	sparkx	2000	spatially_informed	DLPFC	SPARK-X	Clustering	0.10265452850825074
DLPFC	sparkx	2000	spatially_informed	DLPFC	SPARK-X	Alignment	0.14974979589165371
DLPFC	spatialde	2000	spatially_informed	DLPFC	SpatialDE	Core overall	0.05819380692457643
DLPFC	spatialde	2000	spatially_informed	DLPFC	SpatialDE	Integration	-0.010911419043842074
DLPFC	spatialde	2000	spatially_informed	DLPFC	SpatialDE	Clustering	0.12729903289299493
DLPFC	spatialde	2000	spatially_informed	DLPFC	SpatialDE	Alignment	0.11006917499809887
DLPFC	statistic_mean	2000	expression_driven	DLPFC	Mean expression	Core overall	0.11928320753120036
DLPFC	statistic_mean	2000	expression_driven	DLPFC	Mean expression	Integration	0.10555203120459511
