method	stratum	MeanRecall	SDRecall	Method	Stratum
seurat_vst	periodic	0.8895145145145145	0.05629012113058607	Seurat-VST	Periodic
singleCellHaystack	domain	0.11426000899685106	0.029199945201868728	singleCellHaystack	Domain
singleCellHaystack	focal	0.22047047047047044	0.07591373411418575	singleCellHaystack	Focal
singleCellHaystack	gradient	0.12123256860098962	0.03553813126974528	singleCellHaystack	Gradient
singleCellHaystack	periodic	0.10510510510510505	0.0531094474288614	singleCellHaystack	Periodic
somde	domain	0.7503373819163293	0.28060052155666343	SOMDE	Domain
somde	focal	0.3531031031031031	0.21211846570428985	SOMDE	Focal
somde	gradient	0.7853126405757985	0.3351930117492065	SOMDE	Gradient
somde	periodic	0.2887887887887888	0.058039717858457324	SOMDE	Periodic
sparkx	domain	0.9768331084120558	0.011923797998633814	SPARK-X	Domain
sparkx	focal	0.8875125125125125	0.017730543702543216	SPARK-X	Focal
sparkx	gradient	0.9782950967161494	0.014335621900926306	SPARK-X	Gradient
sparkx	periodic	0.8926426426426426	0.060843242010074496	SPARK-X	Periodic
spatialde	domain	0.9941520467836258	0.009059610166567028	SpatialDE	Domain
spatialde	focal	0.9465715715715716	0.024706050219449806	SpatialDE	Focal
spatialde	gradient	0.979757085020243	0.01930815219053106	SpatialDE	Gradient
spatialde	periodic	0.9533283283283284	0.04809123590817123	SpatialDE	Periodic
statistic_mean	domain	0.17510121457489874	0.05133130314775212	Statistic mean	Domain
statistic_mean	focal	0.18693693693693694	0.06651329651436472	Statistic mean	Focal
statistic_mean	gradient	0.18184885290148442	0.04799795821167049	Statistic mean	Gradient
statistic_mean	periodic	0.18268268268268265	0.0392339402154256	Statistic mean	Periodic
statistic_variance	domain	0.7025416104363473	0.058027204959936685	Statistic variance	Domain
statistic_variance	focal	0.6577827827827828	0.06751151606799237	Statistic variance	Focal
statistic_variance	gradient	0.7109761583445794	0.06016633664189657	Statistic variance	Gradient
statistic_variance	periodic	0.7213463463463463	0.04020104952163437	Statistic variance	Periodic
triku	domain	0.911493477282951	0.043101337591971586	triku	Domain
triku	focal	0.7386136136136137	0.04953684582499662	triku	Focal
triku	gradient	0.9103688708951867	0.041814492787187095	triku	Gradient
triku	periodic	0.8948948948948949	0.04797056440071135	triku	Periodic
wilcoxon	domain	0.9813315339631129	0.018209457716683402	Wilcoxon (label-informed)	Domain
wilcoxon	focal	0.46546546546546547	0.06543343018700984	Wilcoxon (label-informed)	Focal
wilcoxon	gradient	0.971097615834458	0.009196777731054415	Wilcoxon (label-informed)	Gradient
wilcoxon	periodic	0.09909909909909909	0.037875356774014275	Wilcoxon (label-informed)	Periodic
