Method	IntegrationMethod	Type	MeanRank	SDRank	Integration
OSCA (N=2,000)	cellcharter	Integration	15.142857142857142	6.644009116704849	CellCharter
OSCA (N=2,000)	cellcharter	CoreOverall	12.714285714285714	7.016986193380691	CellCharter
OSCA (N=2,000)	graphst	Alignment	9	5.744562646538029	GraphST
OSCA (N=2,000)	graphst	Clustering	12.285714285714286	7.609517849690735	GraphST
OSCA (N=2,000)	graphst	Integration	16.714285714285715	8.199883855158879	GraphST
OSCA (N=2,000)	graphst	CoreOverall	16.142857142857142	7.925245977856069	GraphST
OSCA (N=2,000)	scvi	Alignment	10.428571428571429	5.223572942509206	scVI
OSCA (N=2,000)	scvi	Clustering	13	1.632993161855452	scVI
OSCA (N=2,000)	scvi	Integration	13.285714285714286	5.437961803049794	scVI
OSCA (N=2,000)	scvi	CoreOverall	10.571428571428571	3.3094381626464866	scVI
SOMDE (N=2,000)	cellcharter	Alignment	20.857142857142858	5.639993245521116	CellCharter
SOMDE (N=2,000)	cellcharter	Clustering	12.571428571428571	6.051367417290709	CellCharter
SOMDE (N=2,000)	cellcharter	Integration	17.714285714285715	8.957571949925674	CellCharter
SOMDE (N=2,000)	cellcharter	CoreOverall	14.571428571428571	5.912053869204927	CellCharter
SOMDE (N=2,000)	graphst	Alignment	20.428571428571427	7.1614044911395895	GraphST
SOMDE (N=2,000)	graphst	Clustering	10.857142857142858	7.712080813644945	GraphST
SOMDE (N=2,000)	graphst	Integration	11.571428571428571	6.778818551368738	GraphST
SOMDE (N=2,000)	graphst	CoreOverall	9.857142857142858	3.484660262185848	GraphST
SOMDE (N=2,000)	scvi	Alignment	19.714285714285715	7.867957924694432	scVI
SOMDE (N=2,000)	scvi	Clustering	8.428571428571429	9.93071234197465	scVI
SOMDE (N=2,000)	scvi	Integration	18.857142857142858	9.957050624700928	scVI
SOMDE (N=2,000)	scvi	CoreOverall	9.428571428571429	8.580154288767051	scVI
SPARK-X (N=2,000)	cellcharter	Alignment	22.714285714285715	3.903600291794133	CellCharter
SPARK-X (N=2,000)	cellcharter	Clustering	20.571428571428573	8.599557020706412	CellCharter
SPARK-X (N=2,000)	cellcharter	Integration	15.571428571428571	8.657504314314892	CellCharter
SPARK-X (N=2,000)	cellcharter	CoreOverall	21.714285714285715	7.674943772091226	CellCharter
SPARK-X (N=2,000)	graphst	Alignment	19.857142857142858	9.08164029656485	GraphST
SPARK-X (N=2,000)	graphst	Clustering	20.571428571428573	7.067699834626605	GraphST
SPARK-X (N=2,000)	graphst	Integration	19.571428571428573	9.846440014156434	GraphST
SPARK-X (N=2,000)	graphst	CoreOverall	23.857142857142858	4.561745697594706	GraphST
SPARK-X (N=2,000)	scvi	Alignment	23.285714285714285	3.147183169877773	scVI
SPARK-X (N=2,000)	scvi	Clustering	15.571428571428571	9.0527554342521	scVI
SPARK-X (N=2,000)	scvi	Integration	24.857142857142858	4.450789122113495	scVI
SPARK-X (N=2,000)	scvi	CoreOverall	20.142857142857142	8.687703406320365	scVI
Seurat-Dispersion (N=2,000)	cellcharter	Alignment	16.857142857142858	7.081162132224988	CellCharter
Seurat-Dispersion (N=2,000)	cellcharter	Clustering	19.142857142857142	6.51737604225738	CellCharter
Seurat-Dispersion (N=2,000)	cellcharter	Integration	17	10.424330514074594	CellCharter
Seurat-Dispersion (N=2,000)	cellcharter	CoreOverall	19.285714285714285	7.973169292786186	CellCharter
Seurat-Dispersion (N=2,000)	graphst	Alignment	21.714285714285715	4.644505202002531	GraphST
Seurat-Dispersion (N=2,000)	graphst	Clustering	22.142857142857142	7.603257447273754	GraphST
Seurat-Dispersion (N=2,000)	graphst	Integration	16.285714285714285	9.050124966251124	GraphST
Seurat-Dispersion (N=2,000)	graphst	CoreOverall	21.857142857142858	5.639993245521116	GraphST
Seurat-Dispersion (N=2,000)	scvi	Alignment	19.142857142857142	1.4638501094227998	scVI
Seurat-Dispersion (N=2,000)	scvi	Clustering	18.571428571428573	5.380741673076394	scVI
Seurat-Dispersion (N=2,000)	scvi	Integration	13.142857142857142	8.132825901423018	scVI
Seurat-Dispersion (N=2,000)	scvi	CoreOverall	17.571428571428573	7.828519290754433	scVI
Seurat-MVP (N=2,000)	cellcharter	Alignment	21.428571428571427	2.439750182371333	CellCharter
Seurat-MVP (N=2,000)	cellcharter	Clustering	15.142857142857142	8.914941978285135	CellCharter
Seurat-MVP (N=2,000)	cellcharter	Integration	12.571428571428571	8.997354108424373	CellCharter
Seurat-MVP (N=2,000)	cellcharter	CoreOverall	12.857142857142858	7.33549751615552	CellCharter
Seurat-MVP (N=2,000)	graphst	Alignment	19	5.196152422706632	GraphST
Seurat-MVP (N=2,000)	graphst	Clustering	18.857142857142858	8.687703406320365	GraphST
Seurat-MVP (N=2,000)	graphst	Integration	17.285714285714285	6.317021600783229	GraphST
Seurat-MVP (N=2,000)	graphst	CoreOverall	19	6.557438524302	GraphST
Seurat-MVP (N=2,000)	scvi	Alignment	18.142857142857142	6.3358391032961965	scVI
Seurat-MVP (N=2,000)	scvi	Clustering	22.428571428571427	7.913219801006896	scVI
Seurat-MVP (N=2,000)	scvi	Integration	8.285714285714286	8.400680244565232	scVI
Seurat-MVP (N=2,000)	scvi	CoreOverall	19	7.234178138070235	scVI
Seurat-VST (N=2,000)	cellcharter	Alignment	19.714285714285715	7.952238379104039	CellCharter
Seurat-VST (N=2,000)	cellcharter	Clustering	8.714285714285714	9.827076298239907	CellCharter
Seurat-VST (N=2,000)	cellcharter	Integration	14.714285714285714	11.324226032630012	CellCharter
Seurat-VST (N=2,000)	cellcharter	CoreOverall	6.714285714285714	5.122313465427046	CellCharter
Seurat-VST (N=2,000)	graphst	Alignment	17	8.660254037844387	GraphST
Seurat-VST (N=2,000)	graphst	Clustering	5.857142857142857	6.148944934663492	GraphST
