Analysis	N	SpearmanRho	Lower95	Upper95
Held-out Jaccard percentile vs ARI percentile	78	0.3719568037853927	0.12362637362637365	0.5984198223242724
scVI vs CellCharter global mean ranks	29	0.6094674741448701	0.3105632374383825	0.7982725390317863
