dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Reference	Metric
DLPFC	151507	scsegindex	2000	0	heldout_clustering	heldout_nmi	0.288918919394151	846.9530229894444	Moran's I	NMI
DLPFC	151507	morans_i	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.5420200462606014	5.118669217452407	Moran's I	Jaccard
DLPFC	151507	morans_i	2000	0	spatial_reproducibility	heldout_moran_percentile	0.903237457345753	5.118669217452407	Moran's I	MeanReferencePercentile
DLPFC	151507	morans_i	2000	0	spatial_reproducibility	heldout_rank_spearman	0.4484428263412939	5.118669217452407	Moran's I	RankSpearman
DLPFC	151507	morans_i	2000	0	heldout_clustering	heldout_ari	0.2583137432381155	5.118669217452407	Moran's I	ARI
DLPFC	151507	morans_i	2000	0	heldout_clustering	heldout_nmi	0.3858784762878546	5.118669217452407	Moran's I	NMI
DLPFC	151507	sparkx	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.48864905098623	135.00512962136418	Moran's I	Jaccard
DLPFC	151507	sparkx	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8979893479664299	135.00512962136418	Moran's I	MeanReferencePercentile
DLPFC	151507	sparkx	2000	0	spatial_reproducibility	heldout_rank_spearman	0.4423033065669614	135.00512962136418	Moran's I	RankSpearman
DLPFC	151507	sparkx	2000	0	heldout_clustering	heldout_ari	0.2499335453353896	135.00512962136418	Moran's I	ARI
DLPFC	151507	sparkx	2000	0	heldout_clustering	heldout_nmi	0.381754705833939	135.00512962136418	Moran's I	NMI
DLPFC	151507	nnsvg	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.49812734082397	7346.634869046509	Moran's I	Jaccard
DLPFC	151507	nnsvg	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8947482016047219	7346.634869046509	Moran's I	MeanReferencePercentile
DLPFC	151507	nnsvg	2000	0	spatial_reproducibility	heldout_rank_spearman	0.4388298061236749	7346.634869046509	Moran's I	RankSpearman
DLPFC	151507	nnsvg	2000	0	heldout_clustering	heldout_ari	0.2498485756312644	7346.634869046509	Moran's I	ARI
DLPFC	151507	nnsvg	2000	0	heldout_clustering	heldout_nmi	0.3793177755304766	7346.634869046509	Moran's I	NMI
DLPFC	151507	spatialde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.38217000691085	784.6354217231274	Moran's I	Jaccard
DLPFC	151507	spatialde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8185852393249101	784.6354217231274	Moran's I	MeanReferencePercentile
DLPFC	151507	spatialde	2000	0	spatial_reproducibility	heldout_rank_spearman	0.3563299968678203	784.6354217231274	Moran's I	RankSpearman
DLPFC	151507	spatialde	2000	0	heldout_clustering	heldout_ari	0.2710575650066728	784.6354217231274	Moran's I	ARI
DLPFC	151507	spatialde	2000	0	heldout_clustering	heldout_nmi	0.3864644605734737	784.6354217231274	Moran's I	NMI
DLPFC	151507	somde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4020329477742727	986.9796756254508	Moran's I	Jaccard
DLPFC	151507	somde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8265615835100987	986.9796756254508	Moran's I	MeanReferencePercentile
DLPFC	151507	somde	2000	0	spatial_reproducibility	heldout_rank_spearman	0.3660074115910589	986.9796756254508	Moran's I	RankSpearman
DLPFC	151507	somde	2000	0	heldout_clustering	heldout_ari	0.2690936829373225	986.9796756254508	Moran's I	ARI
DLPFC	151507	somde	2000	0	heldout_clustering	heldout_nmi	0.3854999762476632	986.9796756254508	Moran's I	NMI
DLPFC	151507	wilcoxon	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1207621182404034	157.52203697618097	Moran's I	Jaccard
DLPFC	151507	wilcoxon	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5420807894494144	157.52203697618097	Moran's I	MeanReferencePercentile
DLPFC	151507	wilcoxon	2000	0	spatial_reproducibility	heldout_rank_spearman	0.0430000815299659	157.52203697618097	Moran's I	RankSpearman
DLPFC	151507	wilcoxon	2000	0	heldout_clustering	heldout_ari	0.2516265865961452	157.52203697618097	Moran's I	ARI
DLPFC	151507	wilcoxon	2000	0	heldout_clustering	heldout_nmi	0.39840479096607	157.52203697618097	Moran's I	NMI
DLPFC	151673	all_features	2000	0	spatial_reproducibility	heldout_topn_jaccard		0.0020796479657292	Moran's I	Jaccard
DLPFC	151673	all_features	2000	0	spatial_reproducibility	heldout_moran_percentile		0.0020796479657292	Moran's I	MeanReferencePercentile
DLPFC	151673	all_features	2000	0	spatial_reproducibility	heldout_rank_spearman		0.0020796479657292	Moran's I	RankSpearman
DLPFC	151673	all_features	2000	0	heldout_clustering	heldout_ari	0.1742227363066609	0.0020796479657292	Moran's I	ARI
DLPFC	151673	all_features	2000	0	heldout_clustering	heldout_nmi	0.3613464984815218	0.0020796479657292	Moran's I	NMI
DLPFC	151673	random	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.0534632604687911	0.0014407951384782	Moran's I	Jaccard
DLPFC	151673	random	2000	0	spatial_reproducibility	heldout_moran_percentile	0.50296804389929	0.0014407951384782	Moran's I	MeanReferencePercentile
DLPFC	151673	random	2000	0	spatial_reproducibility	heldout_rank_spearman	0.0035002239998347	0.0014407951384782	Moran's I	RankSpearman
DLPFC	151673	random	2000	0	heldout_clustering	heldout_ari	0.1241576247351043	0.0014407951384782	Moran's I	ARI
DLPFC	151673	random	2000	0	heldout_clustering	heldout_nmi	0.2484874912556318	0.0014407951384782	Moran's I	NMI
DLPFC	151673	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1117287381878821	1.27003528829664	Moran's I	Jaccard
DLPFC	151673	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5173598173937103	1.27003528829664	Moran's I	MeanReferencePercentile
DLPFC	151673	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_rank_spearman	0.016940190479366	1.27003528829664	Moran's I	RankSpearman
DLPFC	151673	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_ari	0.231755603738839	1.27003528829664	Moran's I	ARI
DLPFC	151673	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_nmi	0.3826670836244095	1.27003528829664	Moran's I	NMI
DLPFC	151673	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1418783899514701	2.163928983733058	Moran's I	Jaccard
DLPFC	151673	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6335331780872452	2.163928983733058	Moran's I	MeanReferencePercentile
DLPFC	151673	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_rank_spearman	0.1542902746941994	2.163928983733058	Moran's I	RankSpearman
DLPFC	151673	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_ari	0.1514051057594112	2.163928983733058	Moran's I	ARI
DLPFC	151673	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_nmi	0.2876934854010053	2.163928983733058	Moran's I	NMI
DLPFC	151673	seurat_vst	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.2292562999385372	23.94848270714283	Moran's I	Jaccard
DLPFC	151673	seurat_vst	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6305091303144886	23.94848270714283	Moran's I	MeanReferencePercentile
DLPFC	151673	seurat_vst	2000	0	spatial_reproducibility	heldout_rank_spearman	0.1454032462936843	23.94848270714283	Moran's I	RankSpearman
DLPFC	151673	seurat_vst	2000	0	heldout_clustering	heldout_ari	0.2434107910957928	23.94848270714283	Moran's I	ARI
DLPFC	151673	seurat_vst	2000	0	heldout_clustering	heldout_nmi	0.3948479180259454	23.94848270714283	Moran's I	NMI
DLPFC	151673	triku	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3101867016049787	63.54361620917916	Moran's I	Jaccard
DLPFC	151673	triku	2000	0	spatial_reproducibility	heldout_moran_percentile	0.7798062574933137	63.54361620917916	Moran's I	MeanReferencePercentile
DLPFC	151673	triku	2000	0	spatial_reproducibility	heldout_rank_spearman	0.3134066811163128	63.54361620917916	Moran's I	RankSpearman
DLPFC	151673	triku	2000	0	heldout_clustering	heldout_ari	0.2033078352619569	63.54361620917916	Moran's I	ARI
DLPFC	151673	triku	2000	0	heldout_clustering	heldout_nmi	0.3747881038379862	63.54361620917916	Moran's I	NMI
DLPFC	151673	singleCellHaystack	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.513431706394249	69.56072771456093	Moran's I	Jaccard
DLPFC	151673	singleCellHaystack	2000	0	spatial_reproducibility	heldout_moran_percentile	0.9061984229456792	69.56072771456093	Moran's I	MeanReferencePercentile
DLPFC	151673	singleCellHaystack	2000	0	spatial_reproducibility	heldout_rank_spearman	0.4500727556808411	69.56072771456093	Moran's I	RankSpearman
DLPFC	151673	singleCellHaystack	2000	0	heldout_clustering	heldout_ari	0.1781831471693461	69.56072771456093	Moran's I	ARI
DLPFC	151673	singleCellHaystack	2000	0	heldout_clustering	heldout_nmi	0.3618829746722239	69.56072771456093	Moran's I	NMI
DLPFC	151673	scsegindex	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3527223537368955	930.7730006119236	Moran's I	Jaccard
DLPFC	151673	scsegindex	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8574507055243014	930.7730006119236	Moran's I	MeanReferencePercentile
