Reference	method	Metric	Mean	SD	NFolds
nnSVG	spatialde	MeanReferencePercentile	0.785527343366744	0.07223441173281712	6
nnSVG	spatialde	NMI	0.4776585231274985	0.2504696749251736	6
nnSVG	spatialde	RankSpearman	0.4535437321009252	0.0822267997633759	6
nnSVG	triku	ARI	0.3798512167375318	0.22863824712836722	6
nnSVG	triku	Jaccard	0.22692019455718035	0.0761838923774311	6
nnSVG	triku	MeanReferencePercentile	0.622475353128712	0.040158388508242215	6
nnSVG	triku	NMI	0.4756954175749797	0.22559267595233812	6
nnSVG	triku	RankSpearman	0.19085532122790516	0.048347028542427985	6
nnSVG	wilcoxon	ARI	0.3828318244934037	0.2177880103915008	6
nnSVG	wilcoxon	Jaccard	0.08260425315569717	0.01564938362457941	6
nnSVG	wilcoxon	MeanReferencePercentile	0.4759231394566433	0.04978196547765453	6
nnSVG	wilcoxon	NMI	0.4830032632914784	0.2129891905377081	6
nnSVG	wilcoxon	RankSpearman	-0.02811919029713175	0.06958348409774362	6
