dataset	fs_method	n_features	integration_method	Dataset	Integrator	Comparison	Seed0	OtherSeed
DLPFC	seurat_disp	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6566487044059108	0.6532428550767816
DLPFC	seurat_mvp	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.6845046274422175	0.6982628445090718
DLPFC	seurat_mvp	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6332469184643641	0.5716105775668714
DLPFC	seurat_sct	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7275688443793147	0.6946839202869785
DLPFC	seurat_sct	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.674477373061606	0.7040327384990659
DLPFC	seurat_vst	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7958704409284494	0.76087393417293
DLPFC	seurat_vst	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6864313142026992	0.6988935965438168
DLPFC	singleCellHaystack	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7640863625766032	0.7456045622132295
DLPFC	singleCellHaystack	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.7045454019269694	0.7013208554386047
DLPFC	somde	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7635548919567638	0.7356571350139794
DLPFC	somde	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.7071407305701329	0.7133033292839529
DLPFC	sparkx	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7175448255492134	0.7064113745525398
DLPFC	sparkx	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6188231806416067	0.5802024477895662
DLPFC	spatialde	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.7762674650494581	0.7232969748049061
DLPFC	spatialde	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.6781101743641915	0.7057708588089378
DLPFC	statistic_mean	2000	cellcharter	DLPFC	CellCharter	Seed 0 vs 1	0.6973294014905469	0.7173128649057212
DLPFC	statistic_mean	2000	scvi	DLPFC	scVI	Seed 0 vs 1	0.5338945666653867	0.6522129343213237
