dataset	Context	fs_method	MethodGroup	ScoreType	Rank	Method
STOmics0212Immune	Immune	spatialde	spatially_informed	Overall	23	SpatialDE (N=2,000)
STOmics0212Immune	Immune	spatialde	spatially_informed	Integration	18	SpatialDE (N=2,000)
STOmics0212Immune	Immune	spatialde	spatially_informed	Clustering	15	SpatialDE (N=2,000)
STOmics0212Immune	Immune	statistic_mean	expression_driven	Overall	12	Mean expression (N=2,000)
STOmics0212Immune	Immune	statistic_mean	expression_driven	Integration	10	Mean expression (N=2,000)
STOmics0212Immune	Immune	statistic_mean	expression_driven	Clustering	12	Mean expression (N=2,000)
STOmics0212Immune	Immune	statistic_variance	expression_driven	Overall	6	Expression variance (N=2,000)
STOmics0212Immune	Immune	statistic_variance	expression_driven	Integration	6	Expression variance (N=2,000)
STOmics0212Immune	Immune	statistic_variance	expression_driven	Clustering	17	Expression variance (N=2,000)
STOmics0212Immune	Immune	triku	expression_driven	Overall	32	triku (N=2,000)
STOmics0212Immune	Immune	triku	expression_driven	Integration	26	triku (N=2,000)
STOmics0212Immune	Immune	triku	expression_driven	Clustering	30	triku (N=2,000)
STOmics0212Immune	Immune	wilcoxon	label_informed	Overall	1	Wilcoxon (label-informed) (N=2,000)
STOmics0212Immune	Immune	wilcoxon	label_informed	Integration	2	Wilcoxon (label-informed) (N=2,000)
STOmics0212Immune	Immune	wilcoxon	label_informed	Clustering	1	Wilcoxon (label-informed) (N=2,000)
