dataset	Context	fs_method	MethodGroup	ScoreType	Rank	Method
STOmics0212	Full	seurat_sct	expression_driven	Overall	3	Seurat sctransform (N=2,000)
STOmics0212	Full	seurat_sct	expression_driven	Integration	3	Seurat sctransform (N=2,000)
STOmics0212	Full	seurat_sct	expression_driven	Clustering	10	Seurat sctransform (N=2,000)
STOmics0212	Full	seurat_vst	expression_driven	Overall	11	Seurat VST (N=2,000)
STOmics0212	Full	seurat_vst	expression_driven	Integration	29	Seurat VST (N=2,000)
STOmics0212	Full	seurat_vst	expression_driven	Clustering	2	Seurat VST (N=2,000)
STOmics0212	Full	singleCellHaystack	expression_driven	Overall	20	singleCellHaystack (N=2,000)
STOmics0212	Full	singleCellHaystack	expression_driven	Integration	14	singleCellHaystack (N=2,000)
STOmics0212	Full	singleCellHaystack	expression_driven	Clustering	18	singleCellHaystack (N=2,000)
STOmics0212	Full	somde	spatially_informed	Overall	19	SOMDE (N=2,000)
STOmics0212	Full	somde	spatially_informed	Integration	13	SOMDE (N=2,000)
STOmics0212	Full	somde	spatially_informed	Clustering	20	SOMDE (N=2,000)
STOmics0212	Full	sparkx	spatially_informed	Overall	30	SPARK-X (N=2,000)
STOmics0212	Full	sparkx	spatially_informed	Integration	31	SPARK-X (N=2,000)
STOmics0212	Full	sparkx	spatially_informed	Clustering	29	SPARK-X (N=2,000)
STOmics0212	Full	spatialde	spatially_informed	Overall	15	SpatialDE (N=2,000)
STOmics0212	Full	spatialde	spatially_informed	Integration	7	SpatialDE (N=2,000)
STOmics0212	Full	spatialde	spatially_informed	Clustering	19	SpatialDE (N=2,000)
STOmics0212	Full	statistic_mean	expression_driven	Overall	24	Mean expression (N=2,000)
STOmics0212	Full	statistic_mean	expression_driven	Integration	5	Mean expression (N=2,000)
STOmics0212	Full	statistic_mean	expression_driven	Clustering	30	Mean expression (N=2,000)
STOmics0212	Full	statistic_variance	expression_driven	Overall	28	Expression variance (N=2,000)
STOmics0212	Full	statistic_variance	expression_driven	Integration	16	Expression variance (N=2,000)
STOmics0212	Full	statistic_variance	expression_driven	Clustering	31	Expression variance (N=2,000)
STOmics0212	Full	triku	expression_driven	Overall	4	triku (N=2,000)
STOmics0212	Full	triku	expression_driven	Integration	8	triku (N=2,000)
STOmics0212	Full	triku	expression_driven	Clustering	7	triku (N=2,000)
STOmics0212	Full	wilcoxon	label_informed	Overall	5	Wilcoxon (label-informed) (N=2,000)
STOmics0212	Full	wilcoxon	label_informed	Integration	23	Wilcoxon (label-informed) (N=2,000)
STOmics0212	Full	wilcoxon	label_informed	Clustering	3	Wilcoxon (label-informed) (N=2,000)
STOmics0212Epithelial	Epithelial	Brennecke	expression_driven	Overall	14	Brennecke (N=2,000)
STOmics0212Epithelial	Epithelial	Brennecke	expression_driven	Integration	13	Brennecke (N=2,000)
STOmics0212Epithelial	Epithelial	Brennecke	expression_driven	Clustering	17	Brennecke (N=2,000)
STOmics0212Epithelial	Epithelial	TFs	control	Overall	32	Transcription factors (N=2,000)
STOmics0212Epithelial	Epithelial	TFs	control	Integration	27	Transcription factors (N=2,000)
STOmics0212Epithelial	Epithelial	TFs	control	Clustering	32	Transcription factors (N=2,000)
STOmics0212Epithelial	Epithelial	all_features	control	Overall	29	All features
STOmics0212Epithelial	Epithelial	all_features	control	Integration	34	All features
STOmics0212Epithelial	Epithelial	all_features	control	Clustering	11	All features
STOmics0212Epithelial	Epithelial	anticor	expression_driven	Overall	11	Anticor (N=2,000)
STOmics0212Epithelial	Epithelial	anticor	expression_driven	Integration	23	Anticor (N=2,000)
STOmics0212Epithelial	Epithelial	anticor	expression_driven	Clustering	8	Anticor (N=2,000)
STOmics0212Epithelial	Epithelial	dubstepr	expression_driven	Overall	7	DUBStepR (N=2,000)
STOmics0212Epithelial	Epithelial	dubstepr	expression_driven	Integration	16	DUBStepR (N=2,000)
STOmics0212Epithelial	Epithelial	dubstepr	expression_driven	Clustering	5	DUBStepR (N=2,000)
STOmics0212Epithelial	Epithelial	hotspot	expression_driven	Overall	13	Hotspot (N=2,000)
STOmics0212Epithelial	Epithelial	hotspot	expression_driven	Integration	26	Hotspot (N=2,000)
STOmics0212Epithelial	Epithelial	hotspot	expression_driven	Clustering	7	Hotspot (N=2,000)
STOmics0212Epithelial	Epithelial	morans_i	spatially_informed	Overall	27	Moran's I (N=2,000)
STOmics0212Epithelial	Epithelial	morans_i	spatially_informed	Integration	31	Moran's I (N=2,000)
STOmics0212Epithelial	Epithelial	morans_i	spatially_informed	Clustering	19	Moran's I (N=2,000)
STOmics0212Epithelial	Epithelial	nbumi	expression_driven	Overall	6	NBumi (N=2,000)
STOmics0212Epithelial	Epithelial	nbumi	expression_driven	Integration	29	NBumi (N=2,000)
STOmics0212Epithelial	Epithelial	nbumi	expression_driven	Clustering	3	NBumi (N=2,000)
STOmics0212Epithelial	Epithelial	nnsvg	spatially_informed	Overall	28	nnSVG (N=2,000)
STOmics0212Epithelial	Epithelial	nnsvg	spatially_informed	Integration	30	nnSVG (N=2,000)
STOmics0212Epithelial	Epithelial	nnsvg	spatially_informed	Clustering	22	nnSVG (N=2,000)
STOmics0212Epithelial	Epithelial	osca	expression_driven	Overall	15	OSCA (N=2,000)
STOmics0212Epithelial	Epithelial	osca	expression_driven	Integration	7	OSCA (N=2,000)
STOmics0212Epithelial	Epithelial	osca	expression_driven	Clustering	24	OSCA (N=2,000)
STOmics0212Epithelial	Epithelial	random	control	Overall	33	Random (N=500)
STOmics0212Epithelial	Epithelial	random	control	Integration	21	Random (N=500)
STOmics0212Epithelial	Epithelial	random	control	Clustering	33	Random (N=500)
STOmics0212Epithelial	Epithelial	scPNMF	expression_driven	Overall	8	scPNMF (N=2,000)
STOmics0212Epithelial	Epithelial	scPNMF	expression_driven	Integration	15	scPNMF (N=2,000)
STOmics0212Epithelial	Epithelial	scPNMF	expression_driven	Clustering	6	scPNMF (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_cell_ranger	expression_driven	Overall	10	Scanpy Cell Ranger (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_cell_ranger	expression_driven	Integration	8	Scanpy Cell Ranger (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_cell_ranger	expression_driven	Clustering	21	Scanpy Cell Ranger (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_cell_ranger_batch	expression_driven	Overall	5	Scanpy Cell Ranger, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_cell_ranger_batch	expression_driven	Integration	1	Scanpy Cell Ranger, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_cell_ranger_batch	expression_driven	Clustering	25	Scanpy Cell Ranger, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_pearson	expression_driven	Overall	17	Scanpy Pearson (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_pearson	expression_driven	Integration	14	Scanpy Pearson (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_pearson	expression_driven	Clustering	18	Scanpy Pearson (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_pearson_batch	expression_driven	Overall	12	Scanpy Pearson, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_pearson_batch	expression_driven	Integration	19	Scanpy Pearson, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_pearson_batch	expression_driven	Clustering	10	Scanpy Pearson, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat	expression_driven	Overall	26	Scanpy Seurat (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat	expression_driven	Integration	11	Scanpy Seurat (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat	expression_driven	Clustering	31	Scanpy Seurat (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat_batch	expression_driven	Overall	16	Scanpy Seurat, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat_batch	expression_driven	Integration	12	Scanpy Seurat, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat_batch	expression_driven	Clustering	20	Scanpy Seurat, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat_v3	expression_driven	Overall	9	Scanpy Seurat v3 (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat_v3	expression_driven	Integration	2	Scanpy Seurat v3 (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat_v3	expression_driven	Clustering	28	Scanpy Seurat v3 (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat_v3_batch	expression_driven	Overall	1	Scanpy Seurat v3, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat_v3_batch	expression_driven	Integration	3	Scanpy Seurat v3, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scanpy_seurat_v3_batch	expression_driven	Clustering	1	Scanpy Seurat v3, batch (N=2,000)
STOmics0212Epithelial	Epithelial	scry	expression_driven	Overall	21	scry (N=2,000)
STOmics0212Epithelial	Epithelial	scry	expression_driven	Integration	28	scry (N=2,000)
STOmics0212Epithelial	Epithelial	scry	expression_driven	Clustering	12	scry (N=2,000)
STOmics0212Epithelial	Epithelial	scsegindex	control	Overall	34	scSEGIndex (N=500)
STOmics0212Epithelial	Epithelial	scsegindex	control	Integration	4	scSEGIndex (N=500)
STOmics0212Epithelial	Epithelial	scsegindex	control	Clustering	34	scSEGIndex (N=500)
STOmics0212Epithelial	Epithelial	seurat_disp	expression_driven	Overall	25	Seurat Dispersion (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_disp	expression_driven	Integration	17	Seurat Dispersion (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_disp	expression_driven	Clustering	23	Seurat Dispersion (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_mvp	expression_driven	Overall	18	Seurat MVP (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_mvp	expression_driven	Integration	9	Seurat MVP (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_mvp	expression_driven	Clustering	27	Seurat MVP (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_sct	expression_driven	Overall	22	Seurat sctransform (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_sct	expression_driven	Integration	22	Seurat sctransform (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_sct	expression_driven	Clustering	16	Seurat sctransform (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_vst	expression_driven	Overall	2	Seurat VST (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_vst	expression_driven	Integration	5	Seurat VST (N=2,000)
STOmics0212Epithelial	Epithelial	seurat_vst	expression_driven	Clustering	4	Seurat VST (N=2,000)
STOmics0212Epithelial	Epithelial	singleCellHaystack	expression_driven	Overall	3	singleCellHaystack (N=2,000)
STOmics0212Epithelial	Epithelial	singleCellHaystack	expression_driven	Integration	18	singleCellHaystack (N=2,000)
STOmics0212Epithelial	Epithelial	singleCellHaystack	expression_driven	Clustering	2	singleCellHaystack (N=2,000)
STOmics0212Epithelial	Epithelial	somde	spatially_informed	Overall	30	SOMDE (N=2,000)
STOmics0212Epithelial	Epithelial	somde	spatially_informed	Integration	32	SOMDE (N=2,000)
STOmics0212Epithelial	Epithelial	somde	spatially_informed	Clustering	30	SOMDE (N=2,000)
STOmics0212Epithelial	Epithelial	sparkx	spatially_informed	Overall	31	SPARK-X (N=2,000)
STOmics0212Epithelial	Epithelial	sparkx	spatially_informed	Integration	33	SPARK-X (N=2,000)
STOmics0212Epithelial	Epithelial	sparkx	spatially_informed	Clustering	26	SPARK-X (N=2,000)
STOmics0212Epithelial	Epithelial	spatialde	spatially_informed	Overall	24	SpatialDE (N=2,000)
STOmics0212Epithelial	Epithelial	spatialde	spatially_informed	Integration	25	SpatialDE (N=2,000)
STOmics0212Epithelial	Epithelial	spatialde	spatially_informed	Clustering	14	SpatialDE (N=2,000)
STOmics0212Epithelial	Epithelial	statistic_mean	expression_driven	Overall	20	Mean expression (N=2,000)
STOmics0212Epithelial	Epithelial	statistic_mean	expression_driven	Integration	20	Mean expression (N=2,000)
STOmics0212Epithelial	Epithelial	statistic_mean	expression_driven	Clustering	15	Mean expression (N=2,000)
STOmics0212Epithelial	Epithelial	statistic_variance	expression_driven	Overall	19	Expression variance (N=2,000)
STOmics0212Epithelial	Epithelial	statistic_variance	expression_driven	Integration	24	Expression variance (N=2,000)
STOmics0212Epithelial	Epithelial	statistic_variance	expression_driven	Clustering	13	Expression variance (N=2,000)
STOmics0212Epithelial	Epithelial	triku	expression_driven	Overall	4	triku (N=2,000)
STOmics0212Epithelial	Epithelial	triku	expression_driven	Integration	6	triku (N=2,000)
STOmics0212Epithelial	Epithelial	triku	expression_driven	Clustering	9	triku (N=2,000)
STOmics0212Epithelial	Epithelial	wilcoxon	label_informed	Overall	23	Wilcoxon (label-informed) (N=2,000)
STOmics0212Epithelial	Epithelial	wilcoxon	label_informed	Integration	10	Wilcoxon (label-informed) (N=2,000)
STOmics0212Epithelial	Epithelial	wilcoxon	label_informed	Clustering	29	Wilcoxon (label-informed) (N=2,000)
STOmics0212Immune	Immune	Brennecke	expression_driven	Overall	30	Brennecke (N=2,000)
STOmics0212Immune	Immune	Brennecke	expression_driven	Integration	30	Brennecke (N=2,000)
STOmics0212Immune	Immune	Brennecke	expression_driven	Clustering	16	Brennecke (N=2,000)
STOmics0212Immune	Immune	TFs	control	Overall	2	Transcription factors (N=2,000)
STOmics0212Immune	Immune	TFs	control	Integration	1	Transcription factors (N=2,000)
STOmics0212Immune	Immune	TFs	control	Clustering	32	Transcription factors (N=2,000)
STOmics0212Immune	Immune	all_features	control	Overall	26	All features
STOmics0212Immune	Immune	all_features	control	Integration	34	All features
STOmics0212Immune	Immune	all_features	control	Clustering	5	All features
STOmics0212Immune	Immune	anticor	expression_driven	Overall	18	Anticor (N=2,000)
STOmics0212Immune	Immune	anticor	expression_driven	Integration	15	Anticor (N=2,000)
STOmics0212Immune	Immune	anticor	expression_driven	Clustering	19	Anticor (N=2,000)
STOmics0212Immune	Immune	dubstepr	expression_driven	Overall	27	DUBStepR (N=2,000)
STOmics0212Immune	Immune	dubstepr	expression_driven	Integration	21	DUBStepR (N=2,000)
STOmics0212Immune	Immune	dubstepr	expression_driven	Clustering	29	DUBStepR (N=2,000)
STOmics0212Immune	Immune	hotspot	expression_driven	Overall	14	Hotspot (N=2,000)
STOmics0212Immune	Immune	hotspot	expression_driven	Integration	12	Hotspot (N=2,000)
STOmics0212Immune	Immune	hotspot	expression_driven	Clustering	18	Hotspot (N=2,000)
STOmics0212Immune	Immune	morans_i	spatially_informed	Overall	13	Moran's I (N=2,000)
STOmics0212Immune	Immune	morans_i	spatially_informed	Integration	19	Moran's I (N=2,000)
STOmics0212Immune	Immune	morans_i	spatially_informed	Clustering	9	Moran's I (N=2,000)
STOmics0212Immune	Immune	nbumi	expression_driven	Overall	25	NBumi (N=2,000)
STOmics0212Immune	Immune	nbumi	expression_driven	Integration	31	NBumi (N=2,000)
STOmics0212Immune	Immune	nbumi	expression_driven	Clustering	7	NBumi (N=2,000)
STOmics0212Immune	Immune	nnsvg	spatially_informed	Overall	24	nnSVG (N=2,000)
STOmics0212Immune	Immune	nnsvg	spatially_informed	Integration	16	nnSVG (N=2,000)
STOmics0212Immune	Immune	nnsvg	spatially_informed	Clustering	21	nnSVG (N=2,000)
STOmics0212Immune	Immune	osca	expression_driven	Overall	15	OSCA (N=2,000)
STOmics0212Immune	Immune	osca	expression_driven	Integration	7	OSCA (N=2,000)
STOmics0212Immune	Immune	osca	expression_driven	Clustering	27	OSCA (N=2,000)
STOmics0212Immune	Immune	random	control	Overall	3	Random (N=500)
STOmics0212Immune	Immune	random	control	Integration	3	Random (N=500)
STOmics0212Immune	Immune	random	control	Clustering	22	Random (N=500)
STOmics0212Immune	Immune	scPNMF	expression_driven	Overall	17	scPNMF (N=2,000)
STOmics0212Immune	Immune	scPNMF	expression_driven	Integration	22	scPNMF (N=2,000)
STOmics0212Immune	Immune	scPNMF	expression_driven	Clustering	11	scPNMF (N=2,000)
STOmics0212Immune	Immune	scanpy_cell_ranger	expression_driven	Overall	28	Scanpy Cell Ranger (N=2,000)
STOmics0212Immune	Immune	scanpy_cell_ranger	expression_driven	Integration	13	Scanpy Cell Ranger (N=2,000)
STOmics0212Immune	Immune	scanpy_cell_ranger	expression_driven	Clustering	33	Scanpy Cell Ranger (N=2,000)
STOmics0212Immune	Immune	scanpy_cell_ranger_batch	expression_driven	Overall	20	Scanpy Cell Ranger, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_cell_ranger_batch	expression_driven	Integration	4	Scanpy Cell Ranger, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_cell_ranger_batch	expression_driven	Clustering	34	Scanpy Cell Ranger, batch (N=2,000)
STOmics0212Immune	Immune	scanpy_pearson	expression_driven	Overall	16	Scanpy Pearson (N=2,000)
STOmics0212Immune	Immune	scanpy_pearson	expression_driven	Integration	8	Scanpy Pearson (N=2,000)
STOmics0212Immune	Immune	scanpy_pearson	expression_driven	Clustering	25	Scanpy Pearson (N=2,000)
STOmics0212Immune	Immune	scanpy_pearson_batch	expression_driven	Overall	7	Scanpy Pearson, batch (N=2,000)
