Metric	NMethods	SpearmanRho	Lower95	Upper95
Jaccard	13	0.9230769230769231		
MeanReferencePercentile	13	0.945054945054945		
RankSpearman	13	0.945054945054945		
Jaccard vs ARI (Moran's I reference)	78	0.4301133745179037	0.13338227012106807	0.6423189625766829
MeanReferencePercentile vs ARI (Moran's I reference)	78	0.2804302054343883	-0.011549684905932809	0.5221340248673428
RankSpearman vs ARI (Moran's I reference)	78	0.31530694184257924	-0.012478801225099348	0.5448784036034481
Jaccard vs ARI (nnSVG reference)	78	0.2701417605840901	-0.022592091068970144	0.4914182298492204
MeanReferencePercentile vs ARI (nnSVG reference)	78	0.09805508485293002	-0.14395262318730542	0.35391232842051995
RankSpearman vs ARI (nnSVG reference)	78	-0.037557854270467136	-0.19917495507807556	0.1635165113773214
