fs_method	Context	Label	MarkerOverlap	MarkerOverlapSD	NSeeds	FullMarkerOverlap	Difference
scanpy_cell_ranger_batch	Epithelial	Merkel Cell	0.66	NA	1	0.62	0.040000000000000036
scanpy_cell_ranger_batch	Epithelial	Progenitor Cell	0.74	NA	1	0.7	0.040000000000000036
scanpy_cell_ranger_batch	Epithelial	Stem Cell	0.12	NA	1	0.11	0.009999999999999995
scanpy_cell_ranger_batch	Immune	Langerhans Cell	0.27	NA	1	0.52	-0.25
scanpy_cell_ranger_batch	Immune	T Cell	0.3	NA	1	0.12	0.18
scanpy_pearson	Epithelial	Keratinocyte	0.47	NA	1	0.43	0.03999999999999998
scanpy_pearson	Epithelial	Merkel Cell	0.88	NA	1	0.84	0.040000000000000036
scanpy_pearson	Epithelial	Progenitor Cell	0.99	NA	1	0.97	0.020000000000000018
scanpy_pearson	Epithelial	Stem Cell	0.61	NA	1	0.54	0.06999999999999995
scanpy_pearson	Immune	Langerhans Cell	0.98	NA	1	0.98	0
scanpy_pearson	Immune	T Cell	0.13	NA	1	0.28	-0.15000000000000002
scanpy_pearson_batch	Epithelial	Keratinocyte	0.49	NA	1	0.54	-0.050000000000000044
scanpy_pearson_batch	Epithelial	Merkel Cell	0.88	NA	1	0.85	0.030000000000000027
scanpy_pearson_batch	Epithelial	Progenitor Cell	0.95	NA	1	0.94	0.010000000000000009
scanpy_pearson_batch	Epithelial	Stem Cell	0.58	NA	1	0.59	-0.010000000000000009
scanpy_pearson_batch	Immune	Langerhans Cell	0.99	NA	1	0.96	0.030000000000000027
scanpy_pearson_batch	Immune	T Cell	0.38	NA	1	0.29	0.09000000000000002
scanpy_seurat	Epithelial	Keratinocyte	0.07	NA	1	0.08	-0.009999999999999995
scanpy_seurat	Epithelial	Merkel Cell	0.56	NA	1	0.5	0.06000000000000005
scanpy_seurat	Epithelial	Progenitor Cell	0.75	NA	1	0.58	0.17000000000000004
scanpy_seurat	Epithelial	Stem Cell	0.2	NA	1	0.17	0.03
scanpy_seurat	Immune	Langerhans Cell	0.29	NA	1	0.42	-0.13
scanpy_seurat	Immune	T Cell	0.22	NA	1	0.07	0.15
scanpy_seurat_batch	Epithelial	Keratinocyte	0.13	NA	1	0.17	-0.04000000000000001
scanpy_seurat_batch	Epithelial	Merkel Cell	0.63	NA	1	0.6	0.030000000000000027
scanpy_seurat_batch	Epithelial	Progenitor Cell	0.82	NA	1	0.78	0.039999999999999925
scanpy_seurat_batch	Epithelial	Stem Cell	0.15	NA	1	0.2	-0.05000000000000002
scanpy_seurat_batch	Immune	Langerhans Cell	0.54	NA	1	0.74	-0.19999999999999996
scanpy_seurat_batch	Immune	T Cell	0.18	NA	1	0.08	0.09999999999999999
scanpy_seurat_v3	Epithelial	Keratinocyte	0.58	NA	1	0.81	-0.2300000000000001
scanpy_seurat_v3	Epithelial	Merkel Cell	0.71	NA	1	0.72	-0.010000000000000009
scanpy_seurat_v3	Epithelial	Progenitor Cell	0.25	NA	1	0.13	0.12
scanpy_seurat_v3	Epithelial	Stem Cell	0.57	NA	1	0.65	-0.08000000000000007
scanpy_seurat_v3	Immune	Langerhans Cell	0.05	NA	1	0.16	-0.11
scanpy_seurat_v3	Immune	T Cell	0.81	NA	1	0.58	0.2300000000000001
scanpy_seurat_v3_batch	Epithelial	Keratinocyte	0.54	NA	1	0.71	-0.16999999999999993
scanpy_seurat_v3_batch	Epithelial	Merkel Cell	0.69	NA	1	0.73	-0.040000000000000036
scanpy_seurat_v3_batch	Epithelial	Progenitor Cell	0.28	NA	1	0.26	0.020000000000000018
scanpy_seurat_v3_batch	Epithelial	Stem Cell	0.53	NA	1	0.53	0
scanpy_seurat_v3_batch	Immune	Langerhans Cell	0.39	NA	1	0.27	0.12
scanpy_seurat_v3_batch	Immune	T Cell	0.29	NA	1	0.46	-0.17000000000000004
scry	Epithelial	Keratinocyte	1	NA	1	1	0
scry	Epithelial	Merkel Cell	0.84	NA	1	0.81	0.029999999999999916
scry	Epithelial	Progenitor Cell	0.9	NA	1	0.94	-0.039999999999999925
scry	Epithelial	Stem Cell	1	NA	1	1	0
scry	Immune	Langerhans Cell	1	NA	1	1	0
scry	Immune	T Cell	0.66	NA	1	0.73	-0.06999999999999995
scsegindex	Epithelial	Keratinocyte	0	NA	1	0	0
scsegindex	Epithelial	Merkel Cell	0	NA	1	0	0
scsegindex	Epithelial	Progenitor Cell	0	NA	1	0	0
scsegindex	Epithelial	Stem Cell	0	NA	1	0	0
scsegindex	Immune	Langerhans Cell	0.77	NA	1	0	0.77
scsegindex	Immune	T Cell	0.16	NA	1	0.02	0.14
seurat_disp	Epithelial	Keratinocyte	0.29	NA	1	0.28	0.009999999999999953
seurat_disp	Epithelial	Merkel Cell	0.67	NA	1	0.65	0.020000000000000018
seurat_disp	Epithelial	Progenitor Cell	0.95	NA	1	0.98	-0.030000000000000027
seurat_disp	Epithelial	Stem Cell	0.35	NA	1	0.34	0.009999999999999953
seurat_disp	Immune	Langerhans Cell	0.86	NA	1	0.96	-0.09999999999999998
seurat_disp	Immune	T Cell	0.25	NA	1	0.11	0.14
seurat_mvp	Epithelial	Keratinocyte	0.07	NA	1	0.07	0
seurat_mvp	Epithelial	Merkel Cell	0.59	NA	1	0.46	0.12999999999999995
seurat_mvp	Epithelial	Progenitor Cell	0.74	NA	1	0.47	0.27
seurat_mvp	Epithelial	Stem Cell	0.19	NA	1	0.17	0.01999999999999999
seurat_mvp	Immune	Langerhans Cell	0.26	NA	1	0.34	-0.08000000000000002
seurat_mvp	Immune	T Cell	0.21	NA	1	0.05	0.15999999999999998
seurat_sct	Epithelial	Keratinocyte	0.6033333333333333	NA	3	0.66	-0.056666666666666754
seurat_sct	Epithelial	Merkel Cell	0.9333333333333333	NA	3	0.9366666666666666	-0.0033333333333332993
seurat_sct	Epithelial	Progenitor Cell	0.9466666666666667	NA	3	0.95	-0.0033333333333332993
seurat_sct	Epithelial	Stem Cell	0.6466666666666667	NA	3	0.66	-0.013333333333333308
seurat_sct	Immune	Langerhans Cell	0.93	NA	3	0.9366666666666666	-0.006666666666666599
seurat_sct	Immune	T Cell	0.44	NA	3	0.5466666666666667	-0.10666666666666674
seurat_vst	Epithelial	Keratinocyte	0.58	NA	1	0.81	-0.2300000000000001
seurat_vst	Epithelial	Merkel Cell	0.71	NA	1	0.72	-0.010000000000000009
seurat_vst	Epithelial	Progenitor Cell	0.25	NA	1	0.13	0.12
seurat_vst	Epithelial	Stem Cell	0.57	NA	1	0.65	-0.08000000000000007
seurat_vst	Immune	Langerhans Cell	0.05	NA	1	0.16	-0.11
seurat_vst	Immune	T Cell	0.81	NA	1	0.58	0.2300000000000001
singleCellHaystack	Epithelial	Keratinocyte	0.87	NA	3	0.5766666666666667	0.29333333333333333
