dataset	fs_method	n_features	MethodGroup	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	IntegrationRank	ClusteringRank	AlignmentRank	CoreOverallRank	effective_n_features	BestParentCoreOverall	DifferenceFromBestParent	Method	Integrator	Dataset
E9p5Embryo	hybrid_hvg_svg_union	2000	hybrid	scvi	0.6884448614539261	8.7949767707598e-4	3	NA	NA	0	0.6884448614539261	8.7949767707598e-4	3	0.39679552294156345	0.00298972063843972	3	NA	NA	0	0.39679552294156345	0.00298972063843972	3	NA	NA	0	0.5426201921977448	0.00186056601497863	3	NA	NA	0	24	8	NA	14	2000	0.5428890162947286	-2.6882409698381e-4	Balanced HVG-SVG union	scVI	E9p5Embryo
MouseBrainSerialSections	hybrid_hvg_svg_intersection	2000	hybrid	cellcharter	0.6275848954031317	0.00290525035830982	3	0.8144630682663857	0.00694884964438637	3	0.7210239818347587	0.00206788626112503	3	0.7903127354832656	0.00173456429868041	3	0.8051460381148065	0.00357709382340002	3	0.7977293867990362	0.0015835359055364	3	0.9565938680291776	0.00696282044114657	3	0.7593766843168974	0.00131360924283364	3	0.8251157455543242	0.0031371647193267	3	14	13	28	13	1157	0.7641124275562614	-0.00473574323936398	Exact HVG-SVG intersection	CellCharter	Mouse Brain
MouseBrainSerialSections	hybrid_hvg_svg_intersection	2000	hybrid	scvi	0.5878025278841718	0.07303228394274085	3	0.7597921845857214	0.01126532750597755	3	0.6737973562349465	0.03964611234051917	3	0.7459542768476052	0.02040166165164846	3	0.8146342161014402	0.06186964849951939	3	0.7802942464745226	0.04058606051382333	3	0.8950491148582621	0.03562413766271132	3	0.7270458013547346	0.01021844302844634	3	0.7830469058559104	0.01450320303896962	3	8	6	8	6	1157	0.614411198245853	0.11263460310888164	Exact HVG-SVG intersection	scVI	Mouse Brain
MouseBrainSerialSections	hybrid_hvg_svg_union	2000	hybrid	cellcharter	0.56790359590459	0.01949056595760945	3	0.8560602730017997	0.01896061892155472	3	0.7119819344531949	0.00639745176305922	3	0.7908630896633214	0.00530792846840043	3	0.8083163184531384	0.02643032343740991	3	0.7995897040582299	0.01221760855308635	3	0.9640239385081858	0.00707900599302246	3	0.7557858192557124	0.00850822853313214	3	0.8251985256732035	0.00337653320064695	3	26	8	12	24	2000	0.7641124275562614	-0.00832660830054898	Balanced HVG-SVG union	CellCharter	Mouse Brain
MouseBrainSerialSections	hybrid_hvg_svg_union	2000	hybrid	scvi	0.31077922431896937	0.03961973662052724	3	0.5367195207562344	0.03883383784255202	3	0.42374937253760186	0.03323472390563218	3	0.5562769847174515	0.01140514851842459	3	0.4368200688238481	0.04377158204153151	3	0.49654852677064976	0.01801477434263927	3	0.7147193884562407	0.03972150731575118	3	0.46014894965412584	0.02536683094968864	3	0.5450057625881642	0.01971918204312674	3	24	28	20	28	2000	0.614411198245853	-0.15426224859172716	Balanced HVG-SVG union	scVI	Mouse Brain
STOmics0212	hybrid_hvg_svg_intersection	2000	hybrid	cellcharter	0.08619465303018303	0.01835318282074428	3	0.7421615053533314	0.01317416967758591	3	0.41417807919175714	0.01218331257163609	3	0.730815545041136	0.00945540768028069	3	0.8595875922841477	0.0597850092835464	3	0.7952015686626419	0.03442100275845361	3	NA	NA	0	0.6046898239271995	0.0112324376483683	3	NA	NA	0	26	3	NA	6	488	0.6023589515947791	0.00233087233242035	Exact HVG-SVG intersection	CellCharter	STOmics0212
STOmics0212	hybrid_hvg_svg_intersection	2000	hybrid	scvi	0.37247877727605977	0.0060163682036982	3	0.7135925961635768	0.01446834416456703	3	0.5430356867198183	0.0062624475938365	3	0.6100084568922287	0.01916765449952003	3	0.6430204881540451	0.05425988533687862	3	0.626514472523137	0.03521903806768926	3	NA	NA	0	0.5847750796214776	0.02008516185901604	3	NA	NA	0	6	7	NA	4	488	0.5766027303526248	0.00817234926885279	Exact HVG-SVG intersection	scVI	STOmics0212
STOmics0212	hybrid_hvg_svg_union	2000	hybrid	cellcharter	0.1640270771022248	0.02081421831041659	3	0.8028375277119949	0.01646139322184788	3	0.4834323024071099	0.01818692219142676	3	0.695459934350055	0.00284059812871428	3	0.6702320123862521	0.03078688337451624	3	0.6828459733681536	0.01422658267705803	3	NA	NA	0	0.5831391378876317	0.00369877745317332	3	NA	NA	0	11	23	NA	21	2000	0.6023589515947791	-0.01921981370714742	Balanced HVG-SVG union	CellCharter	STOmics0212
STOmics0212	hybrid_hvg_svg_union	2000	hybrid	scvi	0.3954156110845752	0.0308180043086122	3	0.6471448877914444	0.028848051360958	3	0.5212802494380099	0.02824027245751426	3	0.6101273396084574	0.03143039727636732	3	0.5764805743414368	0.04900365724451612	3	0.5933039569749471	0.03989309448842212	3	NA	NA	0	0.5572921032064785	0.01507850469093889	3	NA	NA	0	19	14	NA	18	2000	0.5766027303526248	-0.01931062714614628	Balanced HVG-SVG union	scVI	STOmics0212
STOmics0218	hybrid_hvg_svg_intersection	2000	hybrid	cellcharter	0.6738186786868184	0.01428695427517721	3	0.8522515020571649	0.00944846629388271	3	0.7630350903719917	0.00991466683712849	3	0.7365986892240715	0.0030580936170158	3	0.7307432795931725	0.02159297334644711	3	0.7336709844086219	0.01187283275184083	3	NA	NA	0	0.7483530373903068	0.00768396148255229	3	NA	NA	0	2	30	NA	17	889	0.7510620148151915	-0.00270897742488474	Exact HVG-SVG intersection	CellCharter	STOmics0218
STOmics0218	hybrid_hvg_svg_intersection	2000	hybrid	scvi	0.8292975738874651	0.00722988435402566	3	0.696793698082875	0.00690913315512707	3	0.76304563598517	0.00695382766469759	3	0.69350700847422	0.00420035336413678	3	0.7662536585734513	0.03046166574367763	3	0.7298803335238357	0.01715225433362503	3	NA	NA	0	0.7464629847545029	0.00783318669946873	3	NA	NA	0	10	13	NA	8	889	0.7416484500471868	0.00481453470731607	Exact HVG-SVG intersection	scVI	STOmics0218
STOmics0218	hybrid_hvg_svg_union	2000	hybrid	cellcharter	0.6338710558384714	0.02497337430273323	3	0.8670765238586048	0.01193076124495859	3	0.7504737898485381	0.00762368783369128	3	0.7411188515099152	0.00363746411894065	3	0.7661286704273674	0.03539188971822921	3	0.7536237609686413	0.01905763490673379	3	NA	NA	0	0.7520487754085897	0.00591655197429499	3	NA	NA	0	15	10	NA	12	2000	0.7510620148151915	9.8676059339819e-4	Balanced HVG-SVG union	CellCharter	STOmics0218
STOmics0218	hybrid_hvg_svg_union	2000	hybrid	scvi	0.8097899928061717	0.00745847569205124	3	0.7028309125365446	0.01052212600559156	3	0.7563104526713581	0.00895377906976805	3	0.6734783973924361	0.00138895116746349	3	0.7640070236485524	0.0397360909746449	3	0.7187427105204942	0.01946051427874019	3	NA	NA	0	0.7375265815959261	0.00748188468944834	3	NA	NA	0	18	23	NA	25	2000	0.7416484500471868	-0.00412186845126072	Balanced HVG-SVG union	scVI	STOmics0218
STOmics0224	hybrid_hvg_svg_intersection	2000	hybrid	cellcharter	0.48482791498234	0.0211857899549508	3	0.7213863514326766	0.076680479844918	3	0.6031071332075082	0.02872568347199979	3	0.6711458572848322	0.01089947955860816	3	0.7344816870739294	0.0407704299977036	3	0.7028137721793808	0.01600066368240029	3	NA	NA	0	0.6529604526934446	0.02223133585630857	3	NA	NA	0	5	19	NA	7	134	0.6734690147791783	-0.0205085620857337	Exact HVG-SVG intersection	CellCharter	STOmics0224
STOmics0224	hybrid_hvg_svg_intersection	2000	hybrid	scvi	0.8731028011089506	0.0081997675478421	3	0.5259493843723936	0.02483853038776135	3	0.699526092740672	0.01650794630752868	3	0.3031155861723849	0.01562673850759606	3	0.5357352362542463	0.09733120911356684	3	0.4194254112133156	0.04784479812868555	3	NA	NA	0	0.5594757519769938	0.02914270669052509	3	NA	NA	0	4	29	NA	28	134	0.6440148238702007	-0.08453907189320686	Exact HVG-SVG intersection	scVI	STOmics0224
STOmics0224	hybrid_hvg_svg_union	2000	hybrid	cellcharter	0.3425955527714188	0.02185346742362864	3	0.751953060095937	0.03587136366179785	3	0.5472743064336779	0.01488505264678466	3	0.7110491306327517	0.01074812917995142	3	0.6661836553823276	0.02070606597305363	3	0.6886163930075396	0.01571618296210291	3	NA	NA	0	0.6179453497206087	0.01238017662549352	3	NA	NA	0	27	26	NA	31	2000	0.6734690147791783	-0.05552366505856965	Balanced HVG-SVG union	CellCharter	STOmics0224
STOmics0224	hybrid_hvg_svg_union	2000	hybrid	scvi	0.7334970562476073	0.03143668591387887	3	0.5282944256005772	0.04068329796147817	3	0.6308957409240922	0.03574733329530948	3	0.5063175421671492	0.02264968916440547	3	0.7857701509837219	0.06550030038277485	3	0.6460438465754356	0.04089297793370665	3	NA	NA	0	0.6384697937497639	0.02741862388909755	3	NA	NA	0	19	4	NA	7	2000	0.6440148238702007	-0.00554503012043683	Balanced HVG-SVG union	scVI	STOmics0224
