dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
DLPFC	151673	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_ari	0.231755603738839	1.27003528829664	ARI	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151673	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_nmi	0.3826670836244095	1.27003528829664	NMI	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151673	scsegindex	2000	0	heldout_clustering	heldout_ari	0.139103665521376	930.7730006119236	ARI	scSEGIndex (N=2,000)
DLPFC	151673	scsegindex	2000	0	heldout_clustering	heldout_nmi	0.2929583008169418	930.7730006119236	NMI	scSEGIndex (N=2,000)
DLPFC	151673	seurat_vst	2000	0	heldout_clustering	heldout_ari	0.2434107910957928	23.94848270714283	ARI	Seurat-VST (N=2,000)
DLPFC	151673	seurat_vst	2000	0	heldout_clustering	heldout_nmi	0.3948479180259454	23.94848270714283	NMI	Seurat-VST (N=2,000)
DLPFC	151673	singleCellHaystack	2000	0	heldout_clustering	heldout_ari	0.1781831471693461	69.56072771456093	ARI	singleCellHaystack (N=2,000)
DLPFC	151673	singleCellHaystack	2000	0	heldout_clustering	heldout_nmi	0.3618829746722239	69.56072771456093	NMI	singleCellHaystack (N=2,000)
DLPFC	151673	somde	2000	0	heldout_clustering	heldout_ari	0.193715889043566	976.5415872503072	ARI	SOMDE (N=2,000)
DLPFC	151673	somde	2000	0	heldout_clustering	heldout_nmi	0.376871307180268	976.5415872503072	NMI	SOMDE (N=2,000)
DLPFC	151673	sparkx	2000	0	heldout_clustering	heldout_ari	0.175830031910875	132.1619899366051	ARI	SPARK-X (N=2,000)
DLPFC	151673	sparkx	2000	0	heldout_clustering	heldout_nmi	0.3578033510124846	132.1619899366051	NMI	SPARK-X (N=2,000)
DLPFC	151673	spatialde	2000	0	heldout_clustering	heldout_ari	0.2348267173904049	766.7298991819844	ARI	SpatialDE (N=2,000)
DLPFC	151673	spatialde	2000	0	heldout_clustering	heldout_nmi	0.3924152069236866	766.7298991819844	NMI	SpatialDE (N=2,000)
DLPFC	151673	triku	2000	0	heldout_clustering	heldout_ari	0.2033078352619569	63.54361620917916	ARI	triku (N=2,000)
DLPFC	151673	triku	2000	0	heldout_clustering	heldout_nmi	0.3747881038379862	63.54361620917916	NMI	triku (N=2,000)
DLPFC	151673	wilcoxon	2000	0	heldout_clustering	heldout_ari	0.2759325784686824	165.85778702795506	ARI	Wilcoxon (label-informed) (N=2,000)
DLPFC	151673	wilcoxon	2000	0	heldout_clustering	heldout_nmi	0.424445058570104	165.85778702795506	NMI	Wilcoxon (label-informed) (N=2,000)
MouseBrainSerialSections	section1	all_features	2000	0	heldout_clustering	heldout_ari	0.7231293047354478	0.0016512079164385	ARI	All features
MouseBrainSerialSections	section1	all_features	2000	0	heldout_clustering	heldout_nmi	0.7937635508129444	0.0016512079164385	NMI	All features
MouseBrainSerialSections	section1	morans_i	2000	0	heldout_clustering	heldout_ari	0.7093022654613698	1.6627576211467383	ARI	Moran's I (N=2,000)
MouseBrainSerialSections	section1	morans_i	2000	0	heldout_clustering	heldout_nmi	0.7750272567613442	1.6627576211467383	NMI	Moran's I (N=2,000)
MouseBrainSerialSections	section1	nnsvg	2000	0	heldout_clustering	heldout_ari	0.6316739170726949	9523.509193881417	ARI	nnSVG (N=2,000)
MouseBrainSerialSections	section1	nnsvg	2000	0	heldout_clustering	heldout_nmi	0.7512493835159856	9523.509193881417	NMI	nnSVG (N=2,000)
MouseBrainSerialSections	section1	random	2000	0	heldout_clustering	heldout_ari	0.6011503384856579	0.0015059653669595	ARI	Random (N=2,000)
MouseBrainSerialSections	section1	random	2000	0	heldout_clustering	heldout_nmi	0.683633750742414	0.0015059653669595	NMI	Random (N=2,000)
MouseBrainSerialSections	section1	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_ari	0.6238755040561148	1.026516777463257	ARI	scanpy-CellRanger (batch) (N=2,000)
MouseBrainSerialSections	section1	scanpy_cell_ranger_batch	2000	0	heldout_clustering	heldout_nmi	0.7384306010430731	1.026516777463257	NMI	scanpy-CellRanger (batch) (N=2,000)
MouseBrainSerialSections	section1	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_ari	0.6094103658186519	0.5832616463303566	ARI	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section1	scanpy_seurat_v3_batch	2000	0	heldout_clustering	heldout_nmi	0.7215317296876593	0.5832616463303566	NMI	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section1	scsegindex	2000	0	heldout_clustering	heldout_ari	0.592555689440018	345.90391749329865	ARI	scSEGIndex (N=2,000)
MouseBrainSerialSections	section1	scsegindex	2000	0	heldout_clustering	heldout_nmi	0.6715119827499466	345.90391749329865	NMI	scSEGIndex (N=2,000)
MouseBrainSerialSections	section1	seurat_vst	2000	0	heldout_clustering	heldout_ari	0.6060092391847668	20.548787213861942	ARI	Seurat-VST (N=2,000)
MouseBrainSerialSections	section1	seurat_vst	2000	0	heldout_clustering	heldout_nmi	0.7181681682040104	20.548787213861942	NMI	Seurat-VST (N=2,000)
