dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup	NFeatures	Dataset	Integrator	Method
DLPFC	anticor	1000	cellcharter	0.5427285995750608	NA	1	0.8933329854279026	NA	1	0.7180307925014817	NA	1	0.7187034655486849	NA	1	0.7009184855177977	NA	1	0.7098109755332414	NA	1	0.9122719185756216	NA	1	0.7139208840173615	NA	1	0.7800378955367816	NA	1	expression_driven	1000	DLPFC	CellCharter	Anticor
DLPFC	anticor	1000	scvi	0.7738429379993843	NA	1	0.7449837324303468	NA	1	0.7594133352148655	NA	1	0.4957375914949007	NA	1	0.7088397322670281	NA	1	0.6022886618809644	NA	1	0.8100546773279825	NA	1	0.680850998547915	NA	1	0.7239188914746042	NA	1	expression_driven	1000	DLPFC	scVI	Anticor
DLPFC	anticor	10000	cellcharter	0.5176904993495925	NA	1	0.9369429306521372	NA	1	0.7273167150008648	NA	1	0.6742287498286575	NA	1	0.518002482939484	NA	1	0.5961156163840708	NA	1	0.8791883621710292	NA	1	0.6617161656924678	NA	1	0.7342068978519883	NA	1	expression_driven	10000	DLPFC	CellCharter	Anticor
DLPFC	anticor	10000	scvi	0.4608678617553389	NA	1	0.39237233744990063	NA	1	0.42662009960261976	NA	1	0.49166300644563127	NA	1	0.38965959773687736	NA	1	0.4406613020912543	NA	1	0.6167673850384023	NA	1	0.43364070084693707	NA	1	0.4946829289107588	NA	1	expression_driven	10000	DLPFC	scVI	Anticor
DLPFC	anticor	200	cellcharter	0.6066898448728619	NA	1	0.8376014313246092	NA	1	0.7221456380987356	NA	1	0.7073194525929392	NA	1	0.8452977823322729	NA	1	0.776308617462606	NA	1	0.9324435674523248	NA	1	0.7492271277806708	NA	1	0.8102992743378888	NA	1	expression_driven	200	DLPFC	CellCharter	Anticor
DLPFC	anticor	200	scvi	0.8132224341429337	NA	1	0.740382543558509	NA	1	0.7768024888507213	NA	1	0.4598450401816406	NA	1	0.7248023719322434	NA	1	0.592323706056942	NA	1	0.7826544936790101	NA	1	0.6845630974538317	NA	1	0.7172602295288911	NA	1	expression_driven	200	DLPFC	scVI	Anticor
DLPFC	anticor	2000	cellcharter	0.5361794303507982	0.00183185688866307	3	0.9182927755907048	0.03115159642415035	3	0.7272361029707515	0.01649161063570326	3	0.7232766891251775	0.00159877294303123	3	0.6962529099944604	0.0192892902546022	3	0.709764799559819	0.01016956929124894	3	0.917312075942172	0.00748969204496592	3	0.7185004512652852	0.01308991167787545	3	0.7847709928242476	0.00698801412518439	3	expression_driven	2000	DLPFC	CellCharter	Anticor
DLPFC	anticor	2000	scvi	0.7278972203226646	0.05340987949761991	3	0.7303041041834142	0.02390390854064959	3	0.7291006622530394	0.03834261502500337	3	0.4972734964850218	0.01144510264436443	3	0.6943105858480122	0.03215721524219624	3	0.5957920411665171	0.01095232468274411	3	0.7989031743850794	0.0324055230094983	3	0.6624463517097782	0.01612733589137658	3	0.7079319592682118	0.02147680649783045	3	expression_driven	2000	DLPFC	scVI	Anticor
DLPFC	anticor	500	cellcharter	0.5691579760028721	NA	1	0.8921521603894205	NA	1	0.7306550681961463	NA	1	0.716923960133191	NA	1	0.6699055373107912	NA	1	0.693414748721991	NA	1	0.92612070567909	NA	1	0.7120349084590687	NA	1	0.7833968408657425	NA	1	expression_driven	500	DLPFC	CellCharter	Anticor
DLPFC	anticor	500	scvi	0.8218280912228026	NA	1	0.743341178852955	NA	1	0.7825846350378789	NA	1	0.4738161190531122	NA	1	0.6949550410596503	NA	1	0.5843855800563813	NA	1	0.8049932144099496	NA	1	0.6834851075471301	NA	1	0.7239878098347367	NA	1	expression_driven	500	DLPFC	scVI	Anticor
DLPFC	anticor	5000	cellcharter	0.5202156440485838	NA	1	0.9019734618591484	NA	1	0.7110945529538661	NA	1	0.7395763174891271	NA	1	0.5522434970853736	NA	1	0.6459099072872503	NA	1	0.9009749864574388	NA	1	0.6785022301205582	NA	1	0.7526598155661851	NA	1	expression_driven	5000	DLPFC	CellCharter	Anticor
DLPFC	anticor	5000	scvi	0.6570189562860843	NA	1	0.7004295518143242	NA	1	0.6787242540502043	NA	1	0.47914591734154294	NA	1	0.6942869000229173	NA	1	0.5867164086822301	NA	1	0.7654425657446102	NA	1	0.6327203313662172	NA	1	0.6769610761590149	NA	1	expression_driven	5000	DLPFC	scVI	Anticor
DLPFC	dubstepr	100	cellcharter	0.652229058084169	NA	1	0.8363434759538302	NA	1	0.7442862670189996	NA	1	0.6894420399077568	NA	1	0.6506600631865394	NA	1	0.6700510515471481	NA	1	0.8539681193909683	NA	1	0.7071686592830738	NA	1	0.7561018126523719	NA	1	expression_driven	100	DLPFC	CellCharter	DUBStepR
DLPFC	dubstepr	100	scvi	0.8485295755160386	NA	1	0.6579958477964423	NA	1	0.7532627116562405	NA	1	0.4132122890892152	NA	1	0.5852597535983879	NA	1	0.4992360213438015	NA	1	0.7633139741140241	NA	1	0.626249366500021	NA	1	0.6719375690380222	NA	1	expression_driven	100	DLPFC	scVI	DUBStepR
DLPFC	dubstepr	1000	cellcharter	0.5788171004364548	NA	1	0.943995599588836	NA	1	0.7614063500126454	NA	1	0.7062465926827063	NA	1	0.721022778707546	NA	1	0.7136346856951261	NA	1	0.9295483313840472	NA	1	0.7375205178538857	NA	1	0.8015297890306062	NA	1	expression_driven	1000	DLPFC	CellCharter	DUBStepR
