fs_method	Context	Label	MarkerOverlap	MarkerOverlapSD	NSeeds
random	Epithelial	Merkel Cell	0.02666666666666667	NA	3
random	Epithelial	Progenitor Cell	0.02333333333333333	NA	3
random	Epithelial	Stem Cell	0.02666666666666667	NA	3
random	Full	Keratinocyte	0.02	NA	3
random	Full	Langerhans Cell	0.016666666666666666	NA	3
random	Full	Merkel Cell	0.02666666666666667	NA	3
random	Full	Progenitor Cell	0.02333333333333333	NA	3
random	Full	Stem Cell	0.02666666666666667	NA	3
random	Full	T Cell	0.04	NA	3
random	Immune	Langerhans Cell	0.016666666666666666	NA	3
random	Immune	T Cell	0.04	NA	3
scPNMF	Epithelial	Keratinocyte	0.66	NA	3
scPNMF	Epithelial	Merkel Cell	0.74	NA	3
scPNMF	Epithelial	Progenitor Cell	0.9033333333333333	NA	3
scPNMF	Epithelial	Stem Cell	0.7166666666666667	NA	3
scPNMF	Full	Keratinocyte	0.5033333333333333	NA	3
scPNMF	Full	Langerhans Cell	0.9633333333333334	NA	3
scPNMF	Full	Merkel Cell	0.8466666666666667	NA	3
scPNMF	Full	Progenitor Cell	0.9433333333333332	NA	3
scPNMF	Full	Stem Cell	0.5666666666666667	NA	3
scPNMF	Full	T Cell	0.2633333333333333	NA	3
scPNMF	Immune	Langerhans Cell	0.99	NA	3
scPNMF	Immune	T Cell	0.7	NA	3
scanpy_cell_ranger	Epithelial	Keratinocyte	0.12	NA	1
scanpy_cell_ranger	Epithelial	Merkel Cell	0.73	NA	1
scanpy_cell_ranger	Epithelial	Progenitor Cell	0.77	NA	1
scanpy_cell_ranger	Epithelial	Stem Cell	0.26	NA	1
scanpy_cell_ranger	Full	Keratinocyte	0.11	NA	1
scanpy_cell_ranger	Full	Langerhans Cell	0.52	NA	1
scanpy_cell_ranger	Full	Merkel Cell	0.69	NA	1
scanpy_cell_ranger	Full	Progenitor Cell	0.71	NA	1
scanpy_cell_ranger	Full	Stem Cell	0.2	NA	1
scanpy_cell_ranger	Full	T Cell	0.18	NA	1
scanpy_cell_ranger	Immune	Langerhans Cell	0.14	NA	1
scanpy_cell_ranger	Immune	T Cell	0.12	NA	1
scanpy_cell_ranger_batch	Epithelial	Keratinocyte	0.07	NA	1
scanpy_cell_ranger_batch	Epithelial	Merkel Cell	0.66	NA	1
