method	group	context	lineage	MeanProp	SDProp	NSeeds	Context	Lineage	Method
random	control	Epithelial	Epithelial	NA	NA	3	Epithelial	Epithelial	Random (N=500)
random	control	Epithelial	Immune	NA	NA	3	Epithelial	Immune	Random (N=500)
random	control	Full	Epithelial	NA	NA	3	Full	Epithelial	Random (N=500)
random	control	Full	Immune	NA	NA	3	Full	Immune	Random (N=500)
random	control	Immune	Epithelial	NA	NA	3	Immune	Epithelial	Random (N=500)
random	control	Immune	Immune	NA	NA	3	Immune	Immune	Random (N=500)
scPNMF	expression	Epithelial	Epithelial	0.755	0.14473130145985574	3	Epithelial	Epithelial	scPNMF (N=2,000)
scPNMF	expression	Epithelial	Immune	0.6866666666666666	0.22666666666666666	3	Epithelial	Immune	scPNMF (N=2,000)
scPNMF	expression	Full	Epithelial	0.715	0.18816435610863205	3	Full	Epithelial	scPNMF (N=2,000)
scPNMF	expression	Full	Immune	0.6133333333333333	0.35	3	Full	Immune	scPNMF (N=2,000)
scPNMF	expression	Immune	Epithelial	0.83	0.10977249200050077	3	Immune	Epithelial	scPNMF (N=2,000)
scPNMF	expression	Immune	Immune	0.845	0.14500000000000002	3	Immune	Immune	scPNMF (N=2,000)
scanpy_cell_ranger	expression	Epithelial	Epithelial	0.47	0.2846928169097352	1	Epithelial	Epithelial	Scanpy Cell Ranger (N=2,000)
scanpy_cell_ranger	expression	Epithelial	Immune	0.415	0.195	1	Epithelial	Immune	Scanpy Cell Ranger (N=2,000)
scanpy_cell_ranger	expression	Full	Epithelial	0.4275	0.2744426169529798	1	Full	Epithelial	Scanpy Cell Ranger (N=2,000)
scanpy_cell_ranger	expression	Full	Immune	0.35	0.17	1	Full	Immune	Scanpy Cell Ranger (N=2,000)
scanpy_cell_ranger	expression	Immune	Epithelial	0.29000000000000004	0.19235384061671343	1	Immune	Epithelial	Scanpy Cell Ranger (N=2,000)
scanpy_cell_ranger	expression	Immune	Immune	0.13	0.01	1	Immune	Immune	Scanpy Cell Ranger (N=2,000)
scanpy_cell_ranger_batch	expression	Epithelial	Epithelial	0.3975	0.3043332876962361	1	Epithelial	Epithelial	Scanpy Cell Ranger, batch (N=2,000)
scanpy_cell_ranger_batch	expression	Epithelial	Immune	0.36	0.21999999999999997	1	Epithelial	Immune	Scanpy Cell Ranger, batch (N=2,000)
scanpy_cell_ranger_batch	expression	Full	Epithelial	0.37249999999999994	0.2894283158227612	1	Full	Epithelial	Scanpy Cell Ranger, batch (N=2,000)
scanpy_cell_ranger_batch	expression	Full	Immune	0.32	0.2	1	Full	Immune	Scanpy Cell Ranger, batch (N=2,000)
scanpy_cell_ranger_batch	expression	Immune	Epithelial	0.32499999999999996	0.13720422734012244	1	Immune	Epithelial	Scanpy Cell Ranger, batch (N=2,000)
scanpy_cell_ranger_batch	expression	Immune	Immune	0.28500000000000003	0.01499999999999998	1	Immune	Immune	Scanpy Cell Ranger, batch (N=2,000)
scanpy_pearson	expression	Epithelial	Epithelial	0.7375	0.2072890493972125	1	Epithelial	Epithelial	Scanpy Pearson (N=2,000)
scanpy_pearson	expression	Epithelial	Immune	0.65	0.31	1	Epithelial	Immune	Scanpy Pearson (N=2,000)
scanpy_pearson	expression	Full	Epithelial	0.6950000000000001	0.21846052274953476	1	Full	Epithelial	Scanpy Pearson (N=2,000)
scanpy_pearson	expression	Full	Immune	0.63	0.35	1	Full	Immune	Scanpy Pearson (N=2,000)
scanpy_pearson	expression	Immune	Epithelial	0.525	0.30442568879777543	1	Immune	Epithelial	Scanpy Pearson (N=2,000)
scanpy_pearson	expression	Immune	Immune	0.5549999999999999	0.425	1	Immune	Immune	Scanpy Pearson (N=2,000)
scanpy_pearson_batch	expression	Epithelial	Epithelial	0.7250000000000001	0.19422924599555033	1	Epithelial	Epithelial	Scanpy Pearson, batch (N=2,000)
scanpy_pearson_batch	expression	Epithelial	Immune	0.63	0.35	1	Epithelial	Immune	Scanpy Pearson, batch (N=2,000)
scanpy_pearson_batch	expression	Full	Epithelial	0.73	0.168967452487158	1	Full	Epithelial	Scanpy Pearson, batch (N=2,000)
scanpy_pearson_batch	expression	Full	Immune	0.625	0.33499999999999996	1	Full	Immune	Scanpy Pearson, batch (N=2,000)
scanpy_pearson_batch	expression	Immune	Epithelial	0.7374999999999999	0.14184057952504284	1	Immune	Epithelial	Scanpy Pearson, batch (N=2,000)
scanpy_pearson_batch	expression	Immune	Immune	0.685	0.305	1	Immune	Immune	Scanpy Pearson, batch (N=2,000)
scanpy_seurat	expression	Epithelial	Epithelial	0.395	0.27244265451650557	1	Epithelial	Epithelial	Scanpy Seurat (N=2,000)
scanpy_seurat	expression	Epithelial	Immune	0.32	0.26999999999999996	1	Epithelial	Immune	Scanpy Seurat (N=2,000)
scanpy_seurat	expression	Full	Epithelial	0.3325	0.21182244923520263	1	Full	Epithelial	Scanpy Seurat (N=2,000)
scanpy_seurat	expression	Full	Immune	0.245	0.175	1	Full	Immune	Scanpy Seurat (N=2,000)
scanpy_seurat	expression	Immune	Epithelial	0.2875	0.09984362773857929	1	Immune	Epithelial	Scanpy Seurat (N=2,000)
scanpy_seurat	expression	Immune	Immune	0.255	0.03499999999999999	1	Immune	Immune	Scanpy Seurat (N=2,000)
scanpy_seurat_batch	expression	Epithelial	Epithelial	0.4325	0.3001978514246896	1	Epithelial	Epithelial	Scanpy Seurat, batch (N=2,000)
scanpy_seurat_batch	expression	Epithelial	Immune	0.42	0.36	1	Epithelial	Immune	Scanpy Seurat, batch (N=2,000)
scanpy_seurat_batch	expression	Full	Epithelial	0.4375	0.2606122598804592	1	Full	Epithelial	Scanpy Seurat, batch (N=2,000)
scanpy_seurat_batch	expression	Full	Immune	0.41	0.33	1	Full	Immune	Scanpy Seurat, batch (N=2,000)
scanpy_seurat_batch	expression	Immune	Epithelial	0.3325	0.17354754391808605	1	Immune	Epithelial	Scanpy Seurat, batch (N=2,000)
scanpy_seurat_batch	expression	Immune	Immune	0.36	0.18000000000000002	1	Immune	Immune	Scanpy Seurat, batch (N=2,000)
scanpy_seurat_v3	expression	Epithelial	Epithelial	0.5275	0.16946607330082325	1	Epithelial	Epithelial	Scanpy Seurat v3 (N=2,000)
scanpy_seurat_v3	expression	Epithelial	Immune	0.365	0.125	1	Epithelial	Immune	Scanpy Seurat v3 (N=2,000)
scanpy_seurat_v3	expression	Full	Epithelial	0.5775	0.26451606756490237	1	Full	Epithelial	Scanpy Seurat v3 (N=2,000)
scanpy_seurat_v3	expression	Full	Immune	0.37	0.20999999999999996	1	Full	Immune	Scanpy Seurat v3 (N=2,000)
scanpy_seurat_v3	expression	Immune	Epithelial	0.5424999999999999	0.3310117067416196	1	Immune	Epithelial	Scanpy Seurat v3 (N=2,000)
scanpy_seurat_v3	expression	Immune	Immune	0.4300000000000001	0.38000000000000006	1	Immune	Immune	Scanpy Seurat v3 (N=2,000)
scanpy_seurat_v3_batch	expression	Epithelial	Epithelial	0.51	0.1471393896956216	1	Epithelial	Epithelial	Scanpy Seurat v3, batch (N=2,000)
scanpy_seurat_v3_batch	expression	Epithelial	Immune	0.33	0.1	1	Epithelial	Immune	Scanpy Seurat v3, batch (N=2,000)
scanpy_seurat_v3_batch	expression	Full	Epithelial	0.5575	0.18859679212542296	1	Full	Epithelial	Scanpy Seurat v3, batch (N=2,000)
scanpy_seurat_v3_batch	expression	Full	Immune	0.365	0.095	1	Full	Immune	Scanpy Seurat v3, batch (N=2,000)
scanpy_seurat_v3_batch	expression	Immune	Epithelial	0.3675000000000001	0.11233320969330488	1	Immune	Epithelial	Scanpy Seurat v3, batch (N=2,000)
scanpy_seurat_v3_batch	expression	Immune	Immune	0.33999999999999997	0.05000000000000002	1	Immune	Immune	Scanpy Seurat v3, batch (N=2,000)
scry	expression	Epithelial	Epithelial	0.935	0.06837397165588671	1	Epithelial	Epithelial	scry (N=2,000)
scry	expression	Epithelial	Immune	0.885	0.07499999999999996	1	Epithelial	Immune	scry (N=2,000)
scry	expression	Full	Epithelial	0.9375	0.07758060324591448	1	Full	Epithelial	scry (N=2,000)
scry	expression	Full	Immune	0.865	0.135	1	Full	Immune	scry (N=2,000)
scry	expression	Immune	Epithelial	0.85	0.1298075498574717	1	Immune	Epithelial	scry (N=2,000)
scry	expression	Immune	Immune	0.8300000000000001	0.16999999999999998	1	Immune	Immune	scry (N=2,000)
scsegindex	control	Epithelial	Epithelial	0	0	1	Epithelial	Epithelial	scSEGIndex (N=500)
scsegindex	control	Epithelial	Immune	0.005	0.005	1	Epithelial	Immune	scSEGIndex (N=500)
scsegindex	control	Full	Epithelial	0	0	1	Full	Epithelial	scSEGIndex (N=500)
scsegindex	control	Full	Immune	0.01	0.01	1	Full	Immune	scSEGIndex (N=500)
scsegindex	control	Immune	Epithelial	0.3425	0.18552290963651905	1	Immune	Epithelial	scSEGIndex (N=500)
scsegindex	control	Immune	Immune	0.465	0.305	1	Immune	Immune	scSEGIndex (N=500)
seurat_disp	expression	Epithelial	Epithelial	0.565	0.26509432283623124	1	Epithelial	Epithelial	Seurat Dispersion (N=2,000)
seurat_disp	expression	Epithelial	Immune	0.54	0.39	1	Epithelial	Immune	Seurat Dispersion (N=2,000)
seurat_disp	expression	Full	Epithelial	0.5625	0.278960122598195	1	Full	Epithelial	Seurat Dispersion (N=2,000)
seurat_disp	expression	Full	Immune	0.535	0.425	1	Full	Immune	Seurat Dispersion (N=2,000)
seurat_disp	expression	Immune	Epithelial	0.4600000000000001	0.1601561737804697	1	Immune	Epithelial	Seurat Dispersion (N=2,000)
seurat_disp	expression	Immune	Immune	0.5549999999999999	0.305	1	Immune	Immune	Seurat Dispersion (N=2,000)
seurat_mvp	expression	Epithelial	Epithelial	0.3975	0.2759868656295078	1	Epithelial	Epithelial	Seurat MVP (N=2,000)
seurat_mvp	expression	Epithelial	Immune	0.31999999999999995	0.26	1	Epithelial	Immune	Seurat MVP (N=2,000)
seurat_mvp	expression	Full	Epithelial	0.2925	0.17612140698961043	1	Full	Epithelial	Seurat MVP (N=2,000)
seurat_mvp	expression	Full	Immune	0.195	0.14500000000000002	1	Full	Immune	Seurat MVP (N=2,000)
seurat_mvp	expression	Immune	Epithelial	0.25250000000000006	0.12336429791475328	1	Immune	Epithelial	Seurat MVP (N=2,000)
seurat_mvp	expression	Immune	Immune	0.235	0.02500000000000001	1	Immune	Immune	Seurat MVP (N=2,000)
seurat_sct	expression	Epithelial	Epithelial	0.7824999999999999	0.15839605183846364	3	Epithelial	Epithelial	Seurat sctransform (N=2,000)
seurat_sct	expression	Epithelial	Immune	0.7383333333333334	0.18833333333333332	3	Epithelial	Immune	Seurat sctransform (N=2,000)
seurat_sct	expression	Full	Epithelial	0.8016666666666666	0.14190591240338313	3	Full	Epithelial	Seurat sctransform (N=2,000)
seurat_sct	expression	Full	Immune	0.7416666666666667	0.19499999999999998	3	Full	Immune	Seurat sctransform (N=2,000)
seurat_sct	expression	Immune	Epithelial	0.7124999999999999	0.1787980704593872	3	Immune	Epithelial	Seurat sctransform (N=2,000)
seurat_sct	expression	Immune	Immune	0.685	0.245	3	Immune	Immune	Seurat sctransform (N=2,000)
seurat_vst	expression	Epithelial	Epithelial	0.5275	0.16946607330082325	1	Epithelial	Epithelial	Seurat VST (N=2,000)
seurat_vst	expression	Epithelial	Immune	0.365	0.125	1	Epithelial	Immune	Seurat VST (N=2,000)
seurat_vst	expression	Full	Epithelial	0.5775	0.26451606756490237	1	Full	Epithelial	Seurat VST (N=2,000)
seurat_vst	expression	Full	Immune	0.37	0.20999999999999996	1	Full	Immune	Seurat VST (N=2,000)
seurat_vst	expression	Immune	Epithelial	0.5424999999999999	0.3310117067416196	1	Immune	Epithelial	Seurat VST (N=2,000)
seurat_vst	expression	Immune	Immune	0.4300000000000001	0.38000000000000006	1	Immune	Immune	Seurat VST (N=2,000)
singleCellHaystack	expression	Epithelial	Epithelial	0.55	0.30389142798045493	3	Epithelial	Epithelial	singleCellHaystack (N=2,000)
singleCellHaystack	expression	Epithelial	Immune	0.4	0.25	3	Epithelial	Immune	singleCellHaystack (N=2,000)
singleCellHaystack	expression	Full	Epithelial	0.34	0.20874292283220827	3	Full	Epithelial	singleCellHaystack (N=2,000)
singleCellHaystack	expression	Full	Immune	0.28	0.24333333333333332	3	Full	Immune	singleCellHaystack (N=2,000)
singleCellHaystack	expression	Immune	Epithelial	0.115	0.01118033988749894	3	Immune	Epithelial	singleCellHaystack (N=2,000)
singleCellHaystack	expression	Immune	Immune	0.1	0.06	3	Immune	Immune	singleCellHaystack (N=2,000)
somde	spatial	Epithelial	Epithelial	0.4375	0.10059199769365353	1	Epithelial	Epithelial	SOMDE (N=2,000)
somde	spatial	Epithelial	Immune	0.425	0.005	1	Epithelial	Immune	SOMDE (N=2,000)
somde	spatial	Full	Epithelial	0.7224999999999999	0.06759252917297888	1	Full	Epithelial	SOMDE (N=2,000)
somde	spatial	Full	Immune	0.675	0.135	1	Full	Immune	SOMDE (N=2,000)
somde	spatial	Immune	Epithelial	0.3925	0.05356071321407137	1	Immune	Epithelial	SOMDE (N=2,000)
somde	spatial	Immune	Immune	0.4	0.13	1	Immune	Immune	SOMDE (N=2,000)
sparkx	spatial	Epithelial	Epithelial	0.5375000000000001	0.3511676949834651	1	Epithelial	Epithelial	SPARK-X (N=2,000)
sparkx	spatial	Epithelial	Immune	0.545	0.205	1	Epithelial	Immune	SPARK-X (N=2,000)
sparkx	spatial	Full	Epithelial	0.5275000000000001	0.3573776014245996	1	Full	Epithelial	SPARK-X (N=2,000)
sparkx	spatial	Full	Immune	0.54	0.26	1	Full	Immune	SPARK-X (N=2,000)
sparkx	spatial	Immune	Epithelial	0.625	0.22466641938660972	1	Immune	Epithelial	SPARK-X (N=2,000)
sparkx	spatial	Immune	Immune	0.635	0.10499999999999998	1	Immune	Immune	SPARK-X (N=2,000)
spatialde	spatial	Epithelial	Epithelial	0.8358333333333333	0.12682734144496732	3	Epithelial	Epithelial	SpatialDE (N=2,000)
spatialde	spatial	Epithelial	Immune	0.8716666666666667	0.011666666666666672	3	Epithelial	Immune	SpatialDE (N=2,000)
spatialde	spatial	Full	Epithelial	0.8341666666666667	0.11765117750429804	3	Full	Epithelial	SpatialDE (N=2,000)
spatialde	spatial	Full	Immune	0.9016666666666667	0.015000000000000006	3	Full	Immune	SpatialDE (N=2,000)
spatialde	spatial	Immune	Epithelial	0.6900000000000001	0.09669539802906855	3	Immune	Epithelial	SpatialDE (N=2,000)
spatialde	spatial	Immune	Immune	0.6799999999999999	0.26	3	Immune	Immune	SpatialDE (N=2,000)
statistic_mean	expression	Epithelial	Epithelial	0.825	0.16575584454250775	1	Epithelial	Epithelial	Mean expression (N=2,000)
statistic_mean	expression	Epithelial	Immune	0.8	0.09000000000000002	1	Epithelial	Immune	Mean expression (N=2,000)
statistic_mean	expression	Full	Epithelial	0.8375	0.16021469970012117	1	Full	Epithelial	Mean expression (N=2,000)
statistic_mean	expression	Full	Immune	0.81	0.14999999999999997	1	Full	Immune	Mean expression (N=2,000)
statistic_mean	expression	Immune	Epithelial	0.8074999999999999	0.1327356395245829	1	Immune	Epithelial	Mean expression (N=2,000)
statistic_mean	expression	Immune	Immune	0.77	0.23	1	Immune	Immune	Mean expression (N=2,000)
statistic_variance	expression	Epithelial	Epithelial	0.88	0.12629330940315087	1	Epithelial	Epithelial	Expression variance (N=2,000)
statistic_variance	expression	Epithelial	Immune	0.82	0.13	1	Epithelial	Immune	Expression variance (N=2,000)
statistic_variance	expression	Full	Epithelial	0.8825000000000001	0.13589977924926883	1	Full	Epithelial	Expression variance (N=2,000)
statistic_variance	expression	Full	Immune	0.8200000000000001	0.18	1	Full	Immune	Expression variance (N=2,000)
