RowMetric	RowType	ColMetric	ColType	CorrSD	Corr
bASW	Integration	bASW	Integration	0	0.9999999999999998
bASW	Integration	dASW	Integration	0.8432740427115677	0.5999999999999999
bASW	Integration	iLISI	Integration	0.7262730392025628	0.7142857142857141
bASW	Integration	dLISI	Integration	0	-0.9999999999999998
bASW	Integration	ILL	Integration	0.6324555320336757	-0.7999999999999998
bASW	Integration	GC	Integration	1.0327955589886444	0.19999999999999996
bASW	Integration	ARI	Clustering	0.9660917830792957	-0.3999999999999999
bASW	Integration	NMI	Clustering	1.0327955589886444	-0.19999999999999996
bASW	Integration	CHAOS	Clustering	0.5345224838248487	-0.857142857142857
bASW	Integration	PAS	Clustering	0.7262730392025628	-0.7142857142857141
bASW	Integration	Silhouette	Clustering	0.5345224838248487	-0.857142857142857
bASW	Integration	Accuracy	Alignment	0.9999999999999998	-0.4999999999999999
bASW	Integration	Ratio	Alignment	0.9999999999999998	0.4999999999999999
dASW	Integration	bASW	Integration	0.8432740427115677	0.5999999999999999
dASW	Integration	dASW	Integration	0	0.9999999999999998
dASW	Integration	iLISI	Integration	1.0327955589886444	0.19999999999999996
dASW	Integration	dLISI	Integration	0.8432740427115677	-0.5999999999999999
dASW	Integration	ILL	Integration	0.9660917830792957	-0.3999999999999999
dASW	Integration	GC	Integration	0.8432740427115677	0.5999999999999999
dASW	Integration	ARI	Clustering	0.6324555320336757	-0.7999999999999998
dASW	Integration	NMI	Clustering	0.8432740427115677	-0.5999999999999999
dASW	Integration	CHAOS	Clustering	0.9660917830792957	-0.3999999999999999
dASW	Integration	PAS	Clustering	1.0327955589886444	-0.19999999999999996
dASW	Integration	Silhouette	Clustering	0.9660917830792957	-0.3999999999999999
dASW	Integration	Accuracy	Alignment	1.1547005383792512	0
dASW	Integration	Ratio	Alignment	1.1547005383792512	0
iLISI	Integration	bASW	Integration	0.7262730392025628	0.7142857142857141
iLISI	Integration	dASW	Integration	1.0327955589886444	0.19999999999999996
iLISI	Integration	iLISI	Integration	0	0.9999999999999998
iLISI	Integration	dLISI	Integration	0.8432740427115677	-0.5999999999999999
iLISI	Integration	ILL	Integration	0.6324555320336757	-0.7999999999999998
iLISI	Integration	GC	Integration	1.0327955589886444	-0.19999999999999996
iLISI	Integration	ARI	Clustering	0.9660917830792957	-0.3999999999999999
iLISI	Integration	NMI	Clustering	0.8432740427115677	-0.5999999999999999
iLISI	Integration	CHAOS	Clustering	0.5345224838248487	-0.857142857142857
iLISI	Integration	PAS	Clustering	0	-0.9999999999999998
iLISI	Integration	Silhouette	Clustering	0.8516306272526399	-0.5714285714285713
iLISI	Integration	Accuracy	Alignment	1.1547005383792512	0
iLISI	Integration	Ratio	Alignment	0	0.9999999999999998
dLISI	Integration	bASW	Integration	0	-0.9999999999999998
dLISI	Integration	dASW	Integration	0.8432740427115677	-0.5999999999999999
dLISI	Integration	iLISI	Integration	0.8432740427115677	-0.5999999999999999
dLISI	Integration	dLISI	Integration	0	0.9999999999999998
dLISI	Integration	ILL	Integration	0.6324555320336757	0.7999999999999998
dLISI	Integration	GC	Integration	1.0327955589886444	-0.19999999999999996
dLISI	Integration	ARI	Clustering	0.9660917830792957	0.3999999999999999
dLISI	Integration	NMI	Clustering	1.0327955589886444	0.19999999999999996
dLISI	Integration	CHAOS	Clustering	0.6324555320336757	0.7999999999999998
dLISI	Integration	PAS	Clustering	0.8432740427115677	0.5999999999999999
dLISI	Integration	Silhouette	Clustering	0.6324555320336757	0.7999999999999998
dLISI	Integration	Accuracy	Alignment	0.9999999999999998	0.4999999999999999
dLISI	Integration	Ratio	Alignment	0.9999999999999998	-0.4999999999999999
ILL	Integration	bASW	Integration	0.6324555320336757	-0.7999999999999998
ILL	Integration	dASW	Integration	0.9660917830792957	-0.3999999999999999
ILL	Integration	iLISI	Integration	0.6324555320336757	-0.7999999999999998
ILL	Integration	dLISI	Integration	0.6324555320336757	0.7999999999999998
ILL	Integration	ILL	Integration	0	0.9999999999999998
ILL	Integration	GC	Integration	1.0540925533894596	0
ILL	Integration	ARI	Clustering	1.0327955589886444	0.19999999999999996
ILL	Integration	NMI	Clustering	0.9660917830792957	0.3999999999999999
ILL	Integration	CHAOS	Clustering	0.8432740427115677	0.5999999999999999
ILL	Integration	PAS	Clustering	0.6324555320336757	0.7999999999999998
