prevalence	seed	method	summary	stratum	cutoff	metric	value	runtime_seconds	Prevalence	Method
0.05	1	scanpy_cell_ranger_batch	overall	all_svg	NA	AUPRC	0.7677239619821608	0.1787365740165114	5% SVGs	scanpy-CellRanger (batch)
0.05	1	scanpy_pearson	overall	all_svg	NA	AUPRC	0.7190886306579272	1.7756603388115764	5% SVGs	scanpy-Pearson
0.05	1	scanpy_pearson_batch	overall	all_svg	NA	AUPRC	0.7064380358467076	0.0894049769267439	5% SVGs	scanpy-Pearson (batch)
0.05	1	scanpy_seurat	overall	all_svg	NA	AUPRC	0.7329167603048119	0.1926368847489357	5% SVGs	scanpy-Seurat
0.05	1	scanpy_seurat_batch	overall	all_svg	NA	AUPRC	0.7754195678427532	0.1383560532703995	5% SVGs	scanpy-Seurat (batch)
0.05	1	scanpy_seurat_v3	overall	all_svg	NA	AUPRC	0.8571414596700854	0.0733324121683836	5% SVGs	scanpy-SeuratV3
0.05	1	scanpy_seurat_v3_batch	overall	all_svg	NA	AUPRC	0.8371161525138622	0.0630144262686371	5% SVGs	scanpy-SeuratV3 (batch)
0.05	1	scry	overall	all_svg	NA	AUPRC	0.046978985534651	9.687048606574535	5% SVGs	scry
0.05	1	scsegindex	overall	all_svg	NA	AUPRC	0.0417569223248204	52.41223004460335	5% SVGs	scSEGIndex
0.05	1	seurat_disp	overall	all_svg	NA	AUPRC	0.6807945392959488	10.315306250937285	5% SVGs	Seurat-Dispersion
0.05	1	seurat_mvp	overall	all_svg	NA	AUPRC	0.702110212716951	10.634428396821022	5% SVGs	Seurat-MVP
0.05	1	seurat_sct	overall	all_svg	NA	AUPRC	0.7970481711313314	51.08661491982639	5% SVGs	Seurat-scTransform
0.05	1	seurat_vst	overall	all_svg	NA	AUPRC	0.8571414596700854	10.982374528422952	5% SVGs	Seurat-VST
0.05	1	singleCellHaystack	overall	all_svg	NA	AUPRC	0.0511765205685896	16.349600800313056	5% SVGs	singleCellHaystack
0.05	1	somde	overall	all_svg	NA	AUPRC	0.4525852808602515	213.14443805161864	5% SVGs	SOMDE
0.05	1	sparkx	overall	all_svg	NA	AUPRC	0.9393192067408364	15.427724860608578	5% SVGs	SPARK-X
0.05	1	spatialde	overall	all_svg	NA	AUPRC	0.9617985944481002	173.49603708647192	5% SVGs	SpatialDE
0.05	1	statistic_mean	overall	all_svg	NA	AUPRC	0.0603569469650094	0.0313742132857441	5% SVGs	Statistic mean
0.05	1	statistic_variance	overall	all_svg	NA	AUPRC	0.6480812705822023	0.039466599933803	5% SVGs	Statistic variance
0.05	1	triku	overall	all_svg	NA	AUPRC	0.8425016155168962	13.254458285868168	5% SVGs	triku
0.05	1	wilcoxon	overall	all_svg	NA	AUPRC	0.6443051375023374	0.5847089365124702	5% SVGs	Wilcoxon (label-informed)
0.05	2	Brennecke	overall	all_svg	NA	AUPRC	0.8323215097864374	8.830055803060532	5% SVGs	Brennecke
0.05	2	all_features	overall	all_svg	NA	AUPRC	0.05	5.546016618609e-4	5% SVGs	All features
0.05	2	anticor	overall	all_svg	NA	AUPRC	0.975572269119918	6.045271352864802	5% SVGs	Anticor
0.05	2	dubstepr	overall	all_svg	NA	AUPRC	0.9172263264981264	23.757679680362344	5% SVGs	DUBStepR
0.05	2	hotspot	overall	all_svg	NA	AUPRC	0.9900097615447933	20.704854105599225	5% SVGs	Hotspot
0.05	2	morans_i	overall	all_svg	NA	AUPRC	0.951212787017794	0.0373742813244462	5% SVGs	Moran's I
0.05	2	nbumi	overall	all_svg	NA	AUPRC	0.7993943876073228	12.430026547983289	5% SVGs	NBumi
0.05	2	nnsvg	overall	all_svg	NA	AUPRC	0.940045904165648	1396.4430346703157	5% SVGs	nnSVG
0.05	2	osca	overall	all_svg	NA	AUPRC	0.7824049863087796	9.119571754708886	5% SVGs	OSCA
0.05	2	random	overall	all_svg	NA	AUPRC	0.0508059248481785	6.588902324438e-4	5% SVGs	Random
0.05	2	scPNMF	overall	all_svg	NA	AUPRC	0.0444634278096308	72.91516581643373	5% SVGs	scPNMF
0.05	2	scanpy_cell_ranger	overall	all_svg	NA	AUPRC	0.7947754389534993	0.2164927748963236	5% SVGs	scanpy-CellRanger
0.05	2	scanpy_cell_ranger_batch	overall	all_svg	NA	AUPRC	0.8027639278680879	0.1625864524394273	5% SVGs	scanpy-CellRanger (batch)
0.05	2	scanpy_pearson	overall	all_svg	NA	AUPRC	0.6767154798561468	1.7987228389829395	5% SVGs	scanpy-Pearson
0.05	2	scanpy_pearson_batch	overall	all_svg	NA	AUPRC	0.6611691303594075	0.0861234236508607	5% SVGs	scanpy-Pearson (batch)
0.05	2	scanpy_seurat	overall	all_svg	NA	AUPRC	0.754818519048537	0.2331464327871799	5% SVGs	scanpy-Seurat
0.05	2	scanpy_seurat_batch	overall	all_svg	NA	AUPRC	0.7950389591309497	0.1360595403239131	5% SVGs	scanpy-Seurat (batch)
0.05	2	scanpy_seurat_v3	overall	all_svg	NA	AUPRC	0.8388259516204867	0.061039381660521	5% SVGs	scanpy-SeuratV3
0.05	2	scanpy_seurat_v3_batch	overall	all_svg	NA	AUPRC	0.7966243145378101	0.0566692063584923	5% SVGs	scanpy-SeuratV3 (batch)
0.05	2	scry	overall	all_svg	NA	AUPRC	0.0458187932312969	9.930594651959836	5% SVGs	scry
0.05	2	scsegindex	overall	all_svg	NA	AUPRC	0.033015695786065	53.51965602766722	5% SVGs	scSEGIndex
0.05	2	seurat_disp	overall	all_svg	NA	AUPRC	0.6324182004738099	10.159592660143971	5% SVGs	Seurat-Dispersion
0.05	2	seurat_mvp	overall	all_svg	NA	AUPRC	0.7064913361581956	10.421315361745656	5% SVGs	Seurat-MVP
0.05	2	seurat_sct	overall	all_svg	NA	AUPRC	0.7549629964363588	51.15663447789848	5% SVGs	Seurat-scTransform
0.05	2	seurat_vst	overall	all_svg	NA	AUPRC	0.8388246866730241	10.25047932099551	5% SVGs	Seurat-VST
0.05	2	singleCellHaystack	overall	all_svg	NA	AUPRC	0.0562941471263455	16.514811981469393	5% SVGs	singleCellHaystack
0.05	2	somde	overall	all_svg	NA	AUPRC	0.05	361.7344976235181	5% SVGs	SOMDE
0.05	2	sparkx	overall	all_svg	NA	AUPRC	0.9251884092249324	15.259375462308526	5% SVGs	SPARK-X
0.05	2	spatialde	overall	all_svg	NA	AUPRC	0.9579402356369467	197.35064263176173	5% SVGs	SpatialDE
0.05	2	statistic_mean	overall	all_svg	NA	AUPRC	0.0518993078465764	0.0312670497223734	5% SVGs	Statistic mean
0.05	2	statistic_variance	overall	all_svg	NA	AUPRC	0.6620437370573925	0.0382981207221746	5% SVGs	Statistic variance
0.05	2	triku	overall	all_svg	NA	AUPRC	0.8228406119610792	13.474321582354603	5% SVGs	triku
0.05	2	wilcoxon	overall	all_svg	NA	AUPRC	0.6183663200139861	0.6243174187839031	5% SVGs	Wilcoxon (label-informed)
0.15	0	Brennecke	overall	all_svg	NA	AUPRC	0.8894245228734188	8.629347867332399	15% SVGs	Brennecke
0.15	0	all_features	overall	all_svg	NA	AUPRC	0.15	5.523432046175e-4	15% SVGs	All features
0.15	0	anticor	overall	all_svg	NA	AUPRC	0.9905725202670173	4.968974173069	15% SVGs	Anticor
0.15	0	dubstepr	overall	all_svg	NA	AUPRC	0.8792630191792303	25.244418052956465	15% SVGs	DUBStepR
0.15	0	hotspot	overall	all_svg	NA	AUPRC	0.9925291753962346	19.41616928204894	15% SVGs	Hotspot
0.15	0	morans_i	overall	all_svg	NA	AUPRC	0.9698811339159356	0.0524384910240769	15% SVGs	Moran's I
0.15	0	nbumi	overall	all_svg	NA	AUPRC	0.8760859591032104	12.656310240738094	15% SVGs	NBumi
0.15	0	nnsvg	overall	all_svg	NA	AUPRC	0.959801043925595	1466.9613682357594	15% SVGs	nnSVG
0.15	0	osca	overall	all_svg	NA	AUPRC	0.8669890567274336	9.348741833120584	15% SVGs	OSCA
0.15	0	random	overall	all_svg	NA	AUPRC	0.1505081099575436	6.580464541912e-4	15% SVGs	Random
0.15	0	scPNMF	overall	all_svg	NA	AUPRC	0.1463453768357512	75.91761264298111	15% SVGs	scPNMF
0.15	0	scanpy_cell_ranger	overall	all_svg	NA	AUPRC	0.8546874931369618	0.2328583700582385	15% SVGs	scanpy-CellRanger
0.15	0	scanpy_cell_ranger_batch	overall	all_svg	NA	AUPRC	0.8696178962431409	0.1645022798329591	15% SVGs	scanpy-CellRanger (batch)
0.15	0	scanpy_pearson	overall	all_svg	NA	AUPRC	0.7991040382484055	1.771053190343082	15% SVGs	scanpy-Pearson
0.15	0	scanpy_pearson_batch	overall	all_svg	NA	AUPRC	0.7918198305393731	0.0963389975950121	15% SVGs	scanpy-Pearson (batch)
0.15	0	scanpy_seurat	overall	all_svg	NA	AUPRC	0.8260817503609971	0.2479307176545262	15% SVGs	scanpy-Seurat
0.15	0	scanpy_seurat_batch	overall	all_svg	NA	AUPRC	0.850017602610873	0.1265571266412735	15% SVGs	scanpy-Seurat (batch)
0.15	0	scanpy_seurat_v3	overall	all_svg	NA	AUPRC	0.8860904066788348	0.0647517526522278	15% SVGs	scanpy-SeuratV3
0.15	0	scanpy_seurat_v3_batch	overall	all_svg	NA	AUPRC	0.869701182361943	0.0564251607283949	15% SVGs	scanpy-SeuratV3 (batch)
0.15	0	scry	overall	all_svg	NA	AUPRC	0.1562933172567522	9.632450108416378	15% SVGs	scry
0.15	0	scsegindex	overall	all_svg	NA	AUPRC	0.1105845584252953	58.92204075027257	15% SVGs	scSEGIndex
0.15	0	seurat_disp	overall	all_svg	NA	AUPRC	0.7740990483516448	9.712083840742707	15% SVGs	Seurat-Dispersion
0.15	0	seurat_mvp	overall	all_svg	NA	AUPRC	0.6615194071785474	10.888146211393178	15% SVGs	Seurat-MVP
0.15	0	seurat_sct	overall	all_svg	NA	AUPRC	0.8349135406995098	50.146563997492194	15% SVGs	Seurat-scTransform
0.15	0	seurat_vst	overall	all_svg	NA	AUPRC	0.8860918543432575	10.752005847170947	15% SVGs	Seurat-VST
0.15	0	singleCellHaystack	overall	all_svg	NA	AUPRC	0.1770364416692061	16.34648342896253	15% SVGs	singleCellHaystack
0.15	0	somde	overall	all_svg	NA	AUPRC	0.6613567749423324	160.2510453592986	15% SVGs	SOMDE
0.15	0	sparkx	overall	all_svg	NA	AUPRC	0.9553743421218376	15.129406744614244	15% SVGs	SPARK-X
0.15	0	spatialde	overall	all_svg	NA	AUPRC	0.97972598205168	153.87416633218527	15% SVGs	SpatialDE
0.15	0	statistic_mean	overall	all_svg	NA	AUPRC	0.1607104517519068	0.026355059817433302	15% SVGs	Statistic mean
0.15	0	statistic_variance	overall	all_svg	NA	AUPRC	0.7474933867503057	0.0406888527795672	15% SVGs	Statistic variance
0.15	0	triku	overall	all_svg	NA	AUPRC	0.8967910920592599	12.401361882686617	15% SVGs	triku
0.15	0	wilcoxon	overall	all_svg	NA	AUPRC	0.7254207243087896	0.5997361596673727	15% SVGs	Wilcoxon (label-informed)
0.15	1	Brennecke	overall	all_svg	NA	AUPRC	0.9164476089021336	8.280104977078736	15% SVGs	Brennecke
0.15	1	all_features	overall	all_svg	NA	AUPRC	0.15	3.945734351873e-4	15% SVGs	All features
0.15	1	anticor	overall	all_svg	NA	AUPRC	0.9956653536426308	6.461231869645417	15% SVGs	Anticor
0.15	1	dubstepr	overall	all_svg	NA	AUPRC	0.8896360463154149	24.02077082637697	15% SVGs	DUBStepR
0.15	1	hotspot	overall	all_svg	NA	AUPRC	0.9976193244646788	20.95634933840483	15% SVGs	Hotspot
0.15	1	morans_i	overall	all_svg	NA	AUPRC	0.976363566122974	0.0361958378925919	15% SVGs	Moran's I
0.15	1	nbumi	overall	all_svg	NA	AUPRC	0.9016922076226856	11.086231278255582	15% SVGs	NBumi
0.15	1	nnsvg	overall	all_svg	NA	AUPRC	0.9716577552410924	1289.2319027520716	15% SVGs	nnSVG
0.15	1	osca	overall	all_svg	NA	AUPRC	0.8858601759679885	8.826469991356134	15% SVGs	OSCA
0.15	1	random	overall	all_svg	NA	AUPRC	0.1584719544743195	4.604030400514e-4	15% SVGs	Random
0.15	1	scPNMF	overall	all_svg	NA	AUPRC	0.1458315128144096	65.66145896539092	15% SVGs	scPNMF
0.15	1	scanpy_cell_ranger	overall	all_svg	NA	AUPRC	0.862778198641389	0.236347853206098	15% SVGs	scanpy-CellRanger
0.15	1	scanpy_cell_ranger_batch	overall	all_svg	NA	AUPRC	0.8731898722726865	0.1679583443328738	15% SVGs	scanpy-CellRanger (batch)
0.15	1	scanpy_pearson	overall	all_svg	NA	AUPRC	0.8214191096572607	1.7231979835778477	15% SVGs	scanpy-Pearson
0.15	1	scanpy_pearson_batch	overall	all_svg	NA	AUPRC	0.8093996270438893	0.0837702602148056	15% SVGs	scanpy-Pearson (batch)
0.15	1	scanpy_seurat	overall	all_svg	NA	AUPRC	0.8515171989250552	0.1786503782495856	15% SVGs	scanpy-Seurat
0.15	1	scanpy_seurat_batch	overall	all_svg	NA	AUPRC	0.8718510757199301	0.1287318086251616	15% SVGs	scanpy-Seurat (batch)
