dataset	heldout_slice	method	n_features	seed	evaluation_role	metric	value	runtime_seconds	Metric	Method
DLPFC	151673	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1117287381878821	1.27003528829664	Top-N Jaccard	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151673	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5173598173937103	1.27003528829664	Moran percentile	scanpy-SeuratV3 (batch) (N=2,000)
DLPFC	151673	scsegindex	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3527223537368955	930.7730006119236	Top-N Jaccard	scSEGIndex (N=2,000)
DLPFC	151673	scsegindex	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8574507055243014	930.7730006119236	Moran percentile	scSEGIndex (N=2,000)
DLPFC	151673	seurat_vst	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.2292562999385372	23.94848270714283	Top-N Jaccard	Seurat-VST (N=2,000)
DLPFC	151673	seurat_vst	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6305091303144886	23.94848270714283	Moran percentile	Seurat-VST (N=2,000)
DLPFC	151673	singleCellHaystack	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.513431706394249	69.56072771456093	Top-N Jaccard	singleCellHaystack (N=2,000)
DLPFC	151673	singleCellHaystack	2000	0	spatial_reproducibility	heldout_moran_percentile	0.9061984229456792	69.56072771456093	Moran percentile	singleCellHaystack (N=2,000)
DLPFC	151673	somde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4275517487508922	976.5415872503072	Top-N Jaccard	SOMDE (N=2,000)
DLPFC	151673	somde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8386273632758462	976.5415872503072	Moran percentile	SOMDE (N=2,000)
DLPFC	151673	sparkx	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4754703061600885	132.1619899366051	Top-N Jaccard	SPARK-X (N=2,000)
DLPFC	151673	sparkx	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8979123858710689	132.1619899366051	Moran percentile	SPARK-X (N=2,000)
DLPFC	151673	spatialde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3477088948787062	766.7298991819844	Top-N Jaccard	SpatialDE (N=2,000)
DLPFC	151673	spatialde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.7977982338836116	766.7298991819844	Moran percentile	SpatialDE (N=2,000)
DLPFC	151673	triku	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3101867016049787	63.54361620917916	Top-N Jaccard	triku (N=2,000)
DLPFC	151673	triku	2000	0	spatial_reproducibility	heldout_moran_percentile	0.7798062574933137	63.54361620917916	Moran percentile	triku (N=2,000)
DLPFC	151673	wilcoxon	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1235955056179775	165.85778702795506	Top-N Jaccard	Wilcoxon (label-informed) (N=2,000)
DLPFC	151673	wilcoxon	2000	0	spatial_reproducibility	heldout_moran_percentile	0.5512068846260261	165.85778702795506	Moran percentile	Wilcoxon (label-informed) (N=2,000)
MouseBrainSerialSections	section1	all_features	2000	0	spatial_reproducibility	heldout_topn_jaccard	NA	0.0016512079164385	Top-N Jaccard	All features
MouseBrainSerialSections	section1	all_features	2000	0	spatial_reproducibility	heldout_moran_percentile	NA	0.0016512079164385	Moran percentile	All features
MouseBrainSerialSections	section1	morans_i	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.8181818181818182	1.6627576211467383	Top-N Jaccard	Moran's I (N=2,000)
MouseBrainSerialSections	section1	morans_i	2000	0	spatial_reproducibility	heldout_moran_percentile	0.9448375299162346	1.6627576211467383	Moran percentile	Moran's I (N=2,000)
MouseBrainSerialSections	section1	nnsvg	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.7761989342806395	9523.509193881417	Top-N Jaccard	nnSVG (N=2,000)
MouseBrainSerialSections	section1	nnsvg	2000	0	spatial_reproducibility	heldout_moran_percentile	0.9442724870362984	9523.509193881417	Moran percentile	nnSVG (N=2,000)
MouseBrainSerialSections	section1	random	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.0512483574244415	0.0015059653669595	Top-N Jaccard	Random (N=2,000)
MouseBrainSerialSections	section1	random	2000	0	spatial_reproducibility	heldout_moran_percentile	0.492145816713203	0.0015059653669595	Moran percentile	Random (N=2,000)
MouseBrainSerialSections	section1	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.2795905310300703	1.026516777463257	Top-N Jaccard	scanpy-CellRanger (batch) (N=2,000)
MouseBrainSerialSections	section1	scanpy_cell_ranger_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.776944380733945	1.026516777463257	Moran percentile	scanpy-CellRanger (batch) (N=2,000)
MouseBrainSerialSections	section1	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4367816091954023	0.5832616463303566	Top-N Jaccard	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section1	scanpy_seurat_v3_batch	2000	0	spatial_reproducibility	heldout_moran_percentile	0.808431441962505	0.5832616463303566	Moran percentile	scanpy-SeuratV3 (batch) (N=2,000)
MouseBrainSerialSections	section1	scsegindex	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.0720986330742428	345.90391749329865	Top-N Jaccard	scSEGIndex (N=2,000)
MouseBrainSerialSections	section1	scsegindex	2000	0	spatial_reproducibility	heldout_moran_percentile	0.6064525329078579	345.90391749329865	Moran percentile	scSEGIndex (N=2,000)
MouseBrainSerialSections	section1	seurat_vst	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4367816091954023	20.548787213861942	Top-N Jaccard	Seurat-VST (N=2,000)
MouseBrainSerialSections	section1	seurat_vst	2000	0	spatial_reproducibility	heldout_moran_percentile	0.808505509573195	20.548787213861942	Moran percentile	Seurat-VST (N=2,000)
MouseBrainSerialSections	section1	singleCellHaystack	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4625228519195612	50.00462262891233	Top-N Jaccard	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section1	singleCellHaystack	2000	0	spatial_reproducibility	heldout_moran_percentile	0.9064203480255286	50.00462262891233	Moran percentile	singleCellHaystack (N=2,000)
MouseBrainSerialSections	section1	somde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.5521924718665114	269.45996464416385	Top-N Jaccard	SOMDE (N=2,000)
MouseBrainSerialSections	section1	somde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8931332768248903	269.45996464416385	Moran percentile	SOMDE (N=2,000)
MouseBrainSerialSections	section1	sparkx	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.4897579143389199	59.59254124294967	Top-N Jaccard	SPARK-X (N=2,000)
MouseBrainSerialSections	section1	sparkx	2000	0	spatial_reproducibility	heldout_moran_percentile	0.911639534303949	59.59254124294967	Moran percentile	SPARK-X (N=2,000)
MouseBrainSerialSections	section1	spatialde	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.5785319652722968	266.20023346785456	Top-N Jaccard	SpatialDE (N=2,000)
MouseBrainSerialSections	section1	spatialde	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8482743568009573	266.20023346785456	Moran percentile	SpatialDE (N=2,000)
MouseBrainSerialSections	section1	triku	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.3540961408259986	38.79895367473364	Top-N Jaccard	triku (N=2,000)
MouseBrainSerialSections	section1	triku	2000	0	spatial_reproducibility	heldout_moran_percentile	0.8317724870362984	38.79895367473364	Moran percentile	triku (N=2,000)
MouseBrainSerialSections	section1	wilcoxon	2000	0	spatial_reproducibility	heldout_topn_jaccard	0.1207621182404034	34.010841231793165	Top-N Jaccard	Wilcoxon (label-informed) (N=2,000)
