ENSEMBL	Gene	Species
ENSMUSG00000021221	Dpf3	Mouse
ENSMUSG00000047819	Tigd4	Mouse
ENSMUSG00000037001	Zfp39	Mouse
ENSMUSG00000014039	Prdm15	Mouse
ENSMUSG00000034430	Zxdc	Mouse
ENSMUSG00000032745	Gpbp1	Mouse
ENSMUSG00000060257	Scrt2	Mouse
ENSMUSG00000058756	Thra	Mouse
ENSMUSG00000014592	Camta1	Mouse
ENSMUSG00000029553	Tfec	Mouse
ENSMUSG00000029754	Dlx6	Mouse
ENSMUSG00000047710	Champ1	Mouse
ENSMUSG00000024513	Mbd2	Mouse
ENSMUSG00000000861	Bcl11a	Mouse
ENSMUSG00000024406	Pou5f1	Mouse
ENSMUSG00000032419	Tbx18	Mouse
ENSMUSG00000047407	Tgif1	Mouse
ENSMUSG00000022556	Hsf1	Mouse
ENSMUSG00000021481	Zfp346	Mouse
ENSMUSG00000029475	Kdm2b	Mouse
ENSMUSG00000032035	Ets1	Mouse
ENSMUSG00000044646	Zbtb7c	Mouse
ENSMUSG00000019803	Nr2e1	Mouse
ENSMUSG00000024238	Zeb1	Mouse
ENSMUSG00000069378	Prdm6	Mouse
ENSMUSG00000049672	Zbtb14	Mouse
ENSMUSG00000049295	Zfp219	Mouse
ENSMUSG00000037621	Atoh8	Mouse
ENSMUSG00000032033	Barx2	Mouse
ENSMUSG00000037868	Egr2	Mouse
ENSMUSG00000050600	Zfp831	Mouse
ENSMUSG00000022306	Zfpm2	Mouse
ENSMUSG00000022479	Vdr	Mouse
ENSMUSG00000029832	Nfe2l3	Mouse
ENSMUSG00000009739	Pou6f1	Mouse
ENSMUSG00000022010	Tsc22d1	Mouse
ENSMUSG00000021095	Gsc	Mouse
ENSMUSG00000091474	2610021A01Rik	Mouse
ENSMUSG00000047638	Nr1h4	Mouse
ENSMUSG00000031706	Rfx1	Mouse
ENSMUSG00000029755	Dlx5	Mouse
ENSMUSG00000021099	Six6	Mouse
ENSMUSG00000063659	Zbtb18	Mouse
ENSMUSG00000055917	Zfp277	Mouse
ENSMUSG00000035420	Fam170a	Mouse
ENSMUSG00000036144	Meox2	Mouse
ENSMUSG00000052751	Repin1	Mouse
ENSMUSG00000048385	Scrt1	Mouse
ENSMUSG00000021055	Esr2	Mouse
ENSMUSG00000025019	Lcor	Mouse
ENSMUSG00000047003	Zfp41	Mouse
ENSMUSG00000000134	Tfe3	Mouse
ENSMUSG00000019826	Zbtb24	Mouse
ENSMUSG00000050945	Zfp438	Mouse
ENSMUSG00000022536	Glyr1	Mouse
ENSMUSG00000022286	Grhl2	Mouse
ENSMUSG00000099032	Tcf24	Mouse
ENSMUSG00000020472	Zkscan17	Mouse
ENSMUSG00000038402	Foxf2	Mouse
ENSMUSG00000020275	Rel	Mouse
ENSMUSG00000022510	Trp63	Mouse
ENSMUSG00000031162	Gata1	Mouse
ENSMUSG00000058881	Zfp516	Mouse
ENSMUSG00000033016	Nfatc1	Mouse
ENSMUSG00000024206	Rfx2	Mouse
ENSMUSG00000048485	Zbtb8b	Mouse
ENSMUSG00000041540	Sox5	Mouse
ENSMUSG00000022526	Zfp251	Mouse
ENSMUSG00000056749	Nfil3	Mouse
ENSMUSG00000036686	Cc2d1a	Mouse
ENSMUSG00000022508	Bcl6	Mouse
ENSMUSG00000049532	Sall2	Mouse
ENSMUSG00000004359	Spic	Mouse
ENSMUSG00000018168	Ikzf3	Mouse
ENSMUSG00000031870	Pgr	Mouse
ENSMUSG00000021485	Mxd3	Mouse
ENSMUSG00000029290	Zfp326	Mouse
ENSMUSG00000052271	Bhlha15	Mouse
ENSMUSG00000047171	Helt	Mouse
ENSMUSG00000015697	Setdb1	Mouse
ENSMUSG00000069171	Nr2f1	Mouse
ENSMUSG00000026380	Tfcp2l1	Mouse
ENSMUSG00000030256	Bhlhe41	Mouse
ENSMUSG00000013089	Etv5	Mouse
ENSMUSG00000022529	Zfp263	Mouse
ENSMUSG00000071661	Zbtb3	Mouse
ENSMUSG00000031627	Irf2	Mouse
ENSMUSG00000021469	Msx2	Mouse
ENSMUSG00000055239	Kcmf1	Mouse
ENSMUSG00000054967	Zfp647	Mouse
ENSMUSG00000038679	Trps1	Mouse
ENSMUSG00000037855	Zfp365	Mouse
ENSMUSG00000046518	Ferd3l	Mouse
ENSMUSG00000025602	Zfp202	Mouse
ENSMUSG00000005583	Mef2c	Mouse
ENSMUSG00000066456	Hmgn3	Mouse
ENSMUSG00000048756	Foxo3	Mouse
ENSMUSG00000016087	Fli1	Mouse
ENSMUSG00000038415	Foxq1	Mouse
ENSMUSG00000022330	Osr2	Mouse
ENSMUSG00000024565	Sall3	Mouse
ENSMUSG00000034384	Barhl2	Mouse
ENSMUSG00000044220	Nkx2-3	Mouse
ENSMUSG00000061013	Mkx	Mouse
ENSMUSG00000034460	Six4	Mouse
ENSMUSG00000001911	Nfix	Mouse
ENSMUSG00000055991	Zkscan5	Mouse
ENSMUSG00000005886	Ncoa2	Mouse
ENSMUSG00000040209	Zfp704	Mouse
ENSMUSG00000001655	Hoxc13	Mouse
ENSMUSG00000079215	Zfp664	Mouse
ENSMUSG00000059689	Zfp637	Mouse
ENSMUSG00000040433	Zbtb38	Mouse
ENSMUSG00000038895	Zfp653	Mouse
ENSMUSG00000026436	Elk4	Mouse
ENSMUSG00000001418	Glmp	Mouse
ENSMUSG00000037262	Kin	Mouse
ENSMUSG00000039081	Zfp503	Mouse
ENSMUSG00000004099	Dnmt1	Mouse
ENSMUSG00000028639	Ybx1	Mouse
ENSMUSG00000060862	Zbtb40	Mouse
ENSMUSG00000009741	Ubp1	Mouse
ENSMUSG00000008193	Spib	Mouse
ENSMUSG00000059246	Foxb1	Mouse
ENSMUSG00000048001	Hes5	Mouse
ENSMUSG00000027794	Sohlh2	Mouse
ENSMUSG00000041578	Crx	Mouse
ENSMUSG00000038932	Tcfl5	Mouse
ENSMUSG00000074194	Zfp791	Mouse
ENSMUSG00000040761	Spen	Mouse
ENSMUSG00000035923	Myf6	Mouse
ENSMUSG00000045680	Tcf21	Mouse
ENSMUSG00000046532	Ar	Mouse
ENSMUSG00000005267	Zfp287	Mouse
ENSMUSG00000057101	Zfp180	Mouse
ENSMUSG00000043903	Zfp469	Mouse
ENSMUSG00000045519	Zfp560	Mouse
ENSMUSG00000000942	Hoxa4	Mouse
ENSMUSG00000046574	Prr12	Mouse
ENSMUSG00000048728	Zfp454	Mouse
ENSMUSG00000039656	Rxrb	Mouse
ENSMUSG00000001661	Hoxc6	Mouse
ENSMUSG00000034832	Tet3	Mouse
ENSMUSG00000030145	Zfp248	Mouse
ENSMUSG00000027660	Skil	Mouse
ENSMUSG00000051390	Zbtb22	Mouse
ENSMUSG00000015882	Lcorl	Mouse
ENSMUSG00000033943	Mga	Mouse
ENSMUSG00000014198	Zfp385c	Mouse
ENSMUSG00000026628	Atf3	Mouse
ENSMUSG00000028736	Pax7	Mouse
ENSMUSG00000048626	Klf17	Mouse
ENSMUSG00000028042	Zbtb7b	Mouse
ENSMUSG00000022485	Hoxc5	Mouse
ENSMUSG00000092544	Gm20422	Mouse
ENSMUSG00000074472	Zfp872	Mouse
ENSMUSG00000002249	Tead3	Mouse
ENSMUSG00000049321	Zfp2	Mouse
ENSMUSG00000030544	Mesp1	Mouse
ENSMUSG00000067261	Foxd3	Mouse
ENSMUSG00000000938	Hoxa10	Mouse
ENSMUSG00000021779	Thrb	Mouse
ENSMUSG00000073209	Klf14	Mouse
ENSMUSG00000074500	Zfp558	Mouse
ENSMUSG00000052684	Jun	Mouse
ENSMUSG00000048012	Zfp473	Mouse
ENSMUSG00000039841	Zfp800	Mouse
ENSMUSG00000078796	Zfp541	Mouse
ENSMUSG00000001103	Sebox	Mouse
ENSMUSG00000032652	Crebl2	Mouse
ENSMUSG00000030811	Fbxl19	Mouse
ENSMUSG00000047342	Zfp286	Mouse
ENSMUSG00000024955	Esrra	Mouse
ENSMUSG00000046185	Zfp84	Mouse
ENSMUSG00000014859	E2f4	Mouse
ENSMUSG00000040033	Stat2	Mouse
ENSMUSG00000029556	Hnf1a	Mouse
ENSMUSG00000047861	Foxi1	Mouse
ENSMUSG00000017421	Zfp207	Mouse
ENSMUSG00000054716	Zfp771	Mouse
ENSMUSG00000033726	Emx1	Mouse
ENSMUSG00000044312	Neurog3	Mouse
ENSMUSG00000097084	Foxl1	Mouse
ENSMUSG00000079605	Zbtb9	Mouse
ENSMUSG00000117819	Gm50253	Mouse
ENSMUSG00000078503	Zfp990	Mouse
ENSMUSG00000058186	Zfp980	Mouse
ENSMUSG00000078500	Zfp986	Mouse
ENSMUSG00000066009	Zfp987	Mouse
ENSMUSG00000070605	Zfp992	Mouse
ENSMUSG00000056300	Zfp981	Mouse
ENSMUSG00000063245	Zfp993	Mouse
ENSMUSG00000045699	Gm21411	Mouse
ENSMUSG00000086147	Zfp989	Mouse
ENSMUSG00000067919	Rex2	Mouse
ENSMUSG00000067916	Zfp991	Mouse
ENSMUSG00000078498	Zfp988	Mouse
ENSMUSG00000078497	Zfp978	Mouse
ENSMUSG00000065999	Zfp985	Mouse
ENSMUSG00000066000	Zfp979	Mouse
ENSMUSG00000078249	Hmga1b	Mouse
ENSMUSG00000058665	En1	Mouse
ENSMUSG00000025255	Zfhx4	Mouse
ENSMUSG00000078580	E430018J23Rik	Mouse
ENSMUSG00000045757	Zfp764	Mouse
ENSMUSG00000002250	Ppard	Mouse
ENSMUSG00000004328	Hif3a	Mouse
ENSMUSG00000034968	Lbx2	Mouse
ENSMUSG00000038705	Gmeb2	Mouse
ENSMUSG00000067430	Zfp763	Mouse
ENSMUSG00000048904	Neurog1	Mouse
ENSMUSG00000028163	Nfkb1	Mouse
ENSMUSG00000073423	Zfp414	Mouse
ENSMUSG00000060601	Nr1h2	Mouse
ENSMUSG00000020647	Ncoa1	Mouse
ENSMUSG00000031965	Tbx20	Mouse
ENSMUSG00000017491	Rarb	Mouse
ENSMUSG00000024985	Tcf7l2	Mouse
ENSMUSG00000030796	Tead2	Mouse
ENSMUSG00000026610	Esrrg	Mouse
ENSMUSG00000015619	Gata3	Mouse
ENSMUSG00000027466	Rbck1	Mouse
ENSMUSG00000045598	Zfp553	Mouse
ENSMUSG00000031487	Brf2	Mouse
ENSMUSG00000030322	Mbd4	Mouse
ENSMUSG00000039410	Prdm16	Mouse
ENSMUSG00000032398	Snapc5	Mouse
ENSMUSG00000001156	Mxd1	Mouse
ENSMUSG00000037638	Zbtb42	Mouse
ENSMUSG00000042472	Zfp410	Mouse
ENSMUSG00000067438	Hmx1	Mouse
ENSMUSG00000025958	Creb1	Mouse
ENSMUSG00000063047	Zfp780b	Mouse
ENSMUSG00000011427	Zfp790	Mouse
ENSMUSG00000047371	Zfp768	Mouse
ENSMUSG00000002983	Relb	Mouse
ENSMUSG00000028890	Mtf1	Mouse
ENSMUSG00000055116	Arntl	Mouse
ENSMUSG00000075327	Zbtb2	Mouse
ENSMUSG00000032292	Nr2e3	Mouse
ENSMUSG00000018899	Irf1	Mouse
ENSMUSG00000052675	Zfp112	Mouse
ENSMUSG00000056019	Zfp709	Mouse
ENSMUSG00000089857	Zfp882	Mouse
ENSMUSG00000066880	Zfp617	Mouse
ENSMUSG00000024298	Zfp871	Mouse
ENSMUSG00000055202	Zfp811	Mouse
ENSMUSG00000095253	Zfp799	Mouse
ENSMUSG00000095325	Zfp870	Mouse
ENSMUSG00000053600	Zfp472	Mouse
ENSMUSG00000053390	Zfp952	Mouse
ENSMUSG00000067424	Zfp563	Mouse
ENSMUSG00000094441	Zfp955a	Mouse
ENSMUSG00000096910	Zfp955b	Mouse
ENSMUSG00000003929	Zfp81	Mouse
ENSMUSG00000055240	Zfp101	Mouse
ENSMUSG00000038342	Mlxip	Mouse
ENSMUSG00000001656	Hoxc11	Mouse
ENSMUSG00000041995	Zbed3	Mouse
ENSMUSG00000001493	Meox1	Mouse
ENSMUSG00000060284	Sp7	Mouse
ENSMUSG00000057156	Homez	Mouse
ENSMUSG00000074405	Zfp865	Mouse
ENSMUSG00000045336	Hsfy2	Mouse
ENSMUSG00000003184	Irf3	Mouse
ENSMUSG00000040054	Baz2a	Mouse
ENSMUSG00000029697	Fezf1	Mouse
ENSMUSG00000044934	Zfp367	Mouse
ENSMUSG00000049739	Zfp646	Mouse
ENSMUSG00000034035	Ccdc17	Mouse
ENSMUSG00000046556	Zfp319	Mouse
ENSMUSG00000025577	Cbx2	Mouse
ENSMUSG00000023781	Hes7	Mouse
ENSMUSG00000038535	Zfp280d	Mouse
ENSMUSG00000017688	Hnf4g	Mouse
ENSMUSG00000044243	Bhlha9	Mouse
ENSMUSG00000042258	Isl1	Mouse
ENSMUSG00000000085	Scmh1	Mouse
ENSMUSG00000052435	Cebpe	Mouse
ENSMUSG00000049878	Rlf	Mouse
ENSMUSG00000046957	Spz1	Mouse
ENSMUSG00000042622	Maff	Mouse
ENSMUSG00000036602	Alx1	Mouse
ENSMUSG00000019768	Esr1	Mouse
ENSMUSG00000040891	Foxa3	Mouse
ENSMUSG00000032015	Pou2f3	Mouse
ENSMUSG00000022528	Hes1	Mouse
ENSMUSG00000055320	Tead1	Mouse
ENSMUSG00000048540	Nhlh2	Mouse
ENSMUSG00000027582	Zgpat	Mouse
ENSMUSG00000090125	Pou3f1	Mouse
ENSMUSG00000028053	Ash1l	Mouse
ENSMUSG00000067071	Hes6	Mouse
ENSMUSG00000015709	Arnt2	Mouse
ENSMUSG00000068302	Noto	Mouse
ENSMUSG00000042477	Tfap2e	Mouse
ENSMUSG00000014767	Tbp	Mouse
ENSMUSG00000051510	Mafg	Mouse
ENSMUSG00000001280	Sp1	Mouse
ENSMUSG00000052135	Foxo6	Mouse
ENSMUSG00000071359	Tbpl1	Mouse
ENSMUSG00000022361	Zhx1	Mouse
ENSMUSG00000019900	Rfx6	Mouse
ENSMUSG00000030699	Tbx6	Mouse
ENSMUSG00000009734	Pou6f2	Mouse
ENSMUSG00000099689	Zfp383	Mouse
ENSMUSG00000040524	Zfp609	Mouse
ENSMUSG00000024176	Sox8	Mouse
ENSMUSG00000026572	Tbx19	Mouse
ENSMUSG00000051351	Zfp46	Mouse
ENSMUSG00000044617	Zbtb39	Mouse
ENSMUSG00000028565	Nfia	Mouse
ENSMUSG00000050846	Zfp623	Mouse
ENSMUSG00000085795	Zfp703	Mouse
ENSMUSG00000055210	Foxd2	Mouse
ENSMUSG00000049728	Zfp668	Mouse
ENSMUSG00000013419	Zfp651	Mouse
ENSMUSG00000026497	Mixl1	Mouse
ENSMUSG00000020538	Srebf1	Mouse
ENSMUSG00000063894	Zkscan8	Mouse
ENSMUSG00000038797	Zscan2	Mouse
ENSMUSG00000043219	Hoxa6	Mouse
ENSMUSG00000057098	Ebf1	Mouse
ENSMUSG00000021685	Otp	Mouse
ENSMUSG00000029913	Prdm5	Mouse
ENSMUSG00000042207	Kdm5b	Mouse
ENSMUSG00000031326	Cdx4	Mouse
ENSMUSG00000044807	Zfp354c	Mouse
ENSMUSG00000032744	Heyl	Mouse
ENSMUSG00000059842	Zfp341	Mouse
ENSMUSG00000028946	Hes3	Mouse
ENSMUSG00000034777	Vax2	Mouse
ENSMUSG00000038253	Hoxa5	Mouse
ENSMUSG00000015627	Gata5	Mouse
ENSMUSG00000035951	Ascl3	Mouse
ENSMUSG00000044390	Tigd3	Mouse
ENSMUSG00000067942	Zfp160	Mouse
ENSMUSG00000049764	Zfp280b	Mouse
ENSMUSG00000054611	Kdm2a	Mouse
ENSMUSG00000047603	Zfp235	Mouse
ENSMUSG00000068962	Zfp114	Mouse
ENSMUSG00000074283	Zfp109	Mouse
ENSMUSG00000030486	Zfp108	Mouse
ENSMUSG00000055305	Zfp93	Mouse
ENSMUSG00000074406	Zfp628	Mouse
ENSMUSG00000039699	Batf2	Mouse
ENSMUSG00000028150	Rorc	Mouse
ENSMUSG00000042812	Foxf1	Mouse
ENSMUSG00000028940	Hes2	Mouse
ENSMUSG00000048921	Zfp689	Mouse
ENSMUSG00000032402	Smad3	Mouse
ENSMUSG00000059475	Zfp426	Mouse
ENSMUSG00000027552	E2f5	Mouse
ENSMUSG00000044519	Zfp488	Mouse
ENSMUSG00000016503	Gtf3a	Mouse
ENSMUSG00000030584	Dpf1	Mouse
ENSMUSG00000032238	Rora	Mouse
ENSMUSG00000034486	Gbx2	Mouse
ENSMUSG00000029646	Cdx2	Mouse
ENSMUSG00000000782	Tcf7	Mouse
ENSMUSG00000004661	Arid3b	Mouse
ENSMUSG00000029706	Pax4	Mouse
ENSMUSG00000031738	Irx6	Mouse
ENSMUSG00000061374	Fiz1	Mouse
ENSMUSG00000029050	Ski	Mouse
ENSMUSG00000040632	Nrl	Mouse
ENSMUSG00000018347	Zkscan6	Mouse
ENSMUSG00000054931	Zkscan4	Mouse
ENSMUSG00000066721	Zfp575	Mouse
ENSMUSG00000028271	Gtf2b	Mouse
ENSMUSG00000026222	Sp100	Mouse
ENSMUSG00000059436	Max	Mouse
ENSMUSG00000029249	Rest	Mouse
ENSMUSG00000059975	Zfp74	Mouse
ENSMUSG00000072623	Zfp9	Mouse
ENSMUSG00000049577	Zfpm1	Mouse
ENSMUSG00000048015	Neurod4	Mouse
ENSMUSG00000032411	Tfdp2	Mouse
ENSMUSG00000024220	Zfp523	Mouse
ENSMUSG00000027667	Zfp639	Mouse
ENSMUSG00000051246	Msantd1	Mouse
ENSMUSG00000025930	Msc	Mouse
ENSMUSG00000029595	Lhx5	Mouse
ENSMUSG00000040489	Sox30	Mouse
ENSMUSG00000037235	Mxd4	Mouse
ENSMUSG00000064043	Trerf1	Mouse
ENSMUSG00000002325	Irf9	Mouse
ENSMUSG00000025050	Pcgf6	Mouse
ENSMUSG00000026586	Prrx1	Mouse
ENSMUSG00000026630	Batf3	Mouse
ENSMUSG00000045251	Zfp688	Mouse
ENSMUSG00000031734	Irx3	Mouse
ENSMUSG00000061894	Zscan20	Mouse
ENSMUSG00000030557	Mef2a	Mouse
ENSMUSG00000052414	Gm28047	Mouse
ENSMUSG00000099083	Atf7	Mouse
ENSMUSG00000037214	Thap1	Mouse
ENSMUSG00000028952	Zbtb48	Mouse
ENSMUSG00000027938	Creb3l4	Mouse
ENSMUSG00000011267	Zfp296	Mouse
ENSMUSG00000050397	Foxl2	Mouse
ENSMUSG00000050619	Zscan29	Mouse
ENSMUSG00000039238	Zfp750	Mouse
ENSMUSG00000006215	Zbtb17	Mouse
ENSMUSG00000071076	Jund	Mouse
ENSMUSG00000021239	Vsx2	Mouse
ENSMUSG00000044542	Prop1	Mouse
ENSMUSG00000010175	Prox1	Mouse
ENSMUSG00000033006	Sox10	Mouse
ENSMUSG00000039095	En2	Mouse
ENSMUSG00000026017	Carf	Mouse
ENSMUSG00000025364	Pa2g4	Mouse
ENSMUSG00000045639	Zfp629	Mouse
ENSMUSG00000028487	Bnc2	Mouse
ENSMUSG00000051817	Sox12	Mouse
ENSMUSG00000023391	Dlx2	Mouse
ENSMUSG00000052616	Terb1	Mouse
ENSMUSG00000052837	Junb	Mouse
ENSMUSG00000042390	Gatad2b	Mouse
ENSMUSG00000028707	Dmbx1	Mouse
ENSMUSG00000025959	Klf7	Mouse
ENSMUSG00000051550	Zfp579	Mouse
ENSMUSG00000029265	Dr1	Mouse
ENSMUSG00000030551	Nr2f2	Mouse
ENSMUSG00000040841	Six5	Mouse
ENSMUSG00000039191	Rbpj	Mouse
ENSMUSG00000015579	Nkx2-5	Mouse
ENSMUSG00000032171	Pin1	Mouse
ENSMUSG00000027490	E2f1	Mouse
ENSMUSG00000036499	Eea1	Mouse
ENSMUSG00000058230	Arhgap35	Mouse
ENSMUSG00000032515	Csrnp1	Mouse
ENSMUSG00000047264	Zfp358	Mouse
ENSMUSG00000002028	Kmt2a	Mouse
ENSMUSG00000039377	Hlx	Mouse
ENSMUSG00000006587	Snai3	Mouse
ENSMUSG00000001988	Npas1	Mouse
ENSMUSG00000068859	Sp9	Mouse
ENSMUSG00000026459	Myog	Mouse
ENSMUSG00000022811	Zfp148	Mouse
ENSMUSG00000017801	Mlx	Mouse
ENSMUSG00000025056	Nr0b1	Mouse
ENSMUSG00000037447	Arid5a	Mouse
ENSMUSG00000063672	Nkx6-3	Mouse
ENSMUSG00000043013	Onecut1	Mouse
ENSMUSG00000050605	Zfp61	Mouse
ENSMUSG00000052446	Zfp961	Mouse
ENSMUSG00000029771	Irf5	Mouse
ENSMUSG00000023284	Zfp605	Mouse
ENSMUSG00000055435	Maf	Mouse
ENSMUSG00000049691	Nkx3-2	Mouse
ENSMUSG00000046714	Foxc2	Mouse
ENSMUSG00000050328	Hoxc12	Mouse
ENSMUSG00000029267	Mtf2	Mouse
ENSMUSG00000021506	Pitx1	Mouse
ENSMUSG00000027868	Tbx15	Mouse
ENSMUSG00000079681	Zglp1	Mouse
ENSMUSG00000011837	Snapc2	Mouse
ENSMUSG00000020919	Stat5b	Mouse
ENSMUSG00000001288	Rarg	Mouse
ENSMUSG00000056829	Foxb2	Mouse
ENSMUSG00000033249	Hsf4	Mouse
ENSMUSG00000037730	Mynn	Mouse
ENSMUSG00000062627	Mysm1	Mouse
ENSMUSG00000005836	Gata6	Mouse
ENSMUSG00000003545	Fosb	Mouse
ENSMUSG00000068327	Tlx2	Mouse
ENSMUSG00000019913	Sim1	Mouse
ENSMUSG00000028654	Mycl	Mouse
ENSMUSG00000023990	Tfeb	Mouse
ENSMUSG00000024081	Cebpz	Mouse
ENSMUSG00000032897	Nfyc	Mouse
ENSMUSG00000042508	Dmtf1	Mouse
ENSMUSG00000027583	Zbtb46	Mouse
ENSMUSG00000022389	Tef	Mouse
ENSMUSG00000048450	Msx1	Mouse
ENSMUSG00000027684	Mecom	Mouse
ENSMUSG00000019878	Hsf2	Mouse
ENSMUSG00000022245	Skor1	Mouse
ENSMUSG00000021540	Smad5	Mouse
ENSMUSG00000079509	Zfx	Mouse
ENSMUSG00000057637	Prdm2	Mouse
ENSMUSG00000026803	Ttf1	Mouse
ENSMUSG00000007805	Twist2	Mouse
ENSMUSG00000015846	Rxra	Mouse
ENSMUSG00000000435	Myf5	Mouse
ENSMUSG00000029275	Gfi1	Mouse
ENSMUSG00000032228	Tcf12	Mouse
ENSMUSG00000038805	Six3	Mouse
ENSMUSG00000023882	Zfp54	Mouse
ENSMUSG00000057093	Zfp607b	Mouse
ENSMUSG00000037640	Zfp60	Mouse
ENSMUSG00000030604	Zfp626	Mouse
ENSMUSG00000078779	Zfp59	Mouse
ENSMUSG00000020420	Zfp607a	Mouse
ENSMUSG00000096916	Zfp850	Mouse
ENSMUSG00000036139	Hoxc9	Mouse
ENSMUSG00000043467	Zbtb37	Mouse
ENSMUSG00000026104	Stat1	Mouse
ENSMUSG00000024050	Wiz	Mouse
ENSMUSG00000002057	Foxn1	Mouse
ENSMUSG00000042596	Tfap2d	Mouse
ENSMUSG00000032368	Zic1	Mouse
ENSMUSG00000006705	Pknox1	Mouse
ENSMUSG00000030001	Figla	Mouse
ENSMUSG00000015605	Srf	Mouse
ENSMUSG00000030678	Maz	Mouse
ENSMUSG00000035946	Gsx2	Mouse
ENSMUSG00000024193	Phf1	Mouse
ENSMUSG00000094410		Mouse
ENSMUSG00000055633	Zfp580	Mouse
ENSMUSG00000024045	Akap8	Mouse
ENSMUSG00000036972	Zic4	Mouse
ENSMUSG00000029844	Hoxa1	Mouse
ENSMUSG00000062327	T	Mouse
ENSMUSG00000032446	Eomes	Mouse
ENSMUSG00000038539	Atf5	Mouse
ENSMUSG00000031860	Pbx4	Mouse
ENSMUSG00000047388	Atmin	Mouse
ENSMUSG00000021318	Gli3	Mouse
ENSMUSG00000051413	Plagl2	Mouse
ENSMUSG00000036192	Rorb	Mouse
ENSMUSG00000042903	Foxo4	Mouse
ENSMUSG00000034042	Gpbp1l1	Mouse
ENSMUSG00000040943	Tet2	Mouse
ENSMUSG00000002578	Ikzf4	Mouse
ENSMUSG00000042097	Zfp239	Mouse
ENSMUSG00000058440	Nrf1	Mouse
ENSMUSG00000051184	Zfp524	Mouse
ENSMUSG00000109129	Gm44973	Mouse
ENSMUSG00000044647	Csrnp3	Mouse
ENSMUSG00000079033	Mef2b	Mouse
ENSMUSG00000031737	Irx5	Mouse
ENSMUSG00000038227	Hoxa9	Mouse
ENSMUSG00000004040	Stat3	Mouse
ENSMUSG00000042002	Foxn4	Mouse
ENSMUSG00000028634	Hivep3	Mouse
ENSMUSG00000029177	Cenpa	Mouse
ENSMUSG00000018263	Tbx5	Mouse
ENSMUSG00000027109	Sp3	Mouse
ENSMUSG00000030232	Aebp2	Mouse
ENSMUSG00000079560	Hoxa3	Mouse
ENSMUSG00000044296	Zfp879	Mouse
ENSMUSG00000018983	E2f2	Mouse
ENSMUSG00000031665	Sall1	Mouse
ENSMUSG00000053768	Chchd3	Mouse
ENSMUSG00000046311	Zfp62	Mouse
ENSMUSG00000074676	Foxs1	Mouse
ENSMUSG00000031621	Isx	Mouse
ENSMUSG00000001517	Foxm1	Mouse
ENSMUSG00000061079	Zfp143	Mouse
ENSMUSG00000049232	Tigd2	Mouse
ENSMUSG00000025025	Mxi1	Mouse
ENSMUSG00000039089	L3mbtl3	Mouse
ENSMUSG00000045333	Zfp423	Mouse
ENSMUSG00000037188	Grhl3	Mouse
ENSMUSG00000026805	Barhl1	Mouse
ENSMUSG00000028901	Gmeb1	Mouse
ENSMUSG00000038236	Hoxa7	Mouse
ENSMUSG00000041911	Dlx1	Mouse
ENSMUSG00000053747	Sox14	Mouse
ENSMUSG00000053877	Srcap	Mouse
ENSMUSG00000107023	Gm42715	Mouse
ENSMUSG00000009406	Elk1	Mouse
ENSMUSG00000026735	Ptf1a	Mouse
ENSMUSG00000035443	Thyn1	Mouse
ENSMUSG00000042197	Zfp451	Mouse
ENSMUSG00000064141	Zfp69	Mouse
ENSMUSG00000044518	Foxe3	Mouse
ENSMUSG00000019817	Plagl1	Mouse
ENSMUSG00000030543	Mesp2	Mouse
ENSMUSG00000048387	Osr1	Mouse
ENSMUSG00000040289	Hey1	Mouse
ENSMUSG00000025128	Bhlhe22	Mouse
ENSMUSG00000032369	Plscr1	Mouse
ENSMUSG00000032372	Plscr2	Mouse
ENSMUSG00000074139	1700057G04Rik	Mouse
ENSMUSG00000046010	Zfp830	Mouse
ENSMUSG00000029238	Clock	Mouse
ENSMUSG00000043290	Zfp784	Mouse
ENSMUSG00000030067	Foxp1	Mouse
ENSMUSG00000048502	Duxbl1	Mouse
ENSMUSG00000043753	Dmrta1	Mouse
ENSMUSG00000020364	Zfp354a	Mouse
ENSMUSG00000036036	Zfp57	Mouse
ENSMUSG00000069114	Zbtb10	Mouse
ENSMUSG00000018604	Tbx3	Mouse
ENSMUSG00000004043	Stat5a	Mouse
ENSMUSG00000014704	Hoxa2	Mouse
ENSMUSG00000028717	Tal1	Mouse
ENSMUSG00000020185	E2f7	Mouse
ENSMUSG00000045179	Sox3	Mouse
ENSMUSG00000008575	Nfib	Mouse
ENSMUSG00000036180	Gatad2a	Mouse
ENSMUSG00000001065	Zfp276	Mouse
ENSMUSG00000032496	Ltf	Mouse
ENSMUSG00000045591	Olig3	Mouse
ENSMUSG00000025927	Tfap2b	Mouse
ENSMUSG00000023411	Nfatc4	Mouse
ENSMUSG00000024215	Spdef	Mouse
ENSMUSG00000029178	Klf3	Mouse
ENSMUSG00000025229	Pitx3	Mouse
ENSMUSG00000042406	Atf4	Mouse
ENSMUSG00000118491	Gm44505	Mouse
ENSMUSG00000024695	Zfp91	Mouse
ENSMUSG00000005897	Nr2c1	Mouse
ENSMUSG00000039759	Thap3	Mouse
ENSMUSG00000035158	Mitf	Mouse
ENSMUSG00000074397	Foxr1	Mouse
ENSMUSG00000015597	Zfp318	Mouse
ENSMUSG00000025225	Nfkb2	Mouse
