Dataset	Method	MethodLabel	Type	Rank	Value
Immune	statistic_variance-N2000	Statistic variance (N=2000)	Integration	27	0.06774191292930977
Immune	statistic_variance-N2000	Statistic variance (N=2000)	Clustering	12	0.7748554346923308
Immune	statistic_variance-N2000	Statistic variance (N=2000)	Alignment	23	0.10929232533404855
Immune	statistic_variance-N2000	Statistic variance (N=2000)	Overall	27	0.31729655765189635
Immune	triku-N2000	triku (N=2000)	Integration	6	0.7212607957613238
Immune	triku-N2000	triku (N=2000)	Clustering	7	0.8797136279382028
Immune	triku-N2000	triku (N=2000)	Alignment	11	0.5
Immune	triku-N2000	triku (N=2000)	Overall	5	0.7003248078998422
Immune	wilcoxon-N2000	Wilcoxon (N=2000)	Integration	7	0.6861436223942143
Immune	wilcoxon-N2000	Wilcoxon (N=2000)	Clustering	2	1
Immune	wilcoxon-N2000	Wilcoxon (N=2000)	Alignment	11	0.5
Immune	wilcoxon-N2000	Wilcoxon (N=2000)	Overall	3	0.7287145407980714
